Ticker,Date/Time,Open,High,Low,Close,Volume
AAV,5/31/2012,4.0,4.0,3.7,3.7,1891255424
AAV,6/1/2012,3.7,3.72,3.3,3.3,376302944
AAV,6/5/2012,3.28,3.36,3.04,3.04,292165344
AAV,6/6/2012,3.12,3.32,3.1,3.24,260005440
AAV,6/7/2012,3.3,3.38,3.12,3.12,198174896
AAV,6/8/2012,3.14,3.18,3.12,3.14,40641808
AAV,6/11/2012,3.2,3.32,3.18,3.28,97382104
AAV,6/12/2012,3.22,3.5,3.22,3.46,191659904
AAV,6/13/2012,3.46,3.48,3.36,3.36,106480976
AAV,6/14/2012,3.36,3.38,3.28,3.32,71738112
AAV,6/15/2012,3.36,3.48,3.34,3.42,99295184
AAV,6/18/2012,3.48,3.48,3.36,3.36,61209400
AAV,6/19/2012,3.38,3.44,3.38,3.4,20310200
AAV,6/20/2012,3.44,3.52,3.42,3.44,82848008
AAV,6/21/2012,3.44,3.46,3.4,3.4,46381404
AAV,6/22/2012,3.38,3.4,3.36,3.4,18605900
AAV,6/25/2012,3.44,3.46,3.38,3.38,35635800
AAV,6/26/2012,3.4,3.44,3.38,3.38,23395510
AAV,6/27/2012,3.4,3.48,3.4,3.44,52023600
AAV,6/28/2012,3.44,3.46,3.38,3.42,27832300
AAV,6/29/2012,3.42,3.44,3.4,3.4,21202700
AAV,7/2/2012,3.42,3.44,3.38,3.38,23706400
AAV,7/3/2012,3.4,3.42,3.36,3.38,20744300
AAV,7/4/2012,3.42,3.62,3.38,3.6,178994336
AAV,7/5/2012,3.64,3.72,3.6,3.7,156498480
AAV,7/6/2012,3.68,3.7,3.62,3.66,52171500
AAV,7/9/2012,3.66,3.66,3.62,3.64,18972000
AAV,7/10/2012,3.66,3.76,3.64,3.74,94271400
AAV,7/11/2012,3.72,3.74,3.68,3.68,46644600
AAV,7/12/2012,3.64,3.66,3.56,3.56,50355100
AAV,7/13/2012,3.58,3.68,3.56,3.64,29259824
AAV,7/16/2012,3.68,3.74,3.66,3.68,36926800
AAV,7/17/2012,3.7,3.7,3.66,3.68,18721970
AAV,7/18/2012,3.68,3.68,3.62,3.68,24800900
AAV,7/19/2012,3.68,3.74,3.64,3.66,53955700
AAV,7/20/2012,3.68,3.68,3.62,3.62,12708100
AAV,7/23/2012,3.58,3.58,3.52,3.54,31265320
AAV,7/24/2012,3.54,3.58,3.52,3.52,14487300
AAV,7/25/2012,3.54,3.54,3.4,3.46,29066156
AAV,7/26/2012,3.48,3.56,3.48,3.5,31491244
AAV,7/27/2012,3.56,3.58,3.5,3.52,34617700
AAV,7/30/2012,3.54,3.56,3.48,3.48,14566100
AAV,7/31/2012,3.5,3.52,3.42,3.42,26383212
AAV,8/1/2012,3.44,3.48,3.38,3.42,29671808
AAV,8/3/2012,3.42,3.44,3.4,3.42,9801291
AAV,8/6/2012,3.46,3.52,3.42,3.52,47452500
AAV,8/7/2012,3.58,3.62,3.52,3.54,55463416
AAV,8/8/2012,3.56,3.58,3.52,3.54,27786000
AAV,8/9/2012,3.6,3.72,3.52,3.56,204373008
AAV,8/10/2012,3.54,3.56,3.42,3.46,120963696
AAV,8/14/2012,3.5,3.58,3.46,3.56,45571000
AAV,8/15/2012,3.56,3.64,3.56,3.6,72006600
AAV,8/16/2012,3.64,3.66,3.58,3.6,50334844
AAV,8/17/2012,3.62,3.64,3.5,3.52,70339600
AAV,8/20/2012,3.52,3.56,3.5,3.56,19496500
AAV,8/21/2012,3.56,3.58,3.52,3.54,27267602
AAV,8/22/2012,3.54,3.58,3.5,3.52,39214576
AAV,8/23/2012,3.54,3.56,3.5,3.52,29499532
AAV,8/24/2012,3.5,3.54,3.46,3.46,37165532
AAV,8/27/2012,3.5,3.5,3.42,3.44,39221768
AAV,8/28/2012,3.44,3.46,3.42,3.42,10747400
AAV,8/29/2012,3.44,3.48,3.44,3.46,33776912
AAV,8/30/2012,3.48,3.48,3.42,3.44,23051600
AAV,8/31/2012,3.44,3.48,3.42,3.46,10608200
AAV,9/3/2012,3.46,3.48,3.44,3.46,9016010
AAV,9/4/2012,3.48,3.48,3.44,3.44,19367120
AAV,9/5/2012,3.44,3.46,3.4,3.42,11466010
AAV,9/6/2012,3.46,3.46,3.42,3.44,11607100
AAV,9/7/2012,3.46,3.58,3.44,3.5,105695616
AAV,9/10/2012,3.52,3.54,3.48,3.5,26515920
AAV,9/11/2012,3.48,3.6,3.48,3.52,99747528
AAV,9/12/2012,3.54,3.7,3.54,3.66,232221232
AAV,9/13/2012,3.68,3.72,3.6,3.62,125573512
AAV,9/14/2012,3.7,3.82,3.66,3.8,255317344
AAV,9/17/2012,3.8,3.82,3.7,3.74,140938624
AAV,9/18/2012,3.74,3.84,3.74,3.84,135012416
AAV,9/19/2012,3.86,4.08,3.82,3.98,302841856
AAV,9/20/2012,3.98,4.06,3.94,3.94,121360920
AAV,9/21/2012,3.98,4.14,3.96,4.14,188761888
AAV,9/24/2012,4.16,4.22,4.04,4.1,147608064
AAV,9/25/2012,4.12,4.24,4.1,4.22,131812776
AAV,9/26/2012,4.18,4.22,4.08,4.14,91687408
AAV,9/27/2012,4.16,4.32,4.14,4.28,121754768
AAV,9/28/2012,4.3,4.34,4.26,4.28,47651252
AAV,10/1/2012,4.3,4.44,4.28,4.36,134953504
AAV,10/2/2012,4.38,4.44,4.34,4.42,65920272
AAV,10/3/2012,4.42,4.44,4.3,4.4,54039720
AAV,10/4/2012,4.42,4.46,4.36,4.36,67704000
AAV,10/5/2012,4.38,4.4,4.26,4.34,70704848
AAV,10/8/2012,4.34,4.36,4.26,4.36,44564800
AAV,10/9/2012,4.34,4.42,4.32,4.38,82413248
AAV,10/10/2012,4.36,4.66,4.34,4.66,234064608
AAV,10/11/2012,4.64,4.96,4.56,4.88,236702864
AAV,10/12/2012,4.9,4.94,4.7,4.72,154654944
AAV,10/15/2012,4.76,4.76,4.62,4.7,65921204
AAV,10/16/2012,4.7,4.74,4.66,4.7,54693100
AAV,10/17/2012,4.72,4.76,4.62,4.68,81211600
AAV,10/18/2012,4.68,4.78,4.6,4.68,100297400
AAV,10/19/2012,4.66,4.7,4.64,4.66,25805002
AAV,10/22/2012,4.64,4.68,4.62,4.66,12166300
AAV,10/24/2012,4.66,4.68,4.52,4.6,36612848
AAV,10/25/2012,4.58,4.62,4.54,4.58,25114800
AAV,10/26/2012,4.56,4.56,4.4,4.52,60298824
AAV,10/29/2012,4.5,4.52,4.44,4.48,14494875
AAV,10/30/2012,4.48,4.62,4.46,4.62,56470800
AAV,10/31/2012,4.62,4.62,4.54,4.58,20059456
AAV,11/1/2012,4.58,4.58,4.46,4.5,35359000
AAV,11/2/2012,4.54,4.58,4.46,4.5,44852500
AAV,11/5/2012,4.48,4.52,4.46,4.48,11856950
AAV,11/6/2012,4.5,4.72,4.5,4.66,134725104
AAV,11/7/2012,4.68,4.72,4.62,4.7,67365648
AAV,11/8/2012,4.64,4.7,4.6,4.66,47116600
AAV,11/9/2012,4.68,4.78,4.66,4.72,97467800
AAV,11/12/2012,4.74,4.74,4.68,4.7,53213100
AAV,11/13/2012,4.7,4.72,4.6,4.6,46863500
AAV,11/14/2012,4.58,4.6,4.44,4.44,56047100
AAV,11/15/2012,4.4,4.42,4.18,4.3,72149296
AAV,11/16/2012,4.3,4.34,4.28,4.32,31883500
AAV,11/19/2012,4.32,4.34,4.26,4.28,34388500
AAV,11/20/2012,4.32,4.32,4.2,4.2,20117608
AAV,11/21/2012,4.22,4.24,4.14,4.22,30013392
AAV,11/22/2012,4.24,4.4,4.22,4.38,59658200
AAV,11/23/2012,4.38,4.38,4.3,4.32,16592700
AAV,11/26/2012,4.38,4.54,4.36,4.5,43019820
AAV,11/27/2012,4.52,4.56,4.46,4.5,27850784
AAV,11/28/2012,4.48,4.7,4.48,4.66,79176144
