Ticker,Date/Time,Open,High,Low,Close,Volume
ADVANC,11/5/1991,4.53,4.63,4.21,4.25,280484640
ADVANC,11/6/1991,4.25,4.39,4.21,4.37,84359168
ADVANC,11/7/1991,4.42,4.53,4.37,4.49,87482312
ADVANC,11/8/1991,4.51,4.79,4.51,4.65,84496840
ADVANC,11/11/1991,4.65,4.7,4.53,4.58,42704400
ADVANC,11/12/1991,4.58,4.58,4.44,4.49,20222970
ADVANC,11/13/1991,4.46,4.6,4.39,4.58,26925230
ADVANC,11/14/1991,4.51,4.6,4.49,4.51,11589140
ADVANC,11/15/1991,4.49,4.58,4.46,4.58,9601710
ADVANC,11/18/1991,4.28,4.49,4.23,4.49,14617650
ADVANC,11/19/1991,4.49,4.56,4.49,4.56,7773420
ADVANC,11/20/1991,4.49,4.58,4.49,4.51,5390200
ADVANC,11/21/1991,4.49,4.51,4.46,4.51,4366360
ADVANC,11/22/1991,4.46,4.46,4.39,4.42,6254860
ADVANC,11/25/1991,4.44,4.49,4.35,4.42,2886510
ADVANC,11/26/1991,4.46,4.51,4.44,4.46,5403080
ADVANC,11/27/1991,4.46,4.51,4.44,4.51,4271700
ADVANC,11/28/1991,4.49,4.51,4.44,4.44,1638980
ADVANC,11/29/1991,4.49,4.49,4.44,4.44,1763730
ADVANC,12/2/1991,4.49,4.49,4.42,4.44,2060560
ADVANC,12/3/1991,4.46,4.46,4.42,4.46,3777010
ADVANC,12/4/1991,4.46,4.49,4.44,4.49,2417610
ADVANC,12/6/1991,4.49,4.53,4.49,4.51,2654210
ADVANC,12/9/1991,4.58,4.79,4.56,4.74,24434450
ADVANC,12/11/1991,4.74,4.74,4.63,4.7,15714630
ADVANC,12/12/1991,4.74,4.79,4.63,4.63,4366360
ADVANC,12/13/1991,4.7,4.74,4.63,4.74,6637730
ADVANC,12/16/1991,4.7,4.7,4.63,4.63,1681990
ADVANC,12/17/1991,4.65,4.7,4.65,4.65,2628420
ADVANC,12/18/1991,4.7,4.74,4.65,4.74,3802810
ADVANC,12/19/1991,4.74,4.79,4.7,4.74,4392150
ADVANC,12/20/1991,4.74,4.97,4.7,4.97,10509380
ADVANC,12/23/1991,4.97,4.97,4.74,4.79,7248600
ADVANC,12/24/1991,4.84,4.88,4.79,4.88,2473530
ADVANC,12/25/1991,4.88,4.88,4.84,4.88,1858390
ADVANC,12/26/1991,4.88,4.93,4.79,4.84,3312390
ADVANC,12/27/1991,4.84,5.07,4.84,4.97,8564960
