Ticker,Date/Time,Open,High,Low,Close,Volume
AEONTS,12/11/2001,11.8,13.5,11.6,12.7,80769000
AEONTS,12/12/2001,13.0,13.2,12.4,12.4,31076500
AEONTS,12/13/2001,12.5,12.6,12.0,12.0,12258000
AEONTS,12/14/2001,12.0,12.9,11.7,12.7,19788500
AEONTS,12/17/2001,12.9,12.9,12.7,12.7,3423000
AEONTS,12/18/2001,12.9,13.4,12.8,13.1,8493000
AEONTS,12/19/2001,13.2,14.4,13.2,14.0,16750500
AEONTS,12/20/2001,14.1,14.9,14.0,14.9,13214065
AEONTS,12/21/2001,14.7,16.3,14.6,15.8,22166504
AEONTS,12/24/2001,15.9,16.5,15.8,15.8,10031500
AEONTS,12/25/2001,16.0,16.0,15.2,15.6,2946000
AEONTS,12/26/2001,15.8,16.3,15.8,16.0,2225500
AEONTS,12/27/2001,16.2,16.9,16.2,16.6,5771510
AEONTS,12/28/2001,16.9,17.6,16.9,17.1,5167005
AEONTS,1/2/2002,17.1,17.5,17.0,17.2,1589500
AEONTS,1/3/2002,17.4,17.8,17.2,17.3,3232500
AEONTS,1/4/2002,17.4,17.7,17.2,17.4,2966500
AEONTS,1/7/2002,17.5,17.6,17.3,17.3,737500
AEONTS,1/8/2002,17.2,17.3,16.8,17.2,681500
AEONTS,1/9/2002,17.3,17.3,17.0,17.0,587000
AEONTS,1/10/2002,16.7,17.0,16.6,17.0,700500
AEONTS,1/11/2002,17.0,18.8,17.0,18.4,5901500
AEONTS,1/14/2002,18.4,20.0,18.4,19.8,6582500
AEONTS,1/15/2002,20.0,21.0,19.8,20.4,3151500
AEONTS,1/16/2002,20.8,21.6,20.6,20.8,2446000
AEONTS,1/17/2002,20.6,21.4,20.4,20.8,704000
AEONTS,1/18/2002,21.0,22.0,20.6,20.6,1850000
AEONTS,1/21/2002,20.8,21.2,20.6,21.0,200500
AEONTS,1/22/2002,20.8,22.0,20.8,22.0,650000
AEONTS,1/23/2002,22.2,25.8,22.2,24.6,2456000
AEONTS,1/24/2002,25.4,25.8,24.4,25.4,1746500
AEONTS,1/25/2002,25.8,26.0,24.0,24.4,1924500
AEONTS,1/28/2002,24.6,25.0,24.2,24.6,897500
AEONTS,1/29/2002,25.0,25.0,24.4,24.4,521500
AEONTS,1/30/2002,24.0,24.4,23.4,23.6,633500
AEONTS,1/31/2002,24.0,24.8,23.4,23.4,479500
AEONTS,2/1/2002,23.8,24.4,22.4,22.4,485000
AEONTS,2/4/2002,22.4,22.6,21.2,21.6,332000
