Ticker,Date/Time,Open,High,Low,Close,Volume
AWC,10/10/2019,6.0,6.1,6.0,6.05,1345875328
AWC,10/11/2019,6.1,6.2,6.05,6.2,240461600
AWC,10/15/2019,6.25,6.4,6.2,6.35,601569280
AWC,10/16/2019,6.4,6.5,6.35,6.45,358678016
AWC,10/17/2019,6.5,6.8,6.45,6.8,547646272
AWC,10/18/2019,6.75,6.8,6.55,6.55,501301088
AWC,10/21/2019,6.55,6.55,6.15,6.15,518885184
AWC,10/22/2019,6.2,6.3,6.15,6.25,237336704
AWC,10/24/2019,6.25,6.3,6.0,6.05,290290112
AWC,10/25/2019,6.1,6.15,6.0,6.05,220982800
AWC,10/28/2019,6.05,6.15,6.0,6.05,210887904
AWC,10/29/2019,6.1,6.15,6.0,6.1,42106200
AWC,10/30/2019,6.1,6.1,6.0,6.05,167011008
AWC,10/31/2019,6.05,6.1,6.0,6.05,153002208
AWC,11/1/2019,6.05,6.1,6.0,6.05,47849100
AWC,11/4/2019,6.05,6.1,6.0,6.05,80311800
AWC,11/5/2019,6.0,6.1,6.0,6.05,90133696
AWC,11/6/2019,6.05,6.1,6.0,6.05,88550200
AWC,11/7/2019,6.0,6.25,6.0,6.05,255125504
AWC,11/8/2019,6.05,6.1,6.0,6.05,114912304
AWC,11/11/2019,6.05,6.05,5.25,5.4,562097472
AWC,11/12/2019,5.35,5.45,5.2,5.35,208686208
AWC,11/13/2019,5.3,5.45,5.3,5.35,54453200
AWC,11/14/2019,5.45,5.7,5.4,5.7,136395696
AWC,11/15/2019,5.7,5.7,5.5,5.55,71150704
AWC,11/18/2019,5.6,5.8,5.55,5.8,79147400
AWC,11/19/2019,5.85,6.05,5.85,6.05,97252496
AWC,11/20/2019,6.0,6.05,5.9,5.9,51236600
AWC,11/21/2019,5.85,6.05,5.85,6.0,47170100
AWC,11/22/2019,6.0,6.05,5.9,5.95,16597100
AWC,11/25/2019,6.0,6.0,5.9,5.95,13076500
AWC,11/26/2019,5.95,6.0,5.9,5.95,11696200
AWC,11/27/2019,5.95,6.0,5.9,5.9,10631100
AWC,11/28/2019,5.95,6.05,5.9,5.9,33012600
AWC,11/29/2019,5.95,6.0,5.8,6.0,49315800
AWC,12/2/2019,6.0,6.0,5.9,5.95,40443500
AWC,12/3/2019,5.9,5.95,5.85,5.9,9401900
AWC,12/4/2019,5.85,5.9,5.55,5.65,51462300
AWC,12/6/2019,5.7,5.85,5.65,5.65,23159900
AWC,12/9/2019,5.65,5.85,5.6,5.85,42346000
AWC,12/11/2019,5.85,6.0,5.8,5.95,42768500
AWC,12/12/2019,6.0,6.0,5.9,5.95,20143800
AWC,12/13/2019,5.95,6.0,5.85,5.95,33288800
AWC,12/16/2019,5.95,6.0,5.85,5.95,29956100
AWC,12/17/2019,5.85,5.95,5.85,5.9,18117900
AWC,12/18/2019,5.9,5.95,5.85,5.85,7292900
AWC,12/19/2019,5.85,5.9,5.8,5.8,32082100
AWC,12/20/2019,5.85,5.85,5.6,5.65,65620100
AWC,12/23/2019,5.7,5.8,5.7,5.75,17596100
AWC,12/24/2019,5.8,5.8,5.75,5.8,8519800
AWC,12/25/2019,5.75,5.9,5.7,5.8,13592200
AWC,12/26/2019,5.85,5.85,5.75,5.8,9901800
AWC,12/27/2019,5.85,5.9,5.6,5.75,29687700
AWC,12/30/2019,5.8,5.85,5.75,5.85,19741900
AWC,1/2/2020,5.9,5.9,5.65,5.7,26758300
AWC,1/3/2020,5.7,5.75,5.6,5.65,55066800
AWC,1/6/2020,5.6,5.65,5.5,5.5,45869600
AWC,1/7/2020,5.55,5.7,5.55,5.65,15784000
AWC,1/8/2020,5.5,5.7,5.45,5.55,26255900
AWC,1/9/2020,5.6,5.75,5.55,5.7,36578300
AWC,1/10/2020,5.75,5.75,5.65,5.75,16041600
AWC,1/13/2020,5.8,5.8,5.7,5.75,16646400
AWC,1/14/2020,5.75,5.8,5.65,5.75,14372500
AWC,1/15/2020,5.7,6.25,5.7,6.25,156859104
AWC,1/16/2020,6.25,6.25,6.0,6.05,177292304
AWC,1/17/2020,6.1,6.15,5.95,5.95,64798500
AWC,1/20/2020,5.9,6.15,5.85,6.05,64424200
AWC,1/21/2020,6.05,6.05,5.8,5.8,60452500
AWC,1/22/2020,5.8,5.95,5.75,5.95,49793300
AWC,1/23/2020,5.85,6.0,5.85,5.9,39205400
AWC,1/24/2020,5.9,6.05,5.9,6.0,41986300
AWC,1/27/2020,5.7,5.75,5.5,5.6,123271200
AWC,1/28/2020,5.55,5.65,5.5,5.55,48378400
AWC,1/29/2020,5.6,5.65,5.5,5.5,62871900
AWC,1/30/2020,5.5,5.55,5.35,5.4,45117800
AWC,1/31/2020,5.4,5.45,5.35,5.35,22061400
AWC,2/3/2020,5.35,5.45,5.3,5.4,29107900
AWC,2/4/2020,5.45,5.65,5.3,5.6,68332896
AWC,2/5/2020,5.55,5.6,5.45,5.55,35235300
AWC,2/6/2020,5.55,5.7,5.5,5.5,63095500
AWC,2/7/2020,5.5,5.55,5.45,5.55,22322600
AWC,2/11/2020,5.6,5.7,5.55,5.6,29177800
AWC,2/12/2020,5.65,5.85,5.65,5.7,51357800
AWC,2/13/2020,5.7,5.85,5.7,5.7,36613300
AWC,2/14/2020,5.8,5.8,5.7,5.7,22412300
AWC,2/17/2020,5.7,5.75,5.65,5.75,17019700
AWC,2/18/2020,5.75,5.75,5.6,5.6,21844400
AWC,2/19/2020,5.65,5.65,5.55,5.6,20809700
AWC,2/20/2020,5.65,5.65,5.55,5.55,15477300
AWC,2/21/2020,5.55,5.65,5.55,5.65,17888100
AWC,2/24/2020,5.55,5.6,5.15,5.15,55888800
AWC,2/25/2020,5.2,5.3,5.0,5.05,62119400
AWC,2/26/2020,5.15,5.15,4.62,4.68,81023400
AWC,2/27/2020,4.72,4.98,4.64,4.9,43578500
AWC,2/28/2020,4.72,4.98,4.64,4.88,41893600
AWC,3/2/2020,5.0,5.2,4.78,5.2,45243700
AWC,3/3/2020,5.2,5.3,5.1,5.15,44244400
AWC,3/4/2020,5.15,5.3,5.0,5.2,49021400
AWC,3/5/2020,5.25,5.4,5.2,5.25,42383000
AWC,3/6/2020,5.2,5.25,5.05,5.2,23298600
AWC,3/9/2020,5.05,5.2,4.54,4.74,41968300
AWC,3/10/2020,4.74,4.9,4.72,4.82,39936000
AWC,3/11/2020,4.76,4.86,4.6,4.62,27097800
AWC,3/12/2020,4.08,4.5,3.48,3.64,111159400
AWC,3/13/2020,3.12,4.14,2.7,3.72,122870304
AWC,3/16/2020,3.48,3.56,3.22,3.22,85105696
AWC,3/17/2020,3.22,3.48,3.2,3.34,100788400
AWC,3/18/2020,3.46,3.56,3.28,3.4,72773504
AWC,3/19/2020,3.3,3.3,3.04,3.12,85132600
AWC,3/20/2020,3.22,3.58,3.16,3.54,100276000
AWC,3/23/2020,3.26,3.3,3.02,3.02,32215700
AWC,3/24/2020,3.18,3.2,2.9,2.94,38244800
AWC,3/25/2020,3.1,3.16,2.98,3.08,47836700
AWC,3/26/2020,3.08,3.24,3.04,3.12,62746300
AWC,3/27/2020,3.18,3.38,3.16,3.22,48249600
AWC,3/30/2020,3.16,3.18,3.04,3.12,39916800
AWC,3/31/2020,3.14,3.3,3.14,3.26,53406800
