Ticker,Date/Time,Open,High,Low,Close,Volume
BANPU,6/16/1989,1.42,1.47,1.33,1.42,46073236
BANPU,6/19/1989,1.42,1.52,1.33,1.48,35148056
BANPU,6/20/1989,1.48,1.53,1.43,1.45,34409296
BANPU,6/21/1989,1.45,1.49,1.43,1.49,29797998
BANPU,6/22/1989,1.49,1.57,1.47,1.54,54625912
BANPU,6/23/1989,1.54,1.68,1.5,1.66,63222280
BANPU,6/26/1989,1.66,1.72,1.63,1.67,41193180
BANPU,6/27/1989,1.67,1.69,1.62,1.63,18716590
BANPU,6/28/1989,1.63,1.64,1.61,1.61,23529126
BANPU,6/29/1989,1.61,1.61,1.57,1.59,16746563
BANPU,6/30/1989,1.59,1.63,1.55,1.58,12201464
BANPU,7/4/1989,1.58,1.58,1.5,1.5,7835098
BANPU,7/5/1989,1.5,1.59,1.47,1.57,12492732
BANPU,7/6/1989,1.57,1.6,1.51,1.52,6045126
BANPU,7/7/1989,1.52,1.54,1.5,1.51,5686338
BANPU,7/10/1989,1.51,1.55,1.5,1.51,5573802
BANPU,7/11/1989,1.51,1.52,1.5,1.52,5306366
BANPU,7/12/1989,1.52,1.53,1.51,1.53,3917549
BANPU,7/13/1989,1.53,1.54,1.5,1.5,2686281
BANPU,7/14/1989,1.5,1.51,1.49,1.51,7007633
BANPU,7/17/1989,1.5,1.5,1.49,1.5,1208760
BANPU,7/19/1989,1.5,1.51,1.47,1.48,1096225
BANPU,7/20/1989,1.48,1.49,1.48,1.49,1387492
BANPU,7/21/1989,1.49,1.52,1.49,1.51,9805126
BANPU,7/24/1989,1.51,1.52,1.49,1.49,3917549
BANPU,7/25/1989,1.49,1.49,1.46,1.49,2753802
BANPU,7/26/1989,1.49,1.49,1.47,1.49,3357521
BANPU,7/27/1989,1.49,1.49,1.47,1.47,2821323
BANPU,7/28/1989,1.47,1.49,1.46,1.46,4656309
BANPU,7/31/1989,1.46,1.46,1.39,1.4,9335126
BANPU,8/1/1989,1.4,1.4,1.32,1.32,7052647
BANPU,8/2/1989,1.32,1.38,1.3,1.34,5238845
BANPU,8/3/1989,1.34,1.35,1.34,1.35,7477633
BANPU,8/4/1989,1.36,1.38,1.36,1.38,2977549
BANPU,8/7/1989,1.38,1.47,1.38,1.45,11327662
BANPU,8/8/1989,1.45,1.47,1.41,1.41,5462591
BANPU,8/9/1989,1.41,1.42,1.39,1.39,3067577
BANPU,8/10/1989,1.39,1.41,1.35,1.38,4992591
BANPU,8/11/1989,1.38,1.41,1.38,1.38,7566338
BANPU,8/15/1989,1.38,1.39,1.37,1.38,2641267
BANPU,8/16/1989,1.42,1.47,1.42,1.46,12671464
BANPU,8/17/1989,1.46,1.47,1.41,1.42,5440084
BANPU,8/18/1989,1.42,1.48,1.42,1.44,3380028
BANPU,8/21/1989,1.44,1.46,1.42,1.44,6088816
BANPU,8/22/1989,1.44,1.47,1.41,1.41,1342478
BANPU,8/23/1989,1.42,1.44,1.42,1.42,2842507
BANPU,8/24/1989,1.42,1.44,1.41,1.41,1432507
BANPU,8/25/1989,1.41,1.45,1.41,1.41,6827577
BANPU,8/28/1989,1.41,1.43,1.4,1.41,7007633
BANPU,8/29/1989,1.41,1.42,1.4,1.4,2060056
BANPU,8/30/1989,1.4,1.44,1.4,1.41,5193831
BANPU,8/31/1989,1.41,1.41,1.4,1.4,1030028
BANPU,9/1/1989,1.4,1.41,1.39,1.4,1455014
BANPU,9/4/1989,1.4,1.42,1.4,1.4,6537633
BANPU,9/5/1989,1.41,1.47,1.41,1.44,6000112
BANPU,9/6/1989,1.46,1.49,1.46,1.47,9312619
BANPU,9/7/1989,1.47,1.48,1.45,1.45,9537690
BANPU,9/8/1989,1.45,1.47,1.41,1.41,6402591
BANPU,9/11/1989,1.41,1.44,1.41,1.42,3000056
BANPU,9/12/1989,1.43,1.46,1.43,1.45,5216338
BANPU,9/13/1989,1.45,1.47,1.45,1.47,10410169
BANPU,9/14/1989,1.47,1.5,1.43,1.43,14775211
BANPU,9/15/1989,1.43,1.56,1.43,1.54,41081972
BANPU,9/18/1989,1.54,1.65,1.47,1.48,23932928
