Ticker,Date/Time,Open,High,Low,Close,Volume
BCPG,9/28/2016,11.2,11.5,10.6,10.7,542761024
BCPG,9/29/2016,10.9,11.6,10.9,11.6,311974080
BCPG,9/30/2016,11.4,11.8,11.3,11.3,154069792
BCPG,10/3/2016,11.4,11.7,11.4,11.5,134767840
BCPG,10/4/2016,11.6,12.1,11.5,12.1,155938320
BCPG,10/5/2016,12.0,13.2,11.9,13.0,221832592
BCPG,10/6/2016,13.2,13.4,12.9,13.4,174794832
BCPG,10/7/2016,13.4,14.1,13.1,13.2,361195360
BCPG,10/10/2016,12.4,12.8,12.3,12.5,222148272
BCPG,10/11/2016,12.8,12.9,12.4,12.7,163853856
BCPG,10/12/2016,12.6,12.8,11.7,12.2,233384368
BCPG,10/13/2016,12.1,12.6,11.7,12.5,180296160
BCPG,10/14/2016,12.9,14.1,12.8,13.9,280600864
BCPG,10/17/2016,13.8,14.3,13.7,13.9,250233520
BCPG,10/18/2016,14.0,14.3,13.6,14.2,234947328
BCPG,10/19/2016,14.1,14.4,13.9,13.9,147545872
BCPG,10/20/2016,14.1,14.2,13.9,14.0,110907448
BCPG,10/21/2016,14.0,14.6,13.9,14.3,171082096
BCPG,10/25/2016,14.4,14.4,14.0,14.0,66315520
BCPG,10/26/2016,14.0,14.1,13.7,13.7,74424272
BCPG,10/27/2016,13.8,14.1,13.8,13.8,99317408
BCPG,10/28/2016,13.5,13.8,13.5,13.7,28747518
BCPG,10/31/2016,13.8,14.0,13.7,13.7,39114600
BCPG,11/1/2016,13.8,14.8,13.8,14.7,171577408
BCPG,11/2/2016,14.6,15.4,14.5,15.3,114446704
BCPG,11/3/2016,15.3,15.8,15.1,15.2,114647200
BCPG,11/4/2016,15.2,15.3,14.8,15.1,82041504
BCPG,11/7/2016,15.4,15.9,15.2,15.8,120693800
BCPG,11/8/2016,15.5,15.5,14.8,14.9,113204896
BCPG,11/9/2016,14.6,15.0,14.3,15.0,154996464
BCPG,11/10/2016,15.1,15.1,14.6,14.6,59515800
BCPG,11/11/2016,14.7,14.9,14.5,14.5,45482300
BCPG,11/14/2016,14.4,14.6,14.1,14.1,53285400
BCPG,11/15/2016,14.2,14.5,14.1,14.4,36095200
BCPG,11/16/2016,14.4,14.5,14.1,14.2,17706000
BCPG,11/17/2016,14.2,14.4,14.0,14.0,11908500
