Ticker,Date/Time,Open,High,Low,Close,Volume
BDMS,10/2/1991,0.44,0.45,0.36,0.38,100788320
BDMS,10/3/1991,0.37,0.37,0.34,0.37,29273360
BDMS,10/4/1991,0.37,0.37,0.35,0.37,20307460
BDMS,10/7/1991,0.38,0.38,0.36,0.37,12047440
BDMS,10/8/1991,0.36,0.37,0.36,0.37,5627660
BDMS,10/9/1991,0.37,0.37,0.37,0.37,6719180
BDMS,10/10/1991,0.38,0.39,0.37,0.37,2567750
BDMS,10/11/1991,0.36,0.36,0.36,0.36,684520
BDMS,10/16/1991,0.36,0.36,0.36,0.36,962840
BDMS,10/17/1991,0.36,0.36,0.34,0.34,2225350
BDMS,10/18/1991,0.34,0.34,0.33,0.33,8109850
BDMS,10/21/1991,0.33,0.33,0.33,0.33,3894470
BDMS,10/22/1991,0.33,0.33,0.32,0.32,4386510
BDMS,10/24/1991,0.32,0.32,0.31,0.32,2353770
BDMS,10/25/1991,0.31,0.33,0.31,0.33,4001400
BDMS,10/28/1991,0.32,0.34,0.32,0.34,5478020
BDMS,10/29/1991,0.34,0.35,0.34,0.35,2225350
BDMS,10/30/1991,0.35,0.38,0.35,0.38,4301070
BDMS,10/31/1991,0.37,0.39,0.37,0.39,9286930
BDMS,11/1/1991,0.38,0.39,0.38,0.39,17161710
BDMS,11/4/1991,0.39,0.43,0.39,0.42,23495790
BDMS,11/5/1991,0.43,0.44,0.42,0.44,22832490
BDMS,11/6/1991,0.42,0.43,0.41,0.42,6719180
BDMS,11/7/1991,0.42,0.42,0.41,0.42,2567750
BDMS,11/8/1991,0.42,0.44,0.41,0.42,8430890
BDMS,11/11/1991,0.41,0.41,0.41,0.41,556240
BDMS,11/12/1991,0.4,0.4,0.4,0.4,2011370
BDMS,11/13/1991,0.4,0.4,0.39,0.4,6034400
BDMS,11/14/1991,0.4,0.41,0.4,0.41,8640670
BDMS,11/15/1991,0.41,0.42,0.41,0.42,4407860
BDMS,11/18/1991,0.39,0.41,0.39,0.4,12753580
BDMS,11/19/1991,0.4,0.42,0.4,0.41,15000300
BDMS,11/20/1991,0.4,0.44,0.4,0.43,19750950
BDMS,11/21/1991,0.44,0.46,0.43,0.44,35175160
BDMS,11/22/1991,0.43,0.44,0.42,0.42,9415350
BDMS,11/25/1991,0.41,0.43,0.41,0.42,17846500
BDMS,11/26/1991,0.42,0.43,0.42,0.43,6333810
BDMS,11/27/1991,0.42,0.43,0.41,0.42,15150200
BDMS,11/28/1991,0.43,0.43,0.43,0.43,11276950
BDMS,11/29/1991,0.44,0.44,0.43,0.44,9672040
BDMS,12/2/1991,0.44,0.44,0.43,0.44,4108450
BDMS,12/3/1991,0.43,0.43,0.42,0.42,3231040
BDMS,12/4/1991,0.42,0.43,0.42,0.43,1540570
BDMS,12/6/1991,0.43,0.46,0.43,0.46,22950030
BDMS,12/9/1991,0.47,0.47,0.45,0.45,13459730
BDMS,12/11/1991,0.44,0.45,0.43,0.44,8281110
BDMS,12/12/1991,0.44,0.44,0.44,0.44,2524900
BDMS,12/13/1991,0.44,0.44,0.44,0.44,6398150
BDMS,12/16/1991,0.44,0.45,0.44,0.45,4900160
BDMS,12/17/1991,0.45,0.45,0.44,0.45,13309950
BDMS,12/18/1991,0.45,0.48,0.45,0.47,20264480
BDMS,12/19/1991,0.48,0.52,0.48,0.51,47997400
BDMS,12/20/1991,0.5,0.5,0.47,0.48,7147010
