Ticker,Date/Time,Open,High,Low,Close,Volume
BEC,7/18/1996,25.0,28.4,24.2,28.0,121316800
BEC,7/19/1996,28.4,29.6,27.0,27.2,35439620
BEC,7/22/1996,27.0,28.2,26.6,27.8,21934000
BEC,7/23/1996,27.8,27.8,26.8,27.6,10323000
BEC,7/24/1996,27.2,27.4,25.8,26.2,12284500
BEC,7/25/1996,25.8,26.0,24.6,25.6,15200000
BEC,7/26/1996,25.8,26.4,24.6,26.0,12327000
BEC,7/29/1996,26.2,26.2,25.4,25.6,3708000
BEC,7/31/1996,25.4,25.6,25.0,25.2,7330000
BEC,8/1/1996,25.4,26.8,25.4,26.6,7904000
BEC,8/2/1996,27.0,27.0,26.4,27.0,6705000
BEC,8/5/1996,27.2,27.6,27.2,27.4,3717500
BEC,8/6/1996,27.2,27.4,26.4,26.6,2523000
BEC,8/7/1996,26.6,27.2,26.6,27.2,2759000
BEC,8/8/1996,27.0,27.2,26.8,27.2,1621000
BEC,8/9/1996,26.6,27.2,26.6,27.0,1799000
BEC,8/13/1996,26.8,27.0,26.6,26.8,1238000
BEC,8/14/1996,27.0,27.0,26.4,27.0,2256000
BEC,8/15/1996,27.0,27.8,26.6,27.6,3121000
BEC,8/16/1996,27.6,27.8,27.4,27.4,1660000
BEC,8/19/1996,27.2,27.2,26.6,27.0,896000
BEC,8/20/1996,26.6,27.0,26.6,27.0,646120
BEC,8/21/1996,27.0,27.4,26.8,27.2,1868000
BEC,8/22/1996,27.2,27.2,26.8,27.0,757000
BEC,8/23/1996,27.0,27.2,26.8,27.0,732000
BEC,8/26/1996,26.8,27.0,26.6,26.8,473000
BEC,8/27/1996,26.6,26.8,26.6,26.8,186000
BEC,8/28/1996,26.8,27.0,26.6,26.6,459000
BEC,8/29/1996,26.8,27.4,26.6,27.2,3107000
BEC,8/30/1996,26.8,27.4,26.6,27.4,1860000
BEC,9/2/1996,26.8,27.0,26.6,26.6,2580000
BEC,9/3/1996,26.6,26.8,25.4,26.2,4798000
BEC,9/4/1996,26.2,26.6,26.2,26.4,2339000
BEC,9/5/1996,26.4,26.4,25.8,26.2,7096000
BEC,9/6/1996,26.0,26.0,25.4,25.6,5710000
BEC,9/9/1996,25.8,25.8,25.2,25.6,1737000
BEC,9/10/1996,25.6,26.0,25.4,26.0,981000
BEC,9/11/1996,25.8,26.2,25.8,26.2,900000
BEC,9/12/1996,26.0,26.0,25.6,26.0,1105000
BEC,9/13/1996,26.0,26.0,25.8,26.0,3168000
BEC,9/16/1996,26.0,26.0,25.8,26.0,2115000
BEC,9/17/1996,26.0,26.0,25.4,25.8,2071000
BEC,9/18/1996,25.6,25.8,25.6,25.8,1024000
BEC,9/19/1996,25.6,25.8,25.4,25.8,1293000
BEC,9/20/1996,25.8,25.8,25.6,25.6,364000
BEC,9/23/1996,26.0,26.0,25.2,25.2,1155000
BEC,9/24/1996,25.4,25.6,25.2,25.6,710000
BEC,9/25/1996,25.4,25.4,25.4,25.4,73000
BEC,9/26/1996,25.4,25.6,25.4,25.6,679000
BEC,9/27/1996,25.6,25.8,25.4,25.6,431000
BEC,9/30/1996,26.0,26.6,26.0,26.2,1968000
BEC,10/1/1996,26.4,26.4,25.8,26.0,407000
BEC,10/2/1996,25.8,26.0,25.6,25.6,134000
BEC,10/3/1996,25.4,25.6,24.6,25.6,2412000
BEC,10/4/1996,25.0,25.0,24.8,24.8,227000
BEC,10/7/1996,24.8,24.8,23.0,24.0,2000000
BEC,10/8/1996,23.4,24.0,23.2,24.0,858000
BEC,10/9/1996,24.0,24.2,23.8,24.0,1892000
BEC,10/10/1996,24.0,24.0,23.6,24.0,2091000
BEC,10/11/1996,23.8,24.4,23.8,24.2,934000
BEC,10/14/1996,24.2,24.2,23.6,23.8,410000
BEC,10/15/1996,23.6,24.2,23.4,23.8,672000
BEC,10/16/1996,23.6,24.0,23.6,24.0,199000
BEC,10/17/1996,24.2,25.4,24.2,25.4,2540000
BEC,10/18/1996,25.6,25.6,24.4,24.4,91000
BEC,10/21/1996,24.4,25.2,24.4,25.2,154000
BEC,10/22/1996,25.2,25.2,25.0,25.0,1504000
BEC,10/24/1996,25.0,25.2,24.8,25.2,1276000
BEC,10/25/1996,24.8,25.2,24.8,25.0,621000
BEC,10/28/1996,25.0,25.0,24.8,25.0,92000
BEC,10/29/1996,25.0,25.0,25.0,25.0,420000
BEC,10/30/1996,24.8,24.8,24.6,24.6,1128000
BEC,10/31/1996,24.4,24.6,24.0,24.4,756000
BEC,11/1/1996,24.4,24.8,24.4,24.8,236000
BEC,11/4/1996,24.8,26.0,24.8,26.0,1877000
BEC,11/5/1996,25.8,26.0,25.8,26.0,1926020
BEC,11/6/1996,26.0,26.8,26.0,26.8,2669000
BEC,11/7/1996,26.8,27.0,26.4,26.8,4790000
BEC,11/8/1996,27.0,27.0,26.2,26.2,897000
BEC,11/11/1996,26.4,26.4,25.8,25.8,906000
BEC,11/12/1996,26.0,26.2,25.6,25.6,864000
BEC,11/13/1996,25.6,26.4,25.6,26.4,2043000
BEC,11/14/1996,26.4,26.6,26.4,26.6,2496000
BEC,11/15/1996,26.6,27.0,26.4,26.6,2436000
BEC,11/18/1996,25.0,25.8,25.0,25.2,280000
BEC,11/19/1996,25.2,25.8,25.2,25.8,351000
BEC,11/20/1996,25.8,25.8,25.6,25.8,346000
BEC,11/21/1996,25.8,26.2,25.8,26.2,3556000
BEC,11/22/1996,26.2,26.2,26.0,26.2,932000
BEC,11/25/1996,26.4,26.4,26.0,26.2,713000
BEC,11/26/1996,26.2,26.4,26.0,26.4,1693000
BEC,11/27/1996,26.6,26.6,26.0,26.0,6286000
BEC,11/28/1996,25.6,25.8,25.4,25.6,610000
BEC,11/29/1996,25.6,25.8,25.2,25.2,3346000
BEC,12/2/1996,25.4,25.6,25.4,25.6,531000
BEC,12/3/1996,25.8,25.8,25.4,25.4,626000
BEC,12/4/1996,25.4,25.4,25.2,25.4,616000
BEC,12/6/1996,25.4,25.4,24.6,25.0,1940000
BEC,12/9/1996,25.0,25.2,24.8,25.0,2281000
BEC,12/11/1996,25.0,25.2,24.8,25.0,1224000
BEC,12/12/1996,24.8,24.8,24.2,24.6,751000
BEC,12/13/1996,24.6,25.0,24.6,25.0,1512000
BEC,12/16/1996,24.8,25.0,24.8,25.0,64000
BEC,12/17/1996,25.0,25.2,25.0,25.0,1882000
BEC,12/18/1996,25.0,25.2,24.8,25.2,1761000
BEC,12/19/1996,24.8,25.0,24.6,24.8,1104000
BEC,12/20/1996,24.6,24.6,24.2,24.2,1902000
BEC,12/23/1996,24.2,24.8,24.2,24.6,1118000
BEC,12/24/1996,24.6,24.6,24.2,24.6,1086000
BEC,12/25/1996,24.6,24.6,24.4,24.6,594000
BEC,12/26/1996,24.8,24.8,24.2,24.4,460000
BEC,12/27/1996,24.2,24.4,24.2,24.4,20000
BEC,12/30/1996,24.4,24.6,24.2,24.6,570000
BEC,1/2/1997,24.4,24.6,24.0,24.0,362000
BEC,1/3/1997,23.6,23.8,23.2,23.8,1986000
BEC,1/6/1997,23.6,23.8,23.2,23.6,470000
BEC,1/7/1997,23.4,23.8,23.4,23.8,1332000
BEC,1/8/1997,23.8,24.4,23.8,24.4,1494000
BEC,1/9/1997,24.4,24.6,24.2,24.2,120000
BEC,1/10/1997,24.4,24.4,24.2,24.4,535000
BEC,1/13/1997,24.2,24.4,24.0,24.2,263000
BEC,1/14/1997,24.0,24.0,23.8,24.0,2041000
BEC,1/15/1997,23.8,24.2,23.6,24.2,628000
BEC,1/16/1997,24.2,24.2,23.8,24.2,671000
BEC,1/17/1997,24.0,24.8,24.0,24.8,2252000
BEC,1/20/1997,24.8,25.2,24.8,25.2,2226000
BEC,1/21/1997,25.2,26.0,25.2,25.8,2799000
BEC,1/22/1997,26.0,26.0,25.8,26.0,3286000
BEC,1/23/1997,26.0,26.0,25.4,25.8,2110000
BEC,1/24/1997,25.6,25.6,25.2,25.6,1495000
BEC,1/27/1997,25.2,25.6,25.2,25.2,59000
BEC,1/28/1997,25.2,25.4,25.2,25.4,1826000
BEC,1/29/1997,25.4,25.4,25.2,25.4,1091000
BEC,1/30/1997,25.4,25.4,25.0,25.4,1068000
BEC,1/31/1997,25.4,25.4,24.6,24.8,854000
BEC,2/3/1997,25.0,25.0,24.4,25.0,2650000
BEC,2/4/1997,24.8,25.2,24.6,25.2,1709000
BEC,2/5/1997,25.0,25.0,24.6,24.8,1303000
BEC,2/6/1997,24.8,24.8,24.6,24.8,253000
BEC,2/7/1997,24.8,24.8,24.6,24.8,1041000
BEC,2/10/1997,24.6,24.6,24.0,24.6,535000
BEC,2/11/1997,24.4,24.4,23.6,23.8,1942000
BEC,2/12/1997,23.8,23.8,23.4,23.4,1635000
BEC,2/13/1997,23.2,23.4,22.8,23.2,2053000
BEC,2/14/1997,23.0,23.8,22.8,23.8,3674000
BEC,2/17/1997,23.4,23.4,22.8,23.2,1599000
BEC,2/18/1997,23.2,23.4,23.0,23.4,2769000
BEC,2/19/1997,23.2,23.6,23.2,23.6,2135000
BEC,2/20/1997,23.6,24.6,23.6,24.2,2581000
BEC,2/24/1997,24.4,24.8,23.8,24.0,3484000
BEC,2/25/1997,24.4,24.6,23.8,24.0,3590000
BEC,2/26/1997,23.6,24.2,23.6,24.0,2059000
BEC,2/27/1997,24.0,24.0,23.6,24.0,677000
BEC,2/28/1997,23.8,24.0,23.6,24.0,2785000
BEC,3/3/1997,23.2,23.4,21.6,23.4,1423000
BEC,3/4/1997,22.8,23.4,22.4,23.4,1403000
BEC,3/5/1997,22.6,23.2,22.6,23.2,663080
BEC,3/6/1997,22.8,23.4,22.6,22.8,402000
BEC,3/7/1997,22.8,23.4,22.8,23.4,3213000
BEC,3/10/1997,23.0,23.6,22.8,23.6,723000
BEC,3/11/1997,23.2,23.8,22.8,23.8,1811000
BEC,3/12/1997,23.8,24.4,23.8,24.4,3527000
BEC,3/13/1997,24.2,24.2,23.8,24.0,2503000
BEC,3/14/1997,23.8,24.0,23.6,23.8,2447000
BEC,3/17/1997,24.0,24.0,23.4,24.0,3273000
BEC,3/18/1997,23.8,23.8,23.8,23.8,720000
BEC,3/19/1997,23.8,23.8,23.6,23.8,1491000
BEC,3/20/1997,23.8,23.8,23.6,23.8,1260000
BEC,3/21/1997,23.8,24.0,23.6,24.0,1226000
BEC,3/24/1997,23.8,23.8,23.4,23.8,1788000
BEC,3/25/1997,23.8,23.8,23.8,23.8,1091000
BEC,3/26/1997,23.8,25.0,23.6,25.0,2383000
BEC,3/27/1997,25.0,25.0,24.4,24.6,350000
BEC,3/28/1997,24.6,24.6,24.4,24.4,178000
BEC,3/31/1997,24.6,24.8,24.2,24.8,996000
BEC,4/1/1997,24.6,24.6,24.4,24.4,341000
BEC,4/2/1997,24.4,24.6,24.4,24.6,232000
BEC,4/3/1997,24.0,24.2,24.0,24.2,1240000
BEC,4/4/1997,24.2,24.4,24.2,24.4,641000
BEC,4/8/1997,24.4,24.4,23.6,24.2,1755000
BEC,4/9/1997,24.0,24.2,24.0,24.2,567000
BEC,4/10/1997,24.2,24.2,23.8,24.0,2066000
BEC,4/11/1997,24.0,24.6,24.0,24.4,4916000
BEC,4/16/1997,24.4,24.4,24.0,24.0,2830000
