Ticker,Date/Time,Open,High,Low,Close,Volume
BEM,1/5/2016,5.5,5.55,4.9,5.15,1049044160
BEM,1/6/2016,5.1,5.4,5.05,5.4,330372064
BEM,1/7/2016,5.25,5.4,5.15,5.2,273681472
BEM,1/8/2016,5.3,5.3,4.96,5.25,370502240
BEM,1/11/2016,5.2,5.65,5.2,5.6,462365920
BEM,1/12/2016,5.65,5.9,5.6,5.85,354103392
BEM,1/13/2016,5.75,5.9,5.7,5.85,250461824
BEM,1/14/2016,5.8,6.0,5.65,5.85,255056304
BEM,1/15/2016,5.85,5.9,5.5,5.65,248855184
BEM,1/18/2016,5.6,5.8,5.55,5.7,111709560
BEM,1/19/2016,5.75,5.85,5.55,5.6,169998048
BEM,1/20/2016,5.55,5.65,5.4,5.55,204869072
BEM,1/21/2016,5.6,5.65,5.35,5.55,146822848
BEM,1/22/2016,5.6,5.6,5.45,5.5,72775080
BEM,1/25/2016,5.5,5.55,5.35,5.4,79911600
BEM,1/26/2016,5.35,5.5,5.3,5.5,95661416
BEM,1/27/2016,5.5,5.5,5.4,5.4,75572560
BEM,1/28/2016,5.4,5.5,5.3,5.4,81813656
BEM,1/29/2016,5.4,5.45,5.25,5.35,83263336
BEM,2/1/2016,5.4,5.4,5.25,5.35,95891472
BEM,2/2/2016,5.3,5.4,5.2,5.25,97487248
BEM,2/3/2016,5.2,5.25,5.1,5.2,103927000
BEM,2/4/2016,5.1,5.3,5.05,5.15,145035568
BEM,2/5/2016,5.15,5.25,5.1,5.2,86966248
BEM,2/8/2016,5.2,5.3,5.15,5.25,82107256
BEM,2/9/2016,5.2,5.3,5.15,5.25,42789264
BEM,2/10/2016,5.25,5.5,5.25,5.4,101134600
BEM,2/11/2016,5.45,5.5,5.25,5.35,88815320
BEM,2/12/2016,5.3,5.35,5.15,5.2,110465568
BEM,2/15/2016,5.2,5.25,5.15,5.2,34141824
BEM,2/16/2016,5.2,5.25,5.15,5.15,44807120
BEM,2/17/2016,5.15,5.2,4.98,5.15,213018992
BEM,2/18/2016,5.2,5.25,5.0,5.0,126139800
BEM,2/19/2016,5.05,5.15,5.0,5.15,64638764
BEM,2/23/2016,5.15,5.2,5.1,5.1,35767168
BEM,2/24/2016,5.1,5.2,5.1,5.15,38210472
BEM,2/25/2016,5.15,5.15,5.1,5.1,20055934
BEM,2/26/2016,5.15,5.4,5.15,5.3,135175008
BEM,2/29/2016,5.3,5.3,5.2,5.25,43169832
BEM,3/1/2016,5.2,5.3,5.15,5.15,54924512
BEM,3/2/2016,5.15,5.25,5.1,5.2,122239992
BEM,3/3/2016,5.2,5.3,5.2,5.2,96080272
BEM,3/4/2016,5.2,5.25,5.15,5.15,46584692
BEM,3/7/2016,5.2,5.25,5.1,5.2,58574128
BEM,3/8/2016,5.2,5.45,5.1,5.15,329814656
BEM,3/9/2016,5.2,5.3,5.15,5.25,103942632
BEM,3/10/2016,5.25,5.3,5.15,5.15,62120496
BEM,3/11/2016,5.2,5.25,5.2,5.2,29326432
BEM,3/14/2016,5.25,5.25,5.2,5.25,47417268
BEM,3/15/2016,5.25,5.4,5.25,5.3,191714112
BEM,3/16/2016,5.3,5.3,5.15,5.2,96850904
BEM,3/17/2016,5.2,5.25,5.15,5.25,34798268
BEM,3/18/2016,5.25,5.25,5.2,5.25,58578152
BEM,3/21/2016,5.25,5.3,5.2,5.25,42856368
BEM,3/22/2016,5.25,5.25,5.15,5.15,45751544
BEM,3/23/2016,5.2,5.2,5.15,5.2,23442380
BEM,3/24/2016,5.25,5.45,5.2,5.45,226336864
BEM,3/25/2016,5.45,5.5,5.3,5.4,79383688
BEM,3/28/2016,5.4,5.45,5.35,5.35,21733120
BEM,3/29/2016,5.4,5.45,5.3,5.4,37205232
BEM,3/30/2016,5.45,5.6,5.4,5.55,212834464
BEM,3/31/2016,5.6,5.6,5.45,5.55,92905224
BEM,4/1/2016,5.5,5.6,5.45,5.45,77769088
BEM,4/4/2016,5.5,5.5,5.45,5.5,30054892
BEM,4/5/2016,5.45,5.6,5.45,5.5,111362152
BEM,4/7/2016,5.6,5.65,5.5,5.55,79581688
BEM,4/8/2016,5.5,5.55,5.45,5.45,64367064
BEM,4/11/2016,5.4,5.45,5.35,5.45,34749156
BEM,4/12/2016,5.45,5.55,5.4,5.55,51349924
BEM,4/18/2016,5.55,5.6,5.5,5.6,49061084
BEM,4/19/2016,5.6,5.65,5.55,5.6,69830208
BEM,4/20/2016,5.6,5.65,5.5,5.55,92173328
BEM,4/21/2016,5.6,5.6,5.5,5.55,69372096
BEM,4/22/2016,5.55,5.6,5.55,5.55,31391920
BEM,4/25/2016,5.55,5.7,5.55,5.65,89348272
BEM,4/26/2016,5.7,6.0,5.65,6.0,249536928
BEM,4/27/2016,6.0,6.0,5.85,5.9,94624752
BEM,4/28/2016,5.9,6.05,5.9,6.0,208479584
BEM,4/29/2016,6.0,6.1,5.9,5.95,138280304
BEM,5/3/2016,6.0,6.1,5.95,6.0,73512024
BEM,5/4/2016,6.0,6.05,5.8,5.9,124388168
BEM,5/9/2016,5.9,5.95,5.8,5.95,59101928
BEM,5/10/2016,5.9,6.2,5.9,6.2,156321680
BEM,5/11/2016,6.25,6.5,6.2,6.4,236373616
BEM,5/12/2016,6.4,6.45,6.25,6.35,90218912
BEM,5/13/2016,6.35,6.4,6.25,6.35,43738524
BEM,5/16/2016,6.35,6.6,6.35,6.55,114614384
BEM,5/17/2016,6.55,6.55,6.45,6.45,72984384
BEM,5/18/2016,6.45,6.5,6.4,6.45,61979376
BEM,5/19/2016,6.35,6.4,6.1,6.2,188863440
BEM,5/23/2016,6.25,6.3,6.0,6.1,124339544
BEM,5/24/2016,6.1,6.25,6.05,6.2,66661192
BEM,5/25/2016,6.25,6.3,6.1,6.25,73466128
BEM,5/26/2016,6.25,6.45,6.25,6.4,88873584
BEM,5/27/2016,6.4,6.45,6.3,6.35,68363888
