Ticker,Date/Time,Open,High,Low,Close,Volume
BPP,10/28/2016,24.9,27.25,24.7,27.25,388433888
BPP,10/31/2016,27.5,28.75,26.75,28.25,134347200
BPP,11/1/2016,28.25,28.75,27.75,28.0,81274200
BPP,11/2/2016,28.25,29.0,28.0,28.5,86056600
BPP,11/3/2016,29.0,29.25,27.75,28.0,104735600
BPP,11/4/2016,28.0,28.25,27.25,27.75,71164000
BPP,11/7/2016,28.0,28.5,28.0,28.0,31950600
BPP,11/8/2016,28.25,28.25,26.5,26.75,53920500
BPP,11/9/2016,26.5,28.25,26.25,28.0,66486296
BPP,11/10/2016,28.0,28.25,27.25,27.5,26467500
BPP,11/11/2016,27.0,28.25,27.0,27.5,46983200
BPP,11/14/2016,27.0,27.0,26.0,26.25,46235700
BPP,11/15/2016,26.75,26.75,25.0,25.5,50659600
BPP,11/16/2016,26.0,26.0,25.0,25.0,31264400
BPP,11/17/2016,25.0,25.25,24.2,24.2,61971600
BPP,11/18/2016,24.0,25.75,24.0,25.75,68721696
BPP,11/21/2016,25.75,25.75,25.0,25.0,11381400
BPP,11/22/2016,25.5,25.75,25.25,25.5,8737400
BPP,11/23/2016,26.0,26.5,25.75,25.75,24157600
BPP,11/24/2016,25.75,25.75,25.0,25.25,6907300
BPP,11/25/2016,25.25,25.75,25.25,25.5,6332900
BPP,11/28/2016,25.5,25.75,25.0,25.5,5197000
BPP,11/29/2016,25.75,25.75,24.9,24.9,8690700
BPP,11/30/2016,24.9,25.25,24.8,25.25,8379700
BPP,12/1/2016,25.5,25.5,24.8,24.8,9262200
BPP,12/2/2016,25.0,25.0,24.3,24.4,10012400
BPP,12/6/2016,24.5,24.6,24.1,24.5,8430100
BPP,12/7/2016,24.6,24.8,24.3,24.3,7348000
BPP,12/8/2016,24.4,24.8,24.3,24.3,7627100
BPP,12/9/2016,24.5,24.5,24.2,24.3,5318300
BPP,12/13/2016,24.4,25.25,24.3,24.8,24757100
BPP,12/14/2016,24.9,24.9,24.6,24.7,11232000
BPP,12/15/2016,24.6,25.25,24.5,24.5,11449800
BPP,12/16/2016,24.7,24.9,24.5,24.9,4527100
BPP,12/19/2016,24.9,25.0,24.8,24.8,3515300
BPP,12/20/2016,24.8,24.9,24.4,24.5,6248600
BPP,12/21/2016,24.5,24.7,24.3,24.3,3581500
BPP,12/22/2016,24.3,24.4,24.1,24.1,4573800
BPP,12/23/2016,24.2,24.4,24.1,24.4,7136100
BPP,12/26/2016,24.4,24.4,24.2,24.3,3884500
BPP,12/27/2016,24.2,24.6,24.2,24.3,7828200
BPP,12/28/2016,24.4,24.9,24.3,24.6,15050600
BPP,12/29/2016,24.6,24.8,24.5,24.6,5902800
BPP,12/30/2016,24.6,24.7,24.2,24.4,9138600
BPP,1/4/2017,24.5,25.25,24.4,25.25,26885200
BPP,1/5/2017,25.25,25.25,24.8,24.9,11503800
BPP,1/6/2017,24.9,25.25,24.9,25.0,9450600
BPP,1/9/2017,25.25,25.25,24.5,24.6,9087600
BPP,1/10/2017,24.7,25.0,24.6,24.9,13239500
BPP,1/11/2017,24.8,25.0,24.6,24.6,7009100
BPP,1/12/2017,24.8,24.8,24.6,24.6,2518800
BPP,1/13/2017,24.7,24.8,24.5,24.6,4047000
BPP,1/16/2017,24.7,24.7,24.4,24.5,4973800
BPP,1/17/2017,24.5,24.6,24.3,24.4,5211700
BPP,1/18/2017,24.5,24.6,24.3,24.3,2646700
BPP,1/19/2017,24.3,24.6,24.3,24.4,6672000
BPP,1/20/2017,24.4,24.7,24.4,24.6,3039100
BPP,1/23/2017,24.7,25.25,24.6,25.0,18866300
BPP,1/24/2017,25.0,25.5,25.0,25.0,12560500
BPP,1/25/2017,25.0,25.25,24.9,25.0,8904300
BPP,1/26/2017,25.0,25.0,24.6,24.6,6204600
BPP,1/27/2017,24.6,24.8,24.6,24.8,2071200
BPP,1/30/2017,24.9,24.9,24.6,24.6,2253500
BPP,1/31/2017,24.6,25.25,24.6,24.8,9260500
BPP,2/1/2017,24.8,24.9,24.6,24.8,4939400
BPP,2/2/2017,24.8,24.9,24.6,24.6,3884600
BPP,2/3/2017,24.7,24.7,24.3,24.5,5776200
BPP,2/6/2017,24.5,24.6,24.2,24.6,11906500
BPP,2/7/2017,24.6,24.6,24.3,24.4,4581000
BPP,2/8/2017,24.5,24.5,24.4,24.5,2076000
BPP,2/9/2017,24.6,25.0,24.5,24.9,12651200
BPP,2/10/2017,24.9,25.0,24.5,24.5,5920100
BPP,2/14/2017,24.6,24.7,24.5,24.6,2874500
BPP,2/15/2017,24.6,24.8,24.5,24.6,2567100
BPP,2/16/2017,24.8,26.0,24.7,26.0,50982600
BPP,2/17/2017,26.0,26.25,25.75,26.25,17724800
BPP,2/20/2017,26.0,26.25,25.5,25.75,8871800
BPP,2/21/2017,25.75,25.75,25.0,25.25,11977000
BPP,2/22/2017,25.25,25.75,25.0,25.5,8228500
BPP,2/23/2017,25.5,26.0,25.25,26.0,4739600
BPP,2/24/2017,25.5,25.75,25.0,25.0,8243900
BPP,2/27/2017,25.0,25.25,24.8,25.0,7860500
BPP,2/28/2017,25.0,25.0,24.6,24.6,7431100
BPP,3/1/2017,24.7,25.0,24.7,25.0,10352500
BPP,3/2/2017,25.0,25.5,25.0,25.25,4844300
BPP,3/3/2017,25.0,25.25,24.9,25.25,4841400
BPP,3/6/2017,25.0,25.25,24.8,24.9,4242900
BPP,3/7/2017,24.9,25.0,24.7,24.9,2080100
BPP,3/8/2017,24.8,24.9,24.5,24.8,5075700
BPP,3/9/2017,24.7,24.7,24.4,24.4,6251500
BPP,3/10/2017,24.4,24.7,24.4,24.4,4236600
BPP,3/13/2017,24.4,24.8,24.4,24.7,3650800
BPP,3/14/2017,24.6,24.9,24.5,24.7,4321100
BPP,3/15/2017,24.7,24.9,24.6,24.8,3944700
BPP,3/16/2017,24.8,25.25,24.6,24.8,8486400
BPP,3/17/2017,24.8,24.8,24.6,24.8,2728000
BPP,3/20/2017,24.8,24.9,24.7,24.8,1364200
BPP,3/21/2017,24.9,25.25,24.7,25.0,6120700
BPP,3/22/2017,24.8,25.0,24.8,24.9,2991700
BPP,3/23/2017,24.9,25.0,24.8,24.9,2946100
BPP,3/24/2017,24.9,25.25,24.8,24.9,3121800
BPP,3/27/2017,25.0,25.25,24.8,25.0,2638200
BPP,3/28/2017,25.0,25.25,24.9,25.25,2558000
