Ticker,Date/Time,Open,High,Low,Close,Volume
BTS,3/1/1991,4.95,7.17,4.95,6.63,42055900
BTS,3/4/1991,6.56,6.97,6.32,6.39,31801000
BTS,3/5/1991,6.8,6.83,5.91,6.11,7654200
BTS,3/6/1991,6.05,6.56,6.05,6.56,31490400
BTS,3/7/1991,6.42,7.21,6.39,7.21,36983400
BTS,3/8/1991,7.14,7.48,7.07,7.41,24821800
BTS,3/11/1991,7.21,8.03,7.21,8.03,27869300
BTS,3/12/1991,7.82,8.23,7.76,8.03,23153800
BTS,3/13/1991,8.1,8.1,7.76,8.03,18062300
BTS,3/14/1991,7.82,8.37,7.82,8.17,24833400
BTS,3/15/1991,8.1,8.64,7.89,8.58,30516500
BTS,3/18/1991,8.3,8.99,8.3,8.99,24251400
BTS,3/19/1991,8.92,9.05,8.64,8.99,23330200
BTS,3/20/1991,8.78,9.26,8.1,9.12,25985900
BTS,3/21/1991,9.19,9.6,8.58,9.4,36556600
BTS,3/22/1991,9.4,9.81,9.4,9.74,25722800
BTS,3/25/1991,9.74,10.08,8.78,9.6,24669700
BTS,3/26/1991,9.81,9.88,8.99,9.12,34853800
BTS,3/27/1991,9.05,9.6,8.78,9.05,15546100
BTS,3/28/1991,9.12,9.33,8.85,9.26,14361900
BTS,3/29/1991,9.05,9.33,9.05,9.19,8961900
BTS,4/1/1991,9.05,9.19,8.64,9.12,9942200
BTS,4/2/1991,9.12,9.12,8.92,8.92,6139400
BTS,4/3/1991,9.05,9.53,8.3,9.26,32119000
BTS,4/4/1991,9.4,9.6,8.51,9.47,23490800
BTS,4/5/1991,9.4,9.74,9.4,9.67,26266900
BTS,4/9/1991,9.6,9.94,9.6,9.88,24128800
BTS,4/10/1991,9.74,10.15,9.6,9.74,15096100
BTS,4/11/1991,9.81,10.01,9.6,9.94,20475000
BTS,4/15/1991,9.81,10.01,9.6,9.67,9132000
BTS,4/16/1991,9.67,10.01,8.85,9.81,10539000
BTS,4/17/1991,9.94,10.08,9.6,10.08,27822800
BTS,4/18/1991,10.08,11.04,9.94,11.04,39417200
BTS,4/19/1991,11.04,12.13,10.83,12.06,5929200
BTS,4/22/1991,11.86,13.23,11.52,13.23,40321400
BTS,4/23/1991,11.93,14.11,11.93,13.29,64522100
BTS,4/24/1991,13.29,13.98,13.29,13.98,50733800
BTS,4/25/1991,13.91,15.14,13.36,14.94,63624300
BTS,4/26/1991,14.94,14.94,13.84,14.32,34722800
BTS,4/29/1991,14.59,14.66,13.77,14.11,16278100
BTS,4/30/1991,14.25,15.48,14.18,15.48,45864000
BTS,5/2/1991,15.41,16.99,14.8,16.92,44860500
BTS,5/3/1991,16.92,18.35,15.41,15.82,61302400
BTS,5/7/1991,15.69,16.44,14.52,14.73,29478100
BTS,5/8/1991,14.59,16.17,14.59,16.17,31116500
BTS,5/9/1991,16.03,17.6,16.03,17.12,63814400
BTS,5/10/1991,16.99,17.6,16.44,16.78,33623200
BTS,5/13/1991,16.51,17.4,16.17,16.44,24590400
BTS,5/14/1991,16.51,16.92,16.51,16.85,24754200
BTS,5/15/1991,16.78,17.81,16.78,17.6,39987600
BTS,5/16/1991,17.4,17.74,16.85,17.12,22730200
BTS,5/17/1991,17.12,17.81,17.12,17.74,20425300
BTS,5/20/1991,17.67,18.08,17.4,17.46,12910500
BTS,5/21/1991,17.53,17.81,17.33,17.46,24084500
BTS,5/22/1991,17.33,17.6,16.71,16.92,19539000
BTS,5/23/1991,16.99,17.05,16.58,16.92,14239400
BTS,5/24/1991,16.92,17.6,16.58,17.6,37720700
BTS,5/27/1991,17.53,18.29,17.4,17.94,50529900
BTS,5/29/1991,18.15,18.15,17.12,17.81,27910500
BTS,5/30/1991,18.08,18.08,17.4,17.53,18234500
BTS,5/31/1991,17.64,18.11,17.64,17.91,22255900
BTS,6/3/1991,17.84,17.84,17.7,17.7,128800
BTS,6/19/1991,18.46,18.94,18.05,18.25,78290400
BTS,6/20/1991,18.32,18.39,16.75,17.64,41856300
BTS,6/21/1991,17.77,17.84,16.82,16.82,23075700
BTS,6/24/1991,16.82,16.88,15.31,15.45,27234500
BTS,6/25/1991,15.31,15.38,14.01,14.9,44401000
BTS,6/27/1991,16.34,16.61,15.65,15.99,38741200
BTS,6/28/1991,15.99,16.41,15.38,15.52,28560200
BTS,7/2/1991,15.52,15.52,14.08,14.22,37398500
BTS,7/3/1991,14.08,14.29,13.53,13.74,32356600
BTS,7/4/1991,13.67,14.35,13.67,13.74,26359800
BTS,7/5/1991,13.94,14.08,13.53,13.88,18591500
BTS,7/8/1991,14.22,15.24,14.08,15.17,47358800
BTS,7/9/1991,15.52,15.99,14.7,14.9,67544304
BTS,7/10/1991,14.9,14.9,14.01,14.49,48493300
BTS,7/11/1991,14.56,14.9,13.81,14.08,43825300
BTS,7/12/1991,13.88,13.94,12.71,12.71,65289000
BTS,7/15/1991,12.03,12.03,11.48,11.48,51816500
BTS,7/16/1991,12.55,12.55,12.55,12.55,2648200
BTS,7/17/1991,12.55,12.55,11.36,11.36,7525300
BTS,7/18/1991,10.44,11.54,10.26,10.72,7820000
BTS,7/19/1991,11.27,11.36,10.44,11.09,10453500
BTS,7/22/1991,11.09,12.19,11.09,12.19,14866900
BTS,7/23/1991,12.64,13.38,12.55,13.38,38660900
BTS,7/24/1991,13.47,14.48,13.1,14.11,39887300
BTS,7/25/1991,14.38,14.84,13.65,13.74,34594000
BTS,7/26/1991,14.11,14.48,13.83,14.11,18741500
BTS,7/30/1991,14.11,14.2,13.56,13.65,8159100
BTS,7/31/1991,13.74,13.93,12.64,12.73,9859800
BTS,8/1/1991,12.37,12.83,12.0,12.28,9779500
BTS,8/2/1991,12.37,13.28,12.09,13.19,9999200
BTS,8/5/1991,13.56,13.74,12.64,12.73,14776000
BTS,8/6/1991,12.83,13.19,12.46,12.83,12185900
BTS,8/7/1991,13.28,13.38,12.83,13.01,13434500
BTS,8/8/1991,13.01,13.1,12.55,12.73,7502100
BTS,8/9/1991,12.46,12.83,12.46,12.73,3814400
BTS,8/13/1991,12.73,12.73,12.28,12.28,3520700
BTS,8/14/1991,12.28,12.46,12.09,12.28,2082000
BTS,8/15/1991,12.28,12.73,12.19,12.64,2477100
BTS,8/16/1991,12.64,12.92,12.55,12.64,7285500
BTS,8/19/1991,12.64,12.64,11.45,11.73,10740800
BTS,8/20/1991,10.63,10.81,10.35,10.35,10657300
BTS,8/21/1991,10.72,11.27,10.44,10.81,16265400
BTS,8/22/1991,11.73,11.82,11.36,11.82,13361600
BTS,8/23/1991,11.82,12.19,11.54,11.64,13427100
BTS,8/26/1991,11.82,11.91,11.54,11.73,7209500
BTS,8/27/1991,11.73,11.91,11.54,11.64,3067600
BTS,8/28/1991,11.73,11.82,11.54,11.64,5403100
