Ticker,Date/Time,Open,High,Low,Close,Volume
CKP,7/18/2013,3.19,3.25,2.89,3.06,1643074048
CKP,7/19/2013,3.06,3.06,2.93,2.94,361000640
CKP,7/23/2013,2.98,3.06,2.89,2.91,411332672
CKP,7/24/2013,2.93,2.94,2.87,2.87,113695008
CKP,7/25/2013,2.87,2.91,2.83,2.87,129588784
CKP,7/26/2013,2.87,2.91,2.79,2.91,69878328
CKP,7/29/2013,2.83,2.87,2.75,2.87,14253058
CKP,7/30/2013,2.83,2.85,2.79,2.85,18828126
CKP,7/31/2013,2.81,2.83,2.72,2.81,22649062
CKP,8/1/2013,2.79,2.85,2.75,2.83,15065024
CKP,8/2/2013,2.79,2.81,2.73,2.79,20711394
CKP,8/5/2013,2.77,2.77,2.72,2.75,6260847
CKP,8/6/2013,2.7,2.75,2.68,2.73,10128174
CKP,8/7/2013,2.72,2.72,2.62,2.62,7964178
CKP,8/8/2013,2.64,2.7,2.64,2.68,11313088
CKP,8/9/2013,2.7,2.7,2.64,2.68,6506076
CKP,8/13/2013,2.68,2.72,2.64,2.66,3765062
CKP,8/14/2013,2.66,2.66,2.58,2.64,8384421
CKP,8/15/2013,2.64,2.66,2.6,2.64,6503524
CKP,8/16/2013,2.6,2.64,2.6,2.62,4361201
CKP,8/19/2013,2.62,2.68,2.56,2.6,7489200
CKP,8/20/2013,2.56,2.56,2.47,2.49,14492534
CKP,8/21/2013,2.49,2.56,2.49,2.49,5690115
CKP,8/22/2013,2.47,2.52,2.43,2.47,6544678
CKP,8/23/2013,2.49,2.49,2.41,2.45,4465432
CKP,8/26/2013,2.45,2.45,2.35,2.43,5463138
CKP,8/27/2013,2.37,2.41,2.31,2.35,8805557
CKP,8/28/2013,2.26,2.26,2.1,2.24,7070809
CKP,8/29/2013,2.2,2.28,2.2,2.22,2917752
CKP,8/30/2013,2.22,2.24,2.18,2.22,1460183
CKP,9/2/2013,2.18,2.26,2.18,2.26,2698097
CKP,9/3/2013,2.26,2.33,2.2,2.2,3990402
CKP,9/4/2013,2.18,2.28,2.18,2.24,3770951
CKP,9/5/2013,2.22,2.29,2.22,2.26,2432581
CKP,9/6/2013,2.26,2.31,2.26,2.29,5096000
CKP,9/9/2013,2.37,2.49,2.35,2.39,64527368
CKP,9/10/2013,2.43,2.52,2.41,2.41,48779660
CKP,9/11/2013,2.45,2.45,2.37,2.41,8770512
CKP,9/12/2013,2.43,2.43,2.37,2.37,7549600
CKP,9/13/2013,2.37,2.45,2.35,2.39,5398810
CKP,9/16/2013,2.43,2.56,2.41,2.47,27992984
CKP,9/17/2013,2.47,2.49,2.43,2.43,6987194
CKP,9/18/2013,2.47,2.47,2.43,2.43,2926643
CKP,9/19/2013,2.5,2.54,2.47,2.47,31993298
CKP,9/20/2013,2.49,2.64,2.47,2.62,77807616
CKP,9/23/2013,2.6,2.6,2.49,2.49,26171390
CKP,9/24/2013,2.49,2.54,2.45,2.47,15358603
CKP,9/25/2013,2.5,2.5,2.47,2.49,4525419
CKP,9/26/2013,2.49,2.52,2.45,2.45,12165283
CKP,9/27/2013,2.45,2.49,2.43,2.45,5500270
CKP,9/30/2013,2.39,2.41,2.39,2.39,4128471
CKP,10/1/2013,2.39,2.43,2.39,2.43,3233115
CKP,10/2/2013,2.45,2.45,2.41,2.41,1821051
CKP,10/3/2013,2.41,2.49,2.41,2.43,7660741
CKP,10/4/2013,2.43,2.47,2.43,2.43,2231069
CKP,10/7/2013,2.43,2.45,2.39,2.39,4268632
CKP,10/8/2013,2.43,2.43,2.41,2.41,1860793
CKP,10/9/2013,2.43,2.43,2.39,2.39,4562028
CKP,10/10/2013,2.43,2.5,2.41,2.45,15857011
CKP,10/11/2013,2.49,2.49,2.41,2.43,8027873
CKP,10/14/2013,2.43,2.43,2.41,2.41,2386265
CKP,10/15/2013,2.41,2.45,2.41,2.41,2376982
CKP,10/16/2013,2.43,2.43,2.41,2.41,5216810
