Ticker,Date/Time,Open,High,Low,Close,Volume
CPALL,10/14/2003,3.0,3.1,2.78,2.8,951241984
CPALL,10/15/2003,2.85,2.9,2.83,2.85,225346000
CPALL,10/16/2003,2.88,2.9,2.85,2.85,132262000
CPALL,10/17/2003,2.85,3.0,2.85,2.95,194248000
CPALL,10/20/2003,2.97,3.0,2.9,2.9,45752000
CPALL,10/21/2003,2.92,2.95,2.88,2.9,61028000
CPALL,10/22/2003,2.92,2.95,2.85,2.88,22674000
CPALL,10/24/2003,2.88,2.92,2.83,2.83,69894000
CPALL,10/27/2003,2.85,2.85,2.72,2.72,63626000
CPALL,10/28/2003,2.75,2.75,2.58,2.6,87798000
CPALL,10/29/2003,2.63,2.78,2.63,2.75,41466000
CPALL,10/30/2003,2.75,2.75,2.65,2.72,30598000
CPALL,10/31/2003,2.7,2.72,2.65,2.7,18088000
CPALL,11/3/2003,2.7,2.83,2.7,2.75,39962000
CPALL,11/4/2003,2.75,2.9,2.75,2.8,69128000
CPALL,11/5/2003,2.83,2.85,2.8,2.83,32716000
CPALL,11/6/2003,2.8,2.83,2.75,2.75,36702000
CPALL,11/7/2003,2.75,2.78,2.75,2.75,14920000
CPALL,11/10/2003,2.75,2.8,2.72,2.8,23238000
CPALL,11/11/2003,2.78,2.8,2.75,2.78,30102000
CPALL,11/12/2003,2.78,2.78,2.7,2.72,43754000
CPALL,11/13/2003,2.75,2.75,2.67,2.72,30004000
CPALL,11/14/2003,2.83,2.83,2.75,2.75,34492000
CPALL,11/17/2003,2.75,2.8,2.7,2.7,17798000
CPALL,11/18/2003,2.7,2.72,2.67,2.67,8382000
CPALL,11/19/2003,2.67,2.72,2.6,2.63,37410000
CPALL,11/20/2003,2.67,2.72,2.6,2.67,27106000
CPALL,11/21/2003,2.67,2.67,2.55,2.6,34178000
CPALL,11/24/2003,2.65,2.65,2.6,2.6,12932000
CPALL,11/25/2003,2.63,2.65,2.58,2.65,20044000
CPALL,11/26/2003,2.65,2.65,2.6,2.65,17946000
CPALL,11/27/2003,2.65,2.67,2.63,2.67,6298000
CPALL,11/28/2003,2.67,2.78,2.63,2.78,36820000
CPALL,12/1/2003,2.8,2.8,2.6,2.6,21736000
CPALL,12/2/2003,2.63,2.7,2.63,2.67,20052000
CPALL,12/3/2003,2.67,2.7,2.65,2.65,15974000
CPALL,12/4/2003,2.67,2.85,2.67,2.78,61524000
CPALL,12/8/2003,2.8,2.8,2.65,2.7,7436000
CPALL,12/9/2003,2.7,2.7,2.65,2.65,12272000
CPALL,12/11/2003,2.67,2.7,2.63,2.63,6010000
