Ticker,Date/Time,Open,High,Low,Close,Volume
CPF,12/21/1987,1.18,1.18,0.75,1.18,115670
CPF,12/22/1987,1.18,1.3,1.18,1.3,8272046
CPF,12/23/1987,1.3,1.42,1.24,1.25,7655020
CPF,12/24/1987,1.24,1.24,1.13,1.21,3142966
CPF,12/25/1987,1.21,1.22,1.17,1.17,4646996
CPF,12/28/1987,1.16,1.16,1.13,1.15,5919593
CPF,12/29/1987,1.15,1.2,1.14,1.19,4010679
CPF,12/30/1987,1.19,1.2,1.16,1.17,3374381
CPF,1/4/1988,1.17,1.2,1.16,1.19,2506667
CPF,1/5/1988,1.19,1.31,1.18,1.31,6073882
CPF,1/6/1988,1.33,1.43,1.33,1.39,14991891
CPF,1/7/1988,1.39,1.47,1.33,1.35,6739117
CPF,1/8/1988,1.35,1.35,1.32,1.33,10653380
CPF,1/11/1988,1.22,1.22,1.2,1.2,7168132
CPF,1/12/1988,1.2,1.24,1.17,1.2,5505027
CPF,1/13/1988,1.2,1.2,1.14,1.16,5823214
CPF,1/14/1988,1.16,1.18,1.16,1.17,2622337
CPF,1/15/1988,1.18,1.2,1.18,1.18,3740720
CPF,1/18/1988,1.3,1.3,1.3,1.3,7192227
CPF,1/19/1988,1.24,1.24,1.19,1.2,4936209
CPF,1/20/1988,1.22,1.35,1.22,1.22,5456837
CPF,1/25/1988,1.21,1.21,1.2,1.2,915884
CPF,1/26/1988,1.2,1.22,1.2,1.21,2082456
CPF,1/27/1988,1.21,1.21,1.2,1.21,4377037
CPF,1/28/1988,1.21,1.21,1.19,1.2,9332556
CPF,1/29/1988,1.2,1.21,1.19,1.2,4839792
CPF,2/1/1988,1.2,1.2,1.18,1.19,925529
CPF,2/2/1988,1.19,1.19,1.17,1.18,3673239
CPF,2/3/1988,1.18,1.19,1.17,1.19,2458440
CPF,2/4/1988,1.19,1.21,1.19,1.2,3364735
CPF,2/5/1988,1.2,1.21,1.19,1.19,1176198
CPF,2/8/1988,1.19,1.21,1.19,1.2,2689855
CPF,2/9/1988,1.2,1.21,1.2,1.21,3355090
CPF,2/10/1988,1.21,1.22,1.21,1.21,4444517
CPF,2/11/1988,1.21,1.22,1.21,1.22,4781957
CPF,2/12/1988,1.22,1.24,1.22,1.24,9149368
CPF,2/15/1988,1.24,1.29,1.24,1.28,9274721
CPF,2/16/1988,1.28,1.31,1.28,1.31,9650705
CPF,2/17/1988,1.31,1.43,1.31,1.39,24160588
CPF,2/18/1988,1.41,1.51,1.41,1.51,28412290
CPF,2/19/1988,1.55,1.62,1.55,1.56,22791536
CPF,2/22/1988,1.56,1.58,1.51,1.52,19378574
CPF,2/23/1988,1.52,1.52,1.41,1.44,10074916
CPF,2/24/1988,1.44,1.56,1.41,1.5,8426298
CPF,2/25/1988,1.5,1.51,1.47,1.51,13854255
CPF,2/26/1988,1.52,1.55,1.52,1.54,15464292
CPF,2/29/1988,1.54,1.56,1.5,1.56,15184706
CPF,3/1/1988,1.56,1.6,1.56,1.57,18809756
CPF,3/3/1988,1.58,1.72,1.58,1.72,34370504
CPF,3/4/1988,1.76,1.85,1.76,1.83,31150372
CPF,3/7/1988,1.83,1.85,1.78,1.8,23321810
CPF,3/8/1988,1.8,1.87,1.8,1.82,29395692
CPF,3/9/1988,1.85,1.99,1.85,1.99,36935024
CPF,3/10/1988,1.99,2.19,1.99,2.19,55359152
CPF,3/11/1988,2.41,2.41,2.41,2.41,26030938
CPF,3/14/1988,2.41,2.63,2.41,2.41,54693936
CPF,3/15/1988,2.41,2.49,2.28,2.43,41350644
CPF,3/16/1988,2.43,2.53,2.41,2.53,20631916
CPF,3/17/1988,2.57,2.63,2.57,2.61,34727232
CPF,3/18/1988,2.61,2.8,2.59,2.8,38950036
CPF,3/21/1988,2.8,2.9,2.68,2.68,41591664
CPF,3/22/1988,2.68,2.68,2.49,2.59,32557968
CPF,3/23/1988,2.59,2.61,2.51,2.57,35667232
CPF,3/24/1988,2.69,3.04,2.69,3.04,16630076
CPF,3/25/1988,3.04,3.3,3.04,3.19,32298610
CPF,3/28/1988,3.19,3.19,2.88,2.88,13623798
CPF,3/29/1988,2.88,3.07,2.83,2.99,14232004
CPF,3/30/1988,3.04,3.14,3.04,3.04,13189359
CPF,3/31/1988,3.04,3.04,2.93,2.97,7848735
CPF,4/1/1988,2.97,3.0,2.88,2.95,5392754
CPF,4/4/1988,2.95,2.97,2.87,2.9,3649219
CPF,4/5/1988,2.87,2.87,2.78,2.87,9030395
CPF,4/7/1988,2.97,3.04,2.97,3.02,8468539
CPF,4/8/1988,3.02,3.09,2.97,2.97,6829266
CPF,4/11/1988,2.97,3.06,2.97,3.0,3585511
CPF,4/12/1988,3.0,3.04,2.99,2.99,6331119
CPF,4/14/1988,2.99,3.02,2.93,2.99,4911983
CPF,4/15/1988,2.93,2.93,2.76,2.87,6730804
CPF,4/18/1988,2.87,2.93,2.87,2.88,1743515
CPF,4/19/1988,2.87,2.87,2.61,2.62,6116799
CPF,4/20/1988,2.66,2.74,2.66,2.74,10785508
CPF,4/21/1988,2.74,2.76,2.68,2.73,5126303
CPF,4/22/1988,2.73,2.76,2.73,2.76,3174247
CPF,4/25/1988,2.8,2.87,2.8,2.81,2241662
CPF,4/26/1988,2.81,2.85,2.8,2.81,6371671
CPF,4/27/1988,2.81,2.85,2.68,2.74,3093143
CPF,4/28/1988,2.74,2.76,2.71,2.76,4263224
CPF,4/29/1988,2.76,2.8,2.69,2.71,6145772
CPF,5/3/1988,2.66,2.66,2.59,2.66,7646012
CPF,5/4/1988,2.69,2.76,2.69,2.73,6817687
CPF,5/6/1988,2.73,2.76,2.71,2.71,1650832
CPF,5/9/1988,2.71,2.73,2.69,2.69,4297978
CPF,5/10/1988,2.69,2.69,2.62,2.64,6748180
CPF,5/11/1988,2.66,2.66,2.66,2.66,573434
CPF,5/12/1988,2.66,2.66,2.59,2.62,1847775
CPF,5/13/1988,2.62,2.69,2.56,2.69,1755093
CPF,5/16/1988,2.69,2.78,2.62,2.73,2409650
CPF,5/17/1988,2.73,2.8,2.66,2.74,5659204
CPF,5/18/1988,2.73,2.73,2.71,2.73,2398053
CPF,5/19/1988,2.73,2.73,2.66,2.73,4911983
CPF,5/20/1988,2.73,2.73,2.69,2.69,1714560
CPF,5/23/1988,2.66,2.66,2.62,2.64,5601275
CPF,5/24/1988,2.64,2.66,2.59,2.64,4257426
CPF,5/25/1988,2.64,2.69,2.62,2.64,7113093
CPF,5/26/1988,2.64,2.66,2.62,2.64,4738196
CPF,5/27/1988,2.64,2.69,2.64,2.68,3434899
