Ticker,Date/Time,Open,High,Low,Close,Volume
DELTA,7/24/1995,13.3,13.6,12.3,12.4,15692000
DELTA,7/25/1995,12.6,12.7,12.1,12.2,3087000
DELTA,7/26/1995,12.2,12.9,12.2,12.6,3277000
DELTA,7/27/1995,12.6,12.7,12.2,12.3,962000
DELTA,7/28/1995,12.3,12.3,12.0,12.2,653000
DELTA,7/31/1995,12.1,12.1,11.6,11.9,1125000
DELTA,8/1/1995,11.6,11.7,10.8,11.1,1615000
DELTA,8/2/1995,11.1,11.7,11.0,11.5,3065000
DELTA,8/3/1995,11.4,11.9,11.3,11.9,1396000
DELTA,8/4/1995,11.8,11.8,11.4,11.7,755100
DELTA,8/7/1995,11.1,11.3,10.8,10.9,607000
DELTA,8/8/1995,11.0,11.3,10.8,11.2,305000
DELTA,8/9/1995,11.1,11.4,11.1,11.4,143000
DELTA,8/10/1995,11.1,12.0,11.1,11.9,2064000
DELTA,8/11/1995,11.9,12.4,11.9,12.2,3190000
DELTA,8/15/1995,12.3,12.5,11.9,12.0,1427000
DELTA,8/16/1995,11.9,12.0,11.7,11.9,381000
DELTA,8/17/1995,11.9,12.0,11.7,12.0,445000
DELTA,8/18/1995,11.8,11.8,11.6,11.8,267000
DELTA,8/21/1995,11.6,11.8,11.4,11.8,302000
DELTA,8/22/1995,11.7,11.9,11.5,11.8,543000
DELTA,8/23/1995,11.7,12.1,11.6,11.9,1125000
DELTA,8/24/1995,11.8,12.4,11.8,12.3,2248000
DELTA,8/25/1995,12.3,12.6,12.0,12.4,1988000
DELTA,8/28/1995,12.4,12.5,12.1,12.3,500000
DELTA,8/29/1995,12.2,12.5,12.2,12.5,695000
DELTA,8/30/1995,12.5,12.8,12.5,12.6,1671000
DELTA,8/31/1995,12.6,12.8,12.4,12.8,1304000
DELTA,9/1/1995,12.7,12.8,12.5,12.5,288000
DELTA,9/4/1995,12.5,12.5,12.0,12.2,609000
DELTA,9/5/1995,12.1,12.3,12.1,12.3,139000
DELTA,9/6/1995,12.3,12.3,11.8,11.8,304000
DELTA,9/7/1995,12.0,12.0,11.7,11.9,225000
DELTA,9/8/1995,11.8,11.9,11.7,11.9,63000
DELTA,9/11/1995,11.9,11.9,11.7,11.8,66000
DELTA,9/12/1995,11.7,11.8,11.7,11.8,78000
DELTA,9/13/1995,11.8,12.0,11.8,12.0,252000
DELTA,9/14/1995,12.0,12.0,11.6,11.8,138000
DELTA,9/15/1995,11.7,11.8,11.7,11.8,262000
DELTA,9/18/1995,11.8,11.8,11.6,11.6,39000
DELTA,9/19/1995,11.6,11.6,11.4,11.6,47000
DELTA,9/20/1995,11.5,11.8,11.4,11.8,130000
DELTA,9/21/1995,11.7,11.8,11.6,11.8,82000
DELTA,9/22/1995,11.5,11.7,11.5,11.7,117000
DELTA,9/25/1995,11.7,11.7,11.5,11.5,178000
DELTA,9/26/1995,11.5,11.5,11.2,11.5,289000
DELTA,9/27/1995,11.4,11.5,11.3,11.5,149000
DELTA,9/28/1995,11.3,11.5,11.2,11.5,132000
DELTA,9/29/1995,11.5,11.7,11.4,11.7,124000
DELTA,10/2/1995,11.5,11.6,11.4,11.5,18000
DELTA,10/3/1995,11.4,11.5,11.4,11.5,67000
DELTA,10/4/1995,11.8,11.8,11.5,11.5,432000
DELTA,10/5/1995,11.6,11.9,11.5,11.8,511000
DELTA,10/6/1995,11.8,11.8,11.4,11.6,506000
DELTA,10/9/1995,11.6,11.6,11.4,11.6,135000
DELTA,10/10/1995,11.4,11.5,11.4,11.5,7000
DELTA,10/11/1995,11.5,11.7,11.4,11.6,223000
DELTA,10/12/1995,11.5,11.5,11.4,11.5,82000
DELTA,10/13/1995,11.4,11.5,11.3,11.5,51000
DELTA,10/16/1995,11.3,11.6,11.3,11.5,59000
DELTA,10/17/1995,11.3,11.5,11.3,11.4,95000
DELTA,10/18/1995,11.3,11.4,11.2,11.4,142000
DELTA,10/19/1995,11.2,11.4,11.2,11.4,153000
DELTA,10/20/1995,11.2,11.2,11.1,11.2,78000
DELTA,10/24/1995,11.0,11.2,10.9,11.2,11000
DELTA,10/25/1995,11.2,11.3,10.6,10.9,239000
DELTA,10/26/1995,10.9,10.9,10.5,10.7,162000
DELTA,10/27/1995,10.4,10.6,10.0,10.1,1213000
DELTA,10/30/1995,10.1,10.1,9.85,9.85,451000
DELTA,10/31/1995,9.9,10.2,9.8,10.1,617000
DELTA,11/1/1995,10.4,10.8,10.3,10.6,3341000
DELTA,11/2/1995,10.6,10.8,10.4,10.6,1252000
DELTA,11/3/1995,10.6,10.9,10.6,10.8,792000
DELTA,11/6/1995,10.8,11.1,10.8,11.0,1112000
DELTA,11/7/1995,11.0,11.0,10.8,10.9,712000
DELTA,11/8/1995,10.9,10.9,10.7,10.7,327000
DELTA,11/9/1995,10.7,10.7,10.4,10.5,262000
DELTA,11/10/1995,10.5,10.6,10.2,10.6,635000
DELTA,11/13/1995,10.6,10.7,10.6,10.6,184000
DELTA,11/14/1995,10.5,10.7,10.4,10.4,102000
DELTA,11/15/1995,10.4,10.7,10.3,10.7,644000
DELTA,11/16/1995,10.6,10.7,10.6,10.7,292000
DELTA,11/17/1995,10.5,10.7,10.5,10.6,161000
DELTA,11/20/1995,10.6,10.9,10.6,10.8,12345000
DELTA,11/21/1995,10.9,11.1,10.9,11.0,518000
DELTA,11/22/1995,11.1,11.2,10.8,10.9,209000
DELTA,11/23/1995,10.7,11.0,10.7,11.0,460000
DELTA,11/24/1995,11.0,11.0,10.9,10.9,1160000
DELTA,11/27/1995,10.9,10.9,10.8,10.8,100000
DELTA,11/28/1995,10.7,10.8,10.6,10.8,96000
DELTA,11/29/1995,10.8,10.8,10.8,10.8,0
DELTA,11/30/1995,10.5,10.5,10.4,10.4,188000
DELTA,12/1/1995,10.4,10.6,10.4,10.6,140900
DELTA,12/4/1995,10.7,10.8,10.7,10.8,172000
DELTA,12/6/1995,10.8,11.0,10.6,10.7,578000
DELTA,12/7/1995,10.7,11.1,10.6,10.6,807000
DELTA,12/8/1995,10.7,11.0,10.7,10.8,608000
DELTA,12/12/1995,10.8,10.8,10.7,10.7,74000
DELTA,12/13/1995,10.7,10.7,10.6,10.6,78000
DELTA,12/14/1995,10.7,10.7,10.6,10.6,81000
DELTA,12/15/1995,10.6,10.6,10.6,10.6,57000
DELTA,12/18/1995,10.6,10.6,10.5,10.5,58000
DELTA,12/19/1995,10.5,10.6,10.5,10.6,133000
DELTA,12/20/1995,10.6,10.7,10.5,10.6,376000
DELTA,12/21/1995,10.6,10.7,10.5,10.6,298000
DELTA,12/22/1995,10.5,10.6,10.5,10.5,177000
DELTA,12/25/1995,10.6,10.6,10.4,10.4,47000
DELTA,12/26/1995,10.4,10.5,10.4,10.4,103000
DELTA,12/27/1995,10.5,10.5,10.2,10.3,195000
DELTA,12/28/1995,10.3,10.3,10.1,10.1,327000
DELTA,12/29/1995,10.3,10.3,10.2,10.2,10000
DELTA,1/3/1996,10.3,10.6,10.3,10.6,133000
DELTA,1/4/1996,10.6,10.8,10.4,10.4,811000
DELTA,1/5/1996,10.3,10.6,10.3,10.6,427000
DELTA,1/8/1996,10.6,10.7,10.5,10.5,214000
DELTA,1/9/1996,10.5,10.9,10.5,10.7,989000
DELTA,1/10/1996,10.6,10.6,10.4,10.4,276000
DELTA,1/11/1996,10.4,10.6,10.4,10.5,177000
DELTA,1/12/1996,10.6,10.7,10.4,10.5,913000
DELTA,1/15/1996,10.5,10.6,10.3,10.4,356000
DELTA,1/16/1996,10.5,10.5,10.4,10.5,152000
DELTA,1/17/1996,10.5,10.5,10.4,10.4,351000
DELTA,1/18/1996,10.5,11.1,10.5,11.0,2322000
DELTA,1/19/1996,11.2,11.3,10.9,10.9,874000
DELTA,1/22/1996,10.9,10.9,10.7,10.7,272000
DELTA,1/23/1996,10.8,11.3,10.8,11.1,1989000
DELTA,1/24/1996,11.0,11.4,11.0,11.1,374000
DELTA,1/25/1996,11.1,11.1,10.9,10.9,356000
DELTA,1/26/1996,10.9,11.2,10.9,11.0,566000
DELTA,1/29/1996,11.0,11.6,11.0,11.4,1477000
DELTA,1/30/1996,11.5,11.5,11.3,11.4,1159000
DELTA,1/31/1996,11.5,11.5,11.3,11.4,965000
DELTA,2/1/1996,11.4,12.0,11.3,11.8,2879900
DELTA,2/2/1996,11.8,12.9,11.8,12.9,5305900
DELTA,2/5/1996,13.1,13.4,12.6,12.7,4241000
DELTA,2/6/1996,12.6,12.7,12.1,12.3,1720000
DELTA,2/7/1996,12.4,13.1,12.4,12.8,3232100
DELTA,2/8/1996,12.7,12.9,12.6,12.9,750000
DELTA,2/9/1996,12.8,12.9,12.5,12.5,1459000
DELTA,2/12/1996,12.5,12.5,12.2,12.2,378000
DELTA,2/13/1996,12.4,12.6,12.4,12.6,515000
DELTA,2/14/1996,12.6,12.7,12.4,12.5,467000
DELTA,2/15/1996,12.6,12.7,12.5,12.5,379000
DELTA,2/16/1996,12.5,12.6,12.4,12.4,200000
DELTA,2/19/1996,12.5,12.5,12.3,12.4,175000
DELTA,2/20/1996,12.5,12.5,12.4,12.5,104000
DELTA,2/21/1996,12.4,12.5,12.4,12.5,126000
DELTA,2/22/1996,12.5,12.8,12.4,12.5,778000
DELTA,2/23/1996,12.4,12.4,12.0,12.2,793000
DELTA,2/26/1996,12.2,12.2,11.8,11.8,192000
DELTA,2/27/1996,11.7,12.0,11.6,12.0,186000
DELTA,2/28/1996,12.2,12.2,12.0,12.1,279000
DELTA,3/4/1996,12.0,12.3,11.8,11.8,181000
DELTA,3/5/1996,11.6,11.8,11.5,11.5,160000
DELTA,3/6/1996,11.5,11.8,11.5,11.8,201000
DELTA,3/7/1996,11.8,11.8,11.6,11.6,170000
DELTA,3/8/1996,11.2,11.4,10.5,10.6,1230000
DELTA,3/11/1996,10.4,10.4,10.0,10.2,448000
DELTA,3/12/1996,10.3,10.3,10.1,10.3,365000
DELTA,3/13/1996,10.1,10.3,10.0,10.3,272000
DELTA,3/14/1996,10.2,10.5,10.2,10.5,158200
DELTA,3/15/1996,10.7,11.2,10.7,10.9,495500
DELTA,3/18/1996,10.8,10.9,10.7,10.8,52000
DELTA,3/19/1996,10.9,11.3,10.9,11.1,232500
DELTA,3/20/1996,10.9,11.1,10.9,10.9,126000
DELTA,3/21/1996,10.8,11.1,10.8,11.1,209000
DELTA,3/22/1996,11.0,11.4,11.0,11.3,656000
DELTA,3/25/1996,11.3,11.3,11.2,11.2,169000
DELTA,3/26/1996,11.3,11.3,11.1,11.2,329000
DELTA,3/27/1996,11.2,11.2,11.1,11.1,640000
DELTA,3/28/1996,11.0,11.2,10.9,11.2,177000
DELTA,3/29/1996,11.0,11.4,10.9,11.2,530000
DELTA,4/1/1996,11.2,11.2,10.9,10.9,466000
DELTA,4/2/1996,11.0,11.2,11.0,11.2,121000
DELTA,4/3/1996,11.3,11.3,11.1,11.2,207000
DELTA,4/4/1996,11.0,11.2,11.0,11.2,53000
DELTA,4/5/1996,11.0,11.2,10.9,11.2,167000
DELTA,4/9/1996,11.0,11.0,11.0,11.0,27000
DELTA,4/10/1996,11.0,11.0,11.0,11.0,226000
DELTA,4/11/1996,11.0,11.0,10.8,10.9,24000
DELTA,4/16/1996,10.9,11.1,10.7,11.1,132000
DELTA,4/17/1996,11.0,11.1,10.9,11.1,117000
DELTA,4/18/1996,10.9,10.9,10.7,10.7,37000
DELTA,4/19/1996,10.7,10.9,10.7,10.9,115000
DELTA,4/22/1996,10.8,10.8,10.7,10.7,67000
DELTA,4/23/1996,10.6,10.6,10.5,10.5,11000
DELTA,4/24/1996,10.7,10.8,10.7,10.8,35000
DELTA,4/25/1996,10.6,10.6,10.6,10.6,67000
DELTA,4/26/1996,10.5,10.7,10.4,10.7,85000
DELTA,4/29/1996,10.7,10.7,10.4,10.4,120000
DELTA,4/30/1996,10.5,10.5,10.4,10.5,189000
DELTA,5/2/1996,10.6,11.0,10.6,10.9,56000
DELTA,5/3/1996,10.9,11.3,10.9,11.0,798000
DELTA,5/7/1996,11.0,11.1,10.9,10.9,161000
DELTA,5/8/1996,11.0,11.2,10.9,11.0,304000
DELTA,5/9/1996,10.9,11.2,10.9,11.1,308000
DELTA,5/10/1996,11.0,11.1,10.9,11.0,96000
DELTA,5/13/1996,11.0,11.0,10.6,11.0,596000
DELTA,5/14/1996,10.8,11.0,10.8,11.0,596000
DELTA,5/15/1996,11.0,11.0,10.7,10.9,394000
DELTA,5/16/1996,10.9,10.9,10.7,10.8,351000
DELTA,5/17/1996,10.7,11.0,10.6,11.0,361000
DELTA,5/20/1996,10.9,10.9,10.8,10.9,303000
DELTA,5/21/1996,10.8,10.9,10.8,10.9,109000
DELTA,5/22/1996,10.7,10.8,10.6,10.8,303000
DELTA,5/23/1996,10.7,10.9,10.6,10.9,258000
DELTA,5/24/1996,10.8,11.1,10.8,11.1,525000
DELTA,5/27/1996,11.0,11.1,10.8,11.1,406000
DELTA,5/28/1996,10.9,11.0,10.8,10.8,177000
DELTA,5/29/1996,10.7,11.0,10.6,11.0,341000
DELTA,5/30/1996,11.0,11.6,10.9,11.5,1838000
DELTA,6/3/1996,11.5,12.0,11.5,11.7,3180000
DELTA,6/4/1996,11.5,11.8,11.5,11.6,634000
DELTA,6/5/1996,11.6,11.9,11.6,11.8,2106000
DELTA,6/6/1996,11.8,12.4,11.8,12.0,8331200
DELTA,6/7/1996,12.0,12.1,11.9,12.1,1210000
DELTA,6/11/1996,11.8,11.9,11.6,11.7,1377000
DELTA,6/12/1996,11.6,11.8,11.6,11.7,3355000
DELTA,6/13/1996,11.7,11.8,11.6,11.7,232000
DELTA,6/14/1996,11.7,11.9,11.7,11.9,395000
DELTA,6/17/1996,11.9,11.9,11.8,11.9,253000
DELTA,6/18/1996,11.8,11.9,11.7,11.8,219000
DELTA,6/19/1996,11.7,11.8,11.7,11.8,151000
DELTA,6/20/1996,11.8,11.8,11.6,11.8,356000
DELTA,6/21/1996,11.6,11.7,11.5,11.7,122000
DELTA,6/24/1996,11.7,11.8,11.7,11.8,445000
DELTA,6/25/1996,11.8,11.8,11.6,11.7,340000
DELTA,6/26/1996,11.5,11.7,11.5,11.6,94000
DELTA,6/27/1996,11.6,11.7,11.5,11.7,116000
DELTA,6/28/1996,11.7,11.8,11.6,11.8,436000
DELTA,7/2/1996,11.7,11.7,11.6,11.7,80000
DELTA,7/3/1996,11.6,11.9,11.5,11.9,469000
DELTA,7/4/1996,11.9,11.9,11.7,11.8,205000
DELTA,7/5/1996,11.8,11.8,11.6,11.7,110000
DELTA,7/8/1996,11.5,11.5,11.4,11.5,75000
DELTA,7/9/1996,11.5,11.6,11.4,11.6,97000
DELTA,7/10/1996,11.5,11.6,11.5,11.6,110000
DELTA,7/11/1996,11.6,11.6,11.4,11.5,178000
DELTA,7/12/1996,11.5,11.5,11.1,11.3,609000
DELTA,7/15/1996,11.2,11.2,10.8,10.9,406000
DELTA,7/16/1996,10.9,11.1,10.4,11.1,354000
DELTA,7/17/1996,10.9,11.0,10.8,11.0,146000
DELTA,7/18/1996,10.6,11.0,10.6,11.0,31000
DELTA,7/19/1996,10.8,10.9,10.7,10.9,116000
DELTA,7/22/1996,11.0,11.0,10.8,10.9,66000
DELTA,7/23/1996,10.8,10.8,10.7,10.8,96000
DELTA,7/24/1996,10.7,10.7,10.5,10.7,130000
DELTA,7/25/1996,10.8,10.8,10.3,10.5,482000
DELTA,7/26/1996,10.4,10.4,10.2,10.4,388000
DELTA,7/29/1996,10.3,10.4,10.3,10.4,32000
DELTA,7/31/1996,10.2,10.3,10.0,10.2,133000
DELTA,8/1/1996,10.2,10.6,10.0,10.6,95000
DELTA,8/2/1996,10.5,10.8,10.4,10.6,226000
DELTA,8/5/1996,10.7,11.0,10.7,11.0,310000
DELTA,8/6/1996,11.0,11.1,10.6,10.7,328000
DELTA,8/7/1996,10.7,10.8,10.5,10.7,485000
DELTA,8/8/1996,10.8,10.8,10.6,10.6,212000
DELTA,8/9/1996,10.5,10.5,10.4,10.5,155000
DELTA,8/13/1996,10.3,10.5,10.3,10.5,9000
DELTA,8/14/1996,10.4,10.5,10.3,10.5,192000
DELTA,8/15/1996,10.4,10.5,10.4,10.5,143000
DELTA,8/16/1996,10.5,10.5,10.2,10.3,241000
DELTA,8/19/1996,10.2,10.2,10.0,10.0,220000
DELTA,8/20/1996,10.0,10.3,10.0,10.3,92000
DELTA,8/21/1996,10.3,10.3,10.2,10.3,86000
DELTA,8/22/1996,10.3,10.3,10.3,10.3,27000
DELTA,8/23/1996,10.3,10.4,10.3,10.3,245000
DELTA,8/26/1996,10.3,10.5,10.3,10.5,112000
DELTA,8/27/1996,10.4,10.5,10.2,10.5,106000
DELTA,8/28/1996,10.3,10.5,10.3,10.5,89000
DELTA,8/29/1996,10.3,10.7,10.3,10.6,406500
DELTA,8/30/1996,10.5,10.7,10.4,10.7,231000
DELTA,9/2/1996,10.6,10.7,10.6,10.6,50000
DELTA,9/3/1996,10.5,10.5,9.55,10.2,129000
DELTA,9/4/1996,10.1,10.2,9.95,10.2,104000
DELTA,9/5/1996,10.1,10.1,9.6,9.9,96000
DELTA,9/6/1996,9.6,10.0,9.6,9.9,81000
DELTA,9/9/1996,9.9,9.9,9.2,9.45,171000
DELTA,9/10/1996,9.45,9.6,9.4,9.55,128000
DELTA,9/11/1996,9.55,9.6,9.5,9.6,49000
DELTA,9/12/1996,9.65,9.75,9.6,9.75,79000
DELTA,9/13/1996,9.65,9.95,9.65,9.95,54000
DELTA,9/16/1996,10.0,10.0,9.85,9.9,86000
DELTA,9/17/1996,9.9,10.1,9.85,10.1,265000
DELTA,9/18/1996,9.8,9.8,9.75,9.8,31000
DELTA,9/19/1996,9.9,10.0,9.8,10.0,35000
DELTA,9/20/1996,9.8,10.0,9.8,9.9,30000
DELTA,9/23/1996,9.95,9.95,9.8,9.8,53000
DELTA,9/24/1996,9.85,9.85,9.65,9.85,37000
DELTA,9/25/1996,9.9,10.3,9.9,10.1,129000
DELTA,9/26/1996,10.4,10.8,10.4,10.7,509000
DELTA,9/27/1996,10.7,10.9,10.6,10.8,274000
DELTA,9/30/1996,11.0,11.4,10.8,11.3,1752000
DELTA,10/1/1996,11.3,11.3,10.8,10.9,469000
DELTA,10/2/1996,10.8,10.9,10.6,10.6,267000
DELTA,10/3/1996,10.3,10.3,9.9,10.0,140000
DELTA,10/4/1996,9.8,9.9,9.8,9.9,154000
DELTA,10/7/1996,9.9,9.9,9.3,9.35,134000
DELTA,10/8/1996,8.5,10.2,8.5,10.2,57000
DELTA,10/9/1996,9.8,10.2,9.5,9.6,1206000
DELTA,10/10/1996,9.75,9.8,9.35,9.7,1185000
DELTA,10/11/1996,9.5,9.7,9.5,9.7,51000
DELTA,10/14/1996,9.6,9.7,9.5,9.7,95000
DELTA,10/15/1996,9.7,9.7,9.25,9.55,96000
DELTA,10/16/1996,9.45,9.7,9.45,9.7,33000
DELTA,10/17/1996,9.65,9.7,9.65,9.7,7000
DELTA,10/18/1996,9.6,10.0,9.6,10.0,161000
DELTA,10/21/1996,9.85,9.95,9.65,9.95,75000
DELTA,10/22/1996,9.7,9.95,9.7,9.95,31000
DELTA,10/24/1996,9.9,9.95,9.9,9.95,9000
DELTA,10/25/1996,9.85,9.85,9.85,9.85,10000
DELTA,10/28/1996,9.7,9.85,9.7,9.85,12000
DELTA,10/29/1996,9.7,9.85,9.65,9.85,16000
DELTA,10/30/1996,9.5,9.7,9.45,9.7,33000
DELTA,10/31/1996,9.45,9.75,9.45,9.75,67000
DELTA,11/1/1996,9.7,9.75,9.7,9.75,16000
DELTA,11/4/1996,9.75,9.75,9.75,9.75,10000
DELTA,11/5/1996,9.65,9.65,9.65,9.65,28000
DELTA,11/6/1996,9.7,9.8,9.7,9.8,41000
DELTA,11/7/1996,9.7,9.8,9.7,9.8,15000
DELTA,11/8/1996,9.8,9.9,9.7,9.9,13000
