Ticker,Date/Time,Open,High,Low,Close,Volume
DTAC,6/22/2007,42.5,43.5,41.75,41.75,63534508
DTAC,6/25/2007,41.75,42.25,40.0,40.5,11919256
DTAC,6/26/2007,40.0,40.25,39.5,40.0,12260901
DTAC,6/27/2007,40.25,41.75,40.25,41.75,11739400
DTAC,6/28/2007,42.0,42.0,40.5,41.0,10386200
DTAC,6/29/2007,41.25,41.5,41.0,41.0,2129945
DTAC,7/2/2007,41.0,41.75,40.75,41.5,4418400
DTAC,7/3/2007,41.75,42.5,41.75,42.5,12369102
DTAC,7/4/2007,42.5,43.0,42.5,42.75,8834503
DTAC,7/5/2007,43.0,44.0,42.75,43.25,13055718
DTAC,7/6/2007,43.25,43.5,42.75,43.25,3676602
DTAC,7/9/2007,43.75,44.0,43.5,43.5,5048600
DTAC,7/10/2007,43.75,44.0,43.0,43.5,5969800
DTAC,7/11/2007,43.5,43.75,43.25,43.25,2005000
DTAC,7/12/2007,43.5,45.5,43.25,44.75,18940100
DTAC,7/13/2007,45.75,45.75,44.75,45.0,4883000
DTAC,7/16/2007,45.5,46.75,45.0,46.75,8990200
DTAC,7/17/2007,46.75,49.5,45.75,48.5,9758900
DTAC,7/18/2007,48.5,49.25,46.75,47.0,5170100
DTAC,7/19/2007,47.25,47.25,46.5,46.75,700400
DTAC,7/20/2007,47.0,47.75,47.0,47.0,1168628
DTAC,7/23/2007,46.0,46.5,45.5,46.5,1986900
DTAC,7/24/2007,47.0,47.5,45.75,45.75,10660705
DTAC,7/25/2007,46.0,46.75,45.75,46.25,2731728
DTAC,7/26/2007,46.75,47.0,45.25,45.25,5819592
DTAC,7/27/2007,44.5,45.0,44.0,44.75,3308300
DTAC,7/31/2007,45.25,45.75,44.5,45.5,2344800
DTAC,8/1/2007,45.0,45.25,43.75,43.75,2955200
DTAC,8/2/2007,44.25,44.5,43.25,43.75,3323400
DTAC,8/3/2007,44.25,44.75,44.0,44.25,458100
DTAC,8/6/2007,43.0,43.5,42.5,43.0,1068500
DTAC,8/7/2007,43.0,43.75,42.75,43.5,1612300
DTAC,8/8/2007,43.75,44.0,43.0,43.25,1215400
DTAC,8/9/2007,43.75,43.75,41.25,41.5,3695002
DTAC,8/10/2007,40.0,41.5,40.0,41.25,2667400
DTAC,8/14/2007,41.25,42.0,40.75,41.0,837206
DTAC,8/15/2007,40.75,40.75,39.75,40.0,2945400
DTAC,8/16/2007,39.25,39.25,37.75,38.25,3977200
DTAC,8/17/2007,38.75,39.75,38.0,39.5,3211800
DTAC,8/20/2007,41.0,41.25,40.0,41.25,2455400
DTAC,8/21/2007,41.75,41.75,39.5,39.5,1901946
DTAC,8/22/2007,40.25,40.5,40.0,40.25,1060400
DTAC,8/23/2007,40.75,41.25,40.5,40.75,1332560
DTAC,8/24/2007,40.5,40.75,40.25,40.75,287700
DTAC,8/27/2007,41.25,41.25,40.5,40.5,315600
DTAC,8/28/2007,40.75,41.0,40.25,40.25,576210
