Ticker,Date/Time,Open,High,Low,Close,Volume
EA,1/30/2013,5.95,8.05,5.9,7.6,2026076032
EA,1/31/2013,8.2,8.3,7.6,7.6,597674944
EA,2/1/2013,7.7,7.95,7.35,7.4,266916112
EA,2/4/2013,7.5,7.7,7.4,7.55,169543824
EA,2/5/2013,7.4,7.55,7.15,7.25,119426496
EA,2/6/2013,7.25,7.3,6.95,7.0,104997776
EA,2/7/2013,7.0,7.1,6.75,6.75,64429112
EA,2/8/2013,6.85,7.0,6.7,6.7,66059800
EA,2/11/2013,6.7,6.7,6.25,6.3,26712112
EA,2/12/2013,6.3,6.8,6.2,6.75,38667300
EA,2/13/2013,6.75,6.85,6.4,6.45,15220331
EA,2/14/2013,6.5,6.6,6.45,6.5,8045903
EA,2/15/2013,6.45,6.55,6.35,6.4,4973900
EA,2/18/2013,6.45,6.5,6.3,6.35,8066702
EA,2/19/2013,6.35,6.4,6.25,6.35,7349938
EA,2/20/2013,6.4,6.45,6.35,6.45,4785000
EA,2/21/2013,6.4,6.5,6.3,6.3,13891610
EA,2/22/2013,6.35,6.5,6.3,6.45,12801950
EA,2/26/2013,6.45,7.2,6.45,7.1,58009504
EA,2/27/2013,7.15,7.2,6.8,6.85,28417630
EA,2/28/2013,6.9,7.0,6.7,6.9,14374100
EA,3/1/2013,7.0,7.25,6.8,7.2,41325600
EA,3/4/2013,7.3,7.4,6.95,6.95,97139936
EA,3/5/2013,7.1,7.1,6.95,7.0,32622816
EA,3/6/2013,7.05,7.15,6.85,6.9,36183864
EA,3/7/2013,6.9,7.05,6.9,6.9,16292004
EA,3/8/2013,6.95,7.2,6.9,7.1,64521800
EA,3/11/2013,7.25,7.4,7.15,7.4,90341416
EA,3/12/2013,7.6,7.85,7.5,7.6,205044320
EA,3/13/2013,7.7,7.85,7.6,7.65,135127136
EA,3/14/2013,7.8,8.35,7.7,8.2,361619488
EA,3/15/2013,8.4,9.05,8.4,8.75,304068576
EA,3/18/2013,8.9,9.85,8.85,9.45,311380928
EA,3/19/2013,9.8,9.8,8.15,8.4,398552576
EA,3/20/2013,8.4,8.45,7.95,8.1,187691008
EA,3/21/2013,8.05,8.3,7.65,8.1,92972200
EA,3/22/2013,7.95,8.1,7.3,7.5,119268232
EA,3/25/2013,7.25,7.55,7.05,7.55,20778800
EA,3/26/2013,7.5,7.75,7.4,7.65,16397300
EA,3/27/2013,7.8,8.2,7.75,8.05,36902100
EA,3/28/2013,7.95,8.1,7.45,7.85,20475712
EA,3/29/2013,7.95,8.2,7.95,8.05,22053100
EA,4/1/2013,8.1,8.15,7.85,7.85,11725500
EA,4/2/2013,7.85,7.9,7.65,7.75,7765620
EA,4/3/2013,7.7,7.8,7.35,7.35,16072500
EA,4/4/2013,6.9,7.65,6.9,7.65,11484900
EA,4/5/2013,7.5,7.55,7.4,7.4,4285500
EA,4/9/2013,7.4,7.45,7.25,7.25,3697608
EA,4/10/2013,7.25,7.45,7.15,7.3,2546300
EA,4/11/2013,7.4,7.6,7.35,7.6,3727900
EA,4/12/2013,7.65,7.85,7.6,7.8,5401900
EA,4/17/2013,7.65,7.75,7.5,7.6,6360100
EA,4/18/2013,7.55,7.55,7.3,7.55,4573000
EA,4/19/2013,7.5,7.75,7.5,7.7,4137600
EA,4/22/2013,7.85,8.25,7.85,8.2,30758926
EA,4/23/2013,8.1,8.15,7.8,7.95,11316000
EA,4/24/2013,8.05,8.05,7.75,7.9,9338301
EA,4/25/2013,7.95,8.1,7.85,8.05,8574700
EA,4/26/2013,8.05,8.05,7.85,7.9,8643900
EA,4/29/2013,7.95,8.15,7.9,8.15,14810000
EA,4/30/2013,8.2,8.55,8.15,8.55,36869044
EA,5/2/2013,8.55,8.55,8.35,8.4,20883814
EA,5/3/2013,8.5,8.5,8.35,8.45,13635100
EA,5/7/2013,8.6,8.6,8.2,8.3,20383208
EA,5/8/2013,8.45,8.45,8.3,8.4,12350301
EA,5/9/2013,8.45,8.45,8.3,8.3,10222701
EA,5/10/2013,8.3,8.3,7.95,7.95,16422500
EA,5/13/2013,8.0,8.3,7.9,8.2,15544729
EA,5/14/2013,8.3,8.3,8.05,8.2,9361400
EA,5/15/2013,8.25,8.25,8.1,8.1,5903400
EA,5/16/2013,8.2,8.4,8.15,8.25,22170300
EA,5/17/2013,8.25,8.3,8.15,8.15,7337345
