Ticker,Date/Time,Open,High,Low,Close,Volume
EGCO,1/16/1995,40.99,56.86,40.75,56.86,101206808
EGCO,1/17/1995,57.81,58.28,51.17,51.17,39808496
EGCO,1/18/1995,49.75,55.91,49.28,55.91,28873122
EGCO,1/19/1995,55.44,56.39,52.6,53.54,11280961
EGCO,1/20/1995,51.17,52.12,49.75,51.17,10481190
EGCO,1/23/1995,49.28,49.75,46.2,47.38,13983619
EGCO,1/24/1995,47.86,50.7,47.15,50.7,9058527
EGCO,1/25/1995,51.17,53.54,51.17,52.6,7803125
EGCO,1/26/1995,53.07,54.96,53.07,54.96,7027735
EGCO,1/27/1995,53.54,54.96,52.6,53.54,3422009
EGCO,1/30/1995,53.07,54.96,52.6,53.07,1338687
EGCO,1/31/1995,53.07,53.54,52.12,52.6,835637
EGCO,2/1/1995,53.54,57.81,53.54,57.81,10835854
EGCO,2/2/1995,56.86,60.65,56.39,58.75,11868081
EGCO,2/3/1995,58.75,60.65,58.75,60.18,6487456
EGCO,2/6/1995,61.12,63.97,60.65,62.07,10491743
EGCO,2/7/1995,61.6,62.55,60.18,60.65,7489293
EGCO,2/8/1995,59.7,61.6,59.23,60.18,3181944
EGCO,2/9/1995,60.18,62.07,59.7,60.18,1953338
EGCO,2/10/1995,60.18,61.6,59.7,60.18,1040669
EGCO,2/13/1995,60.65,60.65,58.28,59.23,2511556
EGCO,2/15/1995,58.75,61.12,58.75,60.65,2443388
EGCO,2/16/1995,61.12,62.55,60.65,62.07,4560709
EGCO,2/17/1995,60.18,61.12,60.18,60.65,1464450
EGCO,2/20/1995,59.23,61.6,59.23,61.12,1655235
EGCO,2/21/1995,60.65,61.6,59.23,59.7,2256506
EGCO,2/22/1995,59.7,60.18,55.91,55.91,4648188
EGCO,2/23/1995,56.86,57.81,54.49,56.86,3785114
EGCO,2/24/1995,58.75,59.7,58.28,58.75,2167128
EGCO,2/27/1995,55.91,59.23,55.44,58.75,3066818
EGCO,2/28/1995,58.75,60.65,58.75,60.65,2061288
EGCO,3/1/1995,61.12,61.6,60.18,60.65,1990166
EGCO,3/2/1995,60.65,60.65,59.7,59.7,906021
EGCO,3/3/1995,59.7,59.7,58.28,58.75,998143
EGCO,3/6/1995,58.75,58.75,57.33,58.75,1220586
EGCO,3/7/1995,57.81,58.75,57.33,58.28,1183653
EGCO,3/8/1995,56.86,57.81,56.39,57.33,1857312
EGCO,3/9/1995,57.81,58.28,56.86,57.81,1308697
EGCO,3/10/1995,58.28,58.28,55.91,56.86,1306270
EGCO,3/13/1995,57.81,57.81,54.96,54.96,1140810
EGCO,3/14/1995,54.02,54.49,50.7,53.54,3306250
EGCO,3/15/1995,54.49,55.44,53.07,53.07,2371421
EGCO,3/16/1995,52.12,54.96,51.65,54.96,2136421
EGCO,3/17/1995,54.96,60.18,54.96,58.75,3592429
EGCO,3/20/1995,59.23,59.7,57.33,57.33,850305
EGCO,3/21/1995,57.81,58.75,56.39,56.39,833738
EGCO,3/22/1995,56.39,59.23,56.39,59.23,1264483
EGCO,3/23/1995,59.23,60.65,59.23,59.7,1963468
EGCO,3/24/1995,59.23,59.23,58.28,58.75,397927
EGCO,3/27/1995,59.7,60.18,58.75,58.75,550936
EGCO,3/28/1995,58.75,59.23,58.28,59.23,462613
EGCO,3/29/1995,58.75,59.7,58.75,59.23,835848
EGCO,3/30/1995,59.7,59.7,58.28,58.75,333980
EGCO,3/31/1995,58.75,59.23,57.81,58.28,385581
EGCO,4/3/1995,56.86,57.33,55.91,56.86,314986
EGCO,4/4/1995,56.86,57.33,56.39,56.39,239959
EGCO,4/5/1995,57.33,57.33,56.39,56.86,374607
EGCO,4/7/1995,55.91,56.86,55.91,56.39,831944
EGCO,4/10/1995,55.91,56.86,55.91,56.86,88322
EGCO,4/11/1995,57.33,58.75,56.86,58.28,482673
EGCO,4/17/1995,58.28,58.28,57.33,57.81,153325
EGCO,4/18/1995,57.81,58.75,56.86,57.33,319313
EGCO,4/19/1995,56.86,56.86,56.39,56.39,300318
EGCO,4/20/1995,56.39,57.33,56.39,57.33,178440
EGCO,4/21/1995,57.33,57.81,57.33,57.81,353713
EGCO,4/24/1995,57.81,59.7,57.81,58.75,2143280
EGCO,4/25/1995,59.23,59.7,58.75,59.23,534580
EGCO,4/26/1995,59.23,60.18,58.75,59.7,1073180
EGCO,4/27/1995,59.7,59.7,59.23,59.23,235211
EGCO,4/28/1995,59.23,62.55,59.23,62.55,2910971
EGCO,5/2/1995,62.55,68.71,62.07,67.28,6639515
EGCO,5/3/1995,67.76,67.76,64.44,64.91,2109512
EGCO,5/4/1995,65.86,67.76,65.39,65.86,2419962
EGCO,5/8/1995,65.86,67.28,65.39,67.28,1538843
EGCO,5/9/1995,68.23,72.5,67.76,70.6,4026551
EGCO,5/10/1995,71.07,72.02,68.71,69.18,1753583
EGCO,5/11/1995,68.23,70.13,67.76,68.71,982789
EGCO,5/12/1995,69.65,70.13,68.23,69.65,4143154
EGCO,5/16/1995,69.65,71.07,68.71,69.18,1534833
EGCO,5/17/1995,69.18,69.65,68.23,69.18,890720
EGCO,5/18/1995,68.23,69.18,68.23,68.71,938628
EGCO,5/19/1995,64.91,67.76,64.91,67.28,2799950
EGCO,5/22/1995,66.34,67.28,65.86,66.34,522656
EGCO,5/23/1995,66.81,67.28,65.86,67.28,256948
EGCO,5/24/1995,67.28,70.6,67.28,70.13,1575249
EGCO,5/25/1995,71.55,73.92,70.13,73.92,3321340
EGCO,5/26/1995,72.97,76.29,72.5,72.5,2113417
EGCO,5/29/1995,72.02,73.92,71.07,71.55,1570078
EGCO,5/30/1995,72.5,72.5,68.71,69.18,635776
EGCO,5/31/1995,69.65,73.92,68.71,73.44,1581264
EGCO,6/1/1995,76.76,80.55,76.76,77.23,3210646
EGCO,6/2/1995,77.71,78.66,75.34,76.29,1247494
EGCO,6/5/1995,75.81,80.08,75.81,78.66,1402613
EGCO,6/6/1995,78.66,79.6,76.76,77.23,641686
EGCO,6/7/1995,77.23,77.71,75.81,75.81,835110
EGCO,6/8/1995,75.81,77.23,75.81,76.29,427685
EGCO,6/9/1995,76.29,76.29,75.34,75.81,374923
EGCO,6/12/1995,74.87,74.87,72.97,73.44,617152
EGCO,6/13/1995,73.92,74.39,72.5,72.5,521706
EGCO,6/14/1995,72.97,76.29,72.97,73.92,1375599
EGCO,6/15/1995,74.39,76.29,74.39,76.29,444463
EGCO,6/16/1995,76.76,76.76,75.34,75.81,568242
EGCO,6/19/1995,75.81,75.81,74.87,75.34,173268
EGCO,6/20/1995,75.34,77.23,75.34,76.29,792478
EGCO,6/21/1995,76.29,76.29,75.81,76.29,680413
EGCO,6/22/1995,75.81,76.29,74.87,75.81,634088
EGCO,6/23/1995,76.29,76.76,75.81,76.29,340734
EGCO,6/26/1995,76.29,76.29,76.29,76.29,0
EGCO,6/27/1995,76.29,76.29,76.29,76.29,0
EGCO,6/28/1995,76.29,76.29,76.29,76.29,0
EGCO,6/29/1995,76.29,76.29,76.29,76.29,0
EGCO,6/30/1995,69.18,73.44,68.71,68.71,5050337
EGCO,7/3/1995,64.44,66.81,63.97,65.86,1862166
EGCO,7/4/1995,66.81,68.71,65.86,68.71,1583480
EGCO,7/5/1995,69.18,69.65,67.28,67.28,1934239
EGCO,7/6/1995,68.23,69.18,66.81,67.76,2184434
EGCO,7/7/1995,68.71,70.6,68.23,70.13,1591921
EGCO,7/10/1995,70.13,70.13,66.34,66.34,1674652
EGCO,7/11/1995,66.34,67.76,65.86,66.81,1177321
EGCO,7/13/1995,66.81,67.28,66.34,66.81,1047317
EGCO,7/14/1995,66.81,67.28,65.86,66.81,1033810
EGCO,7/17/1995,66.81,66.81,65.39,66.34,316780
EGCO,7/18/1995,65.86,66.34,64.91,65.39,344110
EGCO,7/19/1995,63.49,64.91,62.07,63.02,1474263
EGCO,7/20/1995,62.55,64.44,62.07,63.49,305700
EGCO,7/21/1995,63.97,64.44,62.55,63.49,293354
EGCO,7/24/1995,62.55,63.02,61.6,62.55,179705
EGCO,7/25/1995,63.49,65.39,63.02,64.44,270455
EGCO,7/26/1995,65.39,66.81,65.39,66.34,263491
EGCO,7/27/1995,66.34,66.81,65.86,65.86,165671
EGCO,7/28/1995,65.86,68.23,65.39,67.76,471688
EGCO,7/31/1995,67.28,67.76,65.39,65.39,382626
EGCO,8/1/1995,64.91,64.91,63.02,63.02,334402
EGCO,8/2/1995,63.49,64.44,63.49,63.97,82519
EGCO,8/3/1995,64.44,66.81,64.44,65.86,266445
EGCO,8/4/1995,65.86,65.86,63.97,65.39,549458
EGCO,8/7/1995,64.44,65.39,63.97,63.97,282696
EGCO,8/8/1995,63.97,64.91,63.97,64.91,229090
EGCO,8/9/1995,64.91,64.91,63.97,64.91,437709
EGCO,8/10/1995,64.44,65.86,64.44,65.39,288500
EGCO,8/11/1995,67.28,67.28,65.39,65.86,287128
EGCO,8/15/1995,65.86,66.34,64.91,66.34,273621
EGCO,8/16/1995,66.34,66.34,65.39,65.39,98875
EGCO,8/17/1995,65.86,68.23,65.86,67.76,347171
EGCO,8/18/1995,67.28,67.76,66.34,67.28,617415
EGCO,8/21/1995,67.28,67.28,65.86,66.34,203976
EGCO,8/22/1995,66.34,66.34,65.39,65.86,835321
EGCO,8/23/1995,66.34,66.81,65.86,66.81,830994
EGCO,8/24/1995,67.5,70.0,67.0,68.5,642850
EGCO,8/25/1995,69.0,69.5,68.0,69.0,54200
EGCO,8/28/1995,68.5,69.0,68.0,68.5,55100
EGCO,8/29/1995,68.0,68.5,67.5,68.5,35500
EGCO,8/30/1995,68.0,68.0,67.5,67.5,73900
EGCO,8/31/1995,67.5,67.5,67.0,67.0,91700
EGCO,9/1/1995,67.0,68.0,67.0,68.0,67200
EGCO,9/4/1995,67.0,67.0,66.0,66.5,177300
EGCO,9/5/1995,66.0,67.5,66.0,67.0,97100
EGCO,9/6/1995,67.0,67.0,66.5,67.0,69200
EGCO,9/7/1995,66.5,67.0,65.5,66.0,159700
EGCO,9/8/1995,66.0,66.0,65.0,65.0,99700
EGCO,9/11/1995,65.0,66.0,65.0,65.5,90900
EGCO,9/12/1995,65.5,67.0,65.5,66.5,112620
EGCO,9/13/1995,67.0,67.5,67.0,67.5,301600
EGCO,9/14/1995,67.0,67.0,66.5,66.5,68100
EGCO,9/15/1995,67.0,68.0,66.5,67.5,253000
EGCO,9/18/1995,67.5,68.0,67.5,67.5,90100
EGCO,9/19/1995,67.0,67.0,66.0,67.0,78600
EGCO,9/20/1995,66.5,66.5,66.0,66.5,200150
