Ticker,Date/Time,Open,High,Low,Close,Volume
ERW,8/26/1988,2.88,2.88,2.1,2.88,5947732
ERW,8/29/1988,2.94,3.17,2.94,3.17,6503432
ERW,8/30/1988,3.17,3.43,2.88,3.17,9724786
ERW,8/31/1988,3.17,3.31,3.05,3.17,5539643
ERW,9/1/1988,3.17,3.17,3.05,3.14,2891368
ERW,9/2/1988,3.14,3.31,3.05,3.31,5227067
ERW,9/5/1988,3.31,3.46,3.25,3.46,6303730
ERW,9/6/1988,3.46,3.48,3.4,3.43,4028817
ERW,9/7/1988,3.43,3.46,3.31,3.34,2934786
ERW,9/8/1988,3.34,3.43,3.22,3.25,1432650
ERW,9/9/1988,3.25,3.31,3.22,3.25,1779963
ERW,9/12/1988,3.25,3.28,3.2,3.2,512267
ERW,9/13/1988,3.17,3.17,2.88,3.11,1085331
ERW,9/14/1988,3.14,3.22,3.14,3.22,1198219
ERW,9/15/1988,3.22,3.25,3.14,3.14,234415
ERW,9/16/1988,3.14,3.14,3.11,3.11,998512
ERW,9/19/1988,3.11,3.11,3.05,3.05,868275
ERW,9/20/1988,3.05,3.08,2.99,3.05,1771284
ERW,9/21/1988,3.05,3.14,3.05,3.14,833537
ERW,9/22/1988,3.14,3.25,3.14,3.25,1293723
ERW,9/23/1988,3.25,3.25,3.17,3.22,1111380
ERW,9/26/1988,3.22,3.28,3.22,3.28,1580255
ERW,9/27/1988,3.28,3.34,3.22,3.22,1137433
ERW,9/28/1988,3.22,3.28,3.22,3.28,1727866
ERW,9/29/1988,3.28,3.31,3.28,3.28,1258986
ERW,9/30/1988,3.31,3.43,3.31,3.4,3342880
ERW,10/3/1988,3.4,3.43,3.37,3.43,1849424
ERW,10/4/1988,3.4,3.4,3.28,3.28,1180846
ERW,10/5/1988,3.28,3.28,3.25,3.28,833537
ERW,10/6/1988,3.37,3.57,3.37,3.57,3968041
ERW,10/7/1988,3.57,3.69,3.51,3.54,6069299
ERW,10/10/1988,3.54,3.63,3.51,3.54,2578793
ERW,10/11/1988,3.54,3.6,3.43,3.48,1779963
ERW,10/12/1988,3.48,3.54,3.46,3.51,1536853
ERW,10/13/1988,3.51,3.51,3.43,3.48,1667090
ERW,10/14/1988,3.48,3.54,3.46,3.54,1927564
ERW,10/17/1988,3.54,3.8,3.54,3.77,9585849
ERW,10/18/1988,3.8,4.03,3.8,3.8,11869436
ERW,10/19/1988,3.89,4.03,3.89,3.97,10054730
ERW,10/20/1988,3.97,4.03,3.86,3.86,2144640
ERW,10/21/1988,3.86,3.92,3.74,3.77,3829119
ERW,10/25/1988,3.77,3.8,3.6,3.63,6399238
ERW,10/26/1988,3.63,3.77,3.54,3.6,5626477
ERW,10/27/1988,3.6,3.63,3.46,3.46,4558479
ERW,10/28/1988,3.46,3.63,3.4,3.6,4471645
ERW,10/31/1988,3.6,3.66,3.46,3.46,2135971
ERW,11/1/1988,3.46,3.57,3.22,3.34,3073717
