Ticker,Date/Time,Open,High,Low,Close,Volume
GLOBAL,8/19/2009,0.73,0.75,0.68,0.68,414142496
GLOBAL,8/20/2009,0.71,0.72,0.67,0.68,135672000
GLOBAL,8/21/2009,0.68,0.68,0.65,0.65,69382896
GLOBAL,8/24/2009,0.67,0.7,0.67,0.69,145335904
GLOBAL,8/25/2009,0.69,0.72,0.68,0.7,98387400
GLOBAL,8/26/2009,0.7,0.72,0.7,0.7,67614304
GLOBAL,8/27/2009,0.7,0.72,0.69,0.69,52369700
GLOBAL,8/28/2009,0.7,0.73,0.7,0.71,81499104
GLOBAL,8/31/2009,0.71,0.72,0.71,0.72,24473900
GLOBAL,9/1/2009,0.72,0.74,0.72,0.72,57085200
GLOBAL,9/2/2009,0.72,0.72,0.71,0.72,10641400
GLOBAL,9/3/2009,0.72,0.73,0.72,0.72,22883900
GLOBAL,9/4/2009,0.72,0.74,0.72,0.72,74139504
GLOBAL,9/7/2009,0.72,0.72,0.71,0.72,30023100
GLOBAL,9/8/2009,0.72,0.73,0.72,0.72,55773800
GLOBAL,9/9/2009,0.73,0.73,0.72,0.72,18894600
GLOBAL,9/10/2009,0.72,0.73,0.72,0.72,36887100
GLOBAL,9/11/2009,0.72,0.77,0.72,0.74,146738704
GLOBAL,9/14/2009,0.76,0.79,0.76,0.77,191367008
GLOBAL,9/15/2009,0.78,0.79,0.77,0.77,57279300
GLOBAL,9/16/2009,0.77,0.78,0.77,0.77,33294700
GLOBAL,9/17/2009,0.78,0.78,0.74,0.75,32572800
GLOBAL,9/18/2009,0.75,0.77,0.75,0.76,7146900
GLOBAL,9/21/2009,0.77,0.77,0.75,0.76,16899200
GLOBAL,9/22/2009,0.77,0.79,0.76,0.78,49066700
GLOBAL,9/23/2009,0.8,0.8,0.79,0.79,112678096
GLOBAL,9/24/2009,0.79,0.8,0.78,0.79,23673400
GLOBAL,9/25/2009,0.79,0.79,0.77,0.77,19872200
GLOBAL,9/28/2009,0.79,0.79,0.77,0.77,27738600
GLOBAL,9/29/2009,0.79,0.79,0.77,0.77,16026200
GLOBAL,9/30/2009,0.79,0.79,0.77,0.79,38169300
GLOBAL,10/1/2009,0.79,0.79,0.78,0.79,14745500
GLOBAL,10/2/2009,0.77,0.79,0.77,0.78,11913900
GLOBAL,10/5/2009,0.78,0.78,0.76,0.77,22971000
GLOBAL,10/6/2009,0.77,0.78,0.77,0.77,6468000
GLOBAL,10/7/2009,0.78,0.78,0.77,0.77,12300000
GLOBAL,10/8/2009,0.78,0.78,0.77,0.77,16953400
GLOBAL,10/9/2009,0.78,0.78,0.77,0.77,9542000
GLOBAL,10/12/2009,0.77,0.77,0.77,0.77,11485600
GLOBAL,10/13/2009,0.77,0.77,0.76,0.76,8440200
GLOBAL,10/14/2009,0.76,0.76,0.72,0.72,21534100
GLOBAL,10/15/2009,0.73,0.73,0.65,0.67,30152400
GLOBAL,10/16/2009,0.67,0.69,0.67,0.68,11601400
GLOBAL,10/19/2009,0.68,0.72,0.68,0.72,8029300
GLOBAL,10/20/2009,0.72,0.73,0.71,0.71,6928000
GLOBAL,10/21/2009,0.71,0.78,0.71,0.76,81033104
GLOBAL,10/22/2009,0.75,0.75,0.72,0.73,25549000
GLOBAL,10/26/2009,0.73,0.73,0.72,0.73,6674300
GLOBAL,10/27/2009,0.72,0.74,0.72,0.73,11737700
GLOBAL,10/28/2009,0.73,0.76,0.72,0.73,15164200
GLOBAL,10/29/2009,0.73,0.73,0.72,0.73,10603900
GLOBAL,10/30/2009,0.73,0.74,0.71,0.71,17251200
GLOBAL,11/2/2009,0.71,0.72,0.7,0.71,11394100
GLOBAL,11/3/2009,0.72,0.74,0.71,0.73,22881600
GLOBAL,11/4/2009,0.73,0.79,0.73,0.77,58495800
GLOBAL,11/5/2009,0.77,0.79,0.77,0.77,64210000
GLOBAL,11/6/2009,0.77,0.78,0.77,0.77,7736200
GLOBAL,11/9/2009,0.77,0.77,0.75,0.76,21349200
GLOBAL,11/10/2009,0.77,0.77,0.74,0.74,27559300
GLOBAL,11/11/2009,0.75,0.76,0.74,0.75,11916300
GLOBAL,11/12/2009,0.74,0.75,0.73,0.73,8248700
GLOBAL,11/13/2009,0.73,0.74,0.73,0.73,6123800
GLOBAL,11/16/2009,0.74,0.74,0.73,0.74,3234300
GLOBAL,11/17/2009,0.74,0.74,0.73,0.73,13816300
GLOBAL,11/18/2009,0.74,0.74,0.73,0.73,2863300
GLOBAL,11/19/2009,0.73,0.73,0.73,0.73,2318000
GLOBAL,11/20/2009,0.73,0.73,0.72,0.73,5402000
GLOBAL,11/23/2009,0.73,0.73,0.72,0.73,10705200
GLOBAL,11/24/2009,0.72,0.72,0.71,0.72,10073500
GLOBAL,11/25/2009,0.72,0.73,0.71,0.73,4223400
GLOBAL,11/26/2009,0.73,0.73,0.72,0.72,2757700
GLOBAL,11/27/2009,0.72,0.73,0.7,0.72,14830500
GLOBAL,11/30/2009,0.72,0.73,0.72,0.73,2567100
GLOBAL,12/1/2009,0.73,0.73,0.72,0.73,1567400
GLOBAL,12/2/2009,0.73,0.73,0.72,0.73,5966600
GLOBAL,12/3/2009,0.73,0.77,0.73,0.75,15130800
GLOBAL,12/4/2009,0.75,0.77,0.75,0.76,16178900
GLOBAL,12/8/2009,0.77,0.77,0.76,0.77,3781100
GLOBAL,12/9/2009,0.75,0.77,0.75,0.75,3713600
GLOBAL,12/11/2009,0.75,0.79,0.75,0.77,19924800
GLOBAL,12/14/2009,0.77,0.78,0.77,0.77,9522800
GLOBAL,12/15/2009,0.77,0.79,0.77,0.79,16858600
GLOBAL,12/16/2009,0.79,0.79,0.78,0.78,12858700
GLOBAL,12/17/2009,0.78,0.78,0.77,0.77,8501500
GLOBAL,12/18/2009,0.77,0.79,0.77,0.77,12411200
GLOBAL,12/21/2009,0.78,0.79,0.78,0.79,15568500
GLOBAL,12/22/2009,0.79,0.8,0.79,0.79,20374200
GLOBAL,12/23/2009,0.79,0.79,0.79,0.79,2981100
GLOBAL,12/24/2009,0.79,0.79,0.78,0.78,3218800
GLOBAL,12/25/2009,0.78,0.79,0.78,0.78,5914200
GLOBAL,12/28/2009,0.78,0.79,0.78,0.79,1472800
GLOBAL,12/29/2009,0.79,0.79,0.78,0.79,5042500
GLOBAL,12/30/2009,0.79,0.79,0.78,0.78,4753800
GLOBAL,1/4/2010,0.78,0.78,0.77,0.77,1519600
GLOBAL,1/5/2010,0.77,0.79,0.77,0.77,4147300
GLOBAL,1/6/2010,0.78,0.79,0.78,0.79,6442700
GLOBAL,1/7/2010,0.79,0.79,0.78,0.79,7462200
GLOBAL,1/8/2010,0.79,0.79,0.79,0.79,4240700
GLOBAL,1/11/2010,0.79,0.79,0.79,0.79,7913300
GLOBAL,1/12/2010,0.79,0.79,0.79,0.79,9322900
GLOBAL,1/13/2010,0.79,0.79,0.79,0.79,35052600
GLOBAL,1/14/2010,0.79,0.79,0.79,0.79,9369500
GLOBAL,1/15/2010,0.79,0.84,0.79,0.83,143236096
GLOBAL,1/18/2010,0.82,0.9,0.82,0.87,79110896
GLOBAL,1/19/2010,0.88,0.9,0.84,0.87,47794200
GLOBAL,1/20/2010,0.88,0.88,0.84,0.85,23427700
GLOBAL,1/21/2010,0.84,0.85,0.82,0.84,13369700
GLOBAL,1/22/2010,0.82,0.82,0.81,0.82,20505900
GLOBAL,1/25/2010,0.82,0.87,0.82,0.84,16956400
GLOBAL,1/26/2010,0.84,0.84,0.81,0.81,9305600
GLOBAL,1/27/2010,0.81,0.81,0.8,0.8,14541600
GLOBAL,1/28/2010,0.8,0.81,0.79,0.8,8884200
GLOBAL,1/29/2010,0.8,0.8,0.79,0.8,3318400
GLOBAL,2/1/2010,0.8,0.81,0.79,0.8,3557700
GLOBAL,2/2/2010,0.81,0.82,0.8,0.82,3244000
GLOBAL,2/3/2010,0.82,0.84,0.82,0.83,6879700
GLOBAL,2/4/2010,0.84,0.84,0.82,0.82,2172000
GLOBAL,2/5/2010,0.81,0.82,0.8,0.81,5194800
GLOBAL,2/8/2010,0.8,0.82,0.8,0.82,382100
GLOBAL,2/9/2010,0.82,0.82,0.8,0.8,1507600
GLOBAL,2/10/2010,0.82,0.82,0.81,0.81,1446700
GLOBAL,2/11/2010,0.81,0.84,0.81,0.83,3716700
GLOBAL,2/12/2010,0.84,0.84,0.83,0.83,7958500
GLOBAL,2/15/2010,0.84,0.84,0.82,0.83,1642200
GLOBAL,2/16/2010,0.82,0.84,0.82,0.83,1944800
GLOBAL,2/17/2010,0.84,0.84,0.84,0.84,4880400
GLOBAL,2/18/2010,0.85,0.88,0.84,0.84,6450700
GLOBAL,2/19/2010,0.84,0.85,0.84,0.84,3642600
GLOBAL,2/22/2010,0.85,0.86,0.84,0.84,8461900
GLOBAL,2/23/2010,0.85,0.88,0.85,0.86,14568600
GLOBAL,2/24/2010,0.86,0.87,0.84,0.86,10531900
GLOBAL,2/25/2010,0.86,0.93,0.86,0.9,47999400
GLOBAL,2/26/2010,0.9,0.9,0.87,0.9,8933500
GLOBAL,3/2/2010,0.9,0.9,0.89,0.9,8213500
GLOBAL,3/3/2010,0.9,0.9,0.89,0.9,4363400
GLOBAL,3/4/2010,0.9,0.91,0.9,0.9,2545900
GLOBAL,3/5/2010,0.9,0.91,0.85,0.88,15481400
GLOBAL,3/8/2010,0.9,0.9,0.84,0.84,9402500
GLOBAL,3/9/2010,0.84,0.86,0.84,0.84,6832400
GLOBAL,3/10/2010,0.85,0.85,0.84,0.85,1448700
GLOBAL,3/11/2010,0.85,0.88,0.85,0.87,3894800
GLOBAL,3/12/2010,0.87,0.88,0.85,0.88,1426500
GLOBAL,3/15/2010,0.88,0.88,0.87,0.87,809000
GLOBAL,3/16/2010,0.89,0.9,0.88,0.9,2300000
GLOBAL,3/17/2010,0.9,0.9,0.89,0.9,4670000
GLOBAL,3/18/2010,0.89,0.9,0.88,0.89,3238100
