Ticker,Date/Time,Open,High,Low,Close,Volume
GPSC,5/18/2015,23.39,24.28,23.16,23.16,151118112
GPSC,5/19/2015,23.61,24.95,23.61,24.72,130129944
GPSC,5/20/2015,24.72,25.17,24.06,24.28,87370248
GPSC,5/21/2015,24.28,24.5,23.83,23.83,36447352
GPSC,5/22/2015,24.06,24.28,23.61,23.83,21737442
GPSC,5/25/2015,24.06,24.5,23.83,24.28,39337608
GPSC,5/26/2015,24.5,24.5,23.61,23.61,21271262
GPSC,5/27/2015,23.61,24.06,23.39,23.83,13391301
GPSC,5/28/2015,23.83,24.06,23.61,23.83,9857232
GPSC,5/29/2015,24.06,24.28,23.61,23.83,22931136
GPSC,6/2/2015,23.83,23.83,23.16,23.39,23547694
GPSC,6/3/2015,23.39,23.61,23.16,23.39,11924200
GPSC,6/4/2015,23.61,23.61,23.16,23.39,10428338
GPSC,6/5/2015,23.61,23.83,23.39,23.61,13972138
GPSC,6/8/2015,23.61,24.06,23.61,23.61,12831568
GPSC,6/9/2015,23.61,23.83,23.39,23.39,15329494
GPSC,6/10/2015,23.61,23.83,23.39,23.61,9409538
GPSC,6/11/2015,23.83,24.06,23.61,23.61,13275305
GPSC,6/12/2015,23.83,23.83,23.61,23.61,2721479
GPSC,6/15/2015,23.61,23.83,23.39,23.61,5653362
GPSC,6/16/2015,23.61,23.83,23.39,23.61,4940744
GPSC,6/17/2015,23.61,23.61,23.39,23.39,2700046
GPSC,6/18/2015,23.61,23.61,23.39,23.39,6884190
GPSC,6/19/2015,23.61,23.61,23.16,23.39,9620870
GPSC,6/22/2015,23.39,23.39,23.16,23.39,7838013
GPSC,6/23/2015,23.39,23.39,23.16,23.16,2635509
GPSC,6/24/2015,23.16,23.61,23.16,23.39,6450377
GPSC,6/25/2015,23.39,23.61,23.16,23.16,3399088
GPSC,6/26/2015,23.39,23.39,23.16,23.39,2258018
GPSC,6/29/2015,23.16,23.39,22.94,23.16,8584930
GPSC,6/30/2015,23.16,23.39,22.94,23.16,5037612
GPSC,7/2/2015,23.16,23.39,22.94,23.16,5094864
