Ticker,Date/Time,Open,High,Low,Close,Volume
GULF,12/6/2017,57.5,59.5,52.25,53.75,243422096
GULF,12/7/2017,54.0,54.0,50.75,51.0,53039700
GULF,12/8/2017,52.25,55.25,52.25,54.75,58917300
GULF,12/12/2017,55.0,55.0,52.75,52.75,31781800
GULF,12/13/2017,53.0,54.25,52.25,54.0,22445200
GULF,12/14/2017,53.75,54.0,53.25,53.25,12906600
GULF,12/15/2017,53.5,54.5,53.25,54.0,13021500
GULF,12/18/2017,54.0,55.75,53.5,55.25,42127500
GULF,12/19/2017,55.25,56.25,55.0,55.25,40155900
GULF,12/20/2017,55.25,55.5,54.5,55.0,10271600
GULF,12/21/2017,54.75,55.75,54.75,55.5,10497500
GULF,12/22/2017,55.5,56.0,55.25,55.75,10326300
GULF,12/25/2017,55.75,58.5,55.75,58.5,45094200
GULF,12/26/2017,58.5,60.0,58.25,59.5,28623600
GULF,12/27/2017,59.75,64.25,59.75,62.75,48106300
GULF,12/28/2017,63.25,64.0,60.75,62.25,30045600
GULF,12/29/2017,62.5,65.0,62.25,65.0,46300400
GULF,1/3/2018,65.25,69.25,65.25,68.75,77831504
GULF,1/4/2018,68.5,69.5,67.0,69.25,56070900
GULF,1/5/2018,69.75,70.0,68.75,68.75,29106000
GULF,1/8/2018,67.75,69.0,67.5,68.25,9761700
GULF,1/9/2018,68.25,68.5,67.75,68.0,4481100
GULF,1/10/2018,68.25,70.0,67.75,69.75,16105500
GULF,1/11/2018,70.0,70.25,68.75,70.0,12283800
GULF,1/12/2018,70.5,76.5,69.5,76.5,28987000
GULF,1/15/2018,76.25,83.75,74.0,76.5,50279200
GULF,1/16/2018,76.0,76.25,71.0,74.0,26780000
GULF,1/17/2018,72.25,77.0,72.25,76.5,17127500
GULF,1/18/2018,77.0,77.0,73.5,75.0,13833500
GULF,1/19/2018,74.5,76.0,73.75,76.0,5747600
GULF,1/22/2018,75.5,78.25,75.25,77.5,11115200
GULF,1/23/2018,78.0,78.0,76.25,77.5,5878200
GULF,1/24/2018,77.0,78.0,76.5,77.5,4961900
GULF,1/25/2018,77.0,77.25,73.5,73.5,11790200
GULF,1/26/2018,73.0,74.0,70.0,73.5,24824600
GULF,1/29/2018,74.0,74.5,72.5,73.5,7137400
GULF,1/30/2018,73.0,73.0,71.5,72.25,6314500
GULF,1/31/2018,71.5,74.0,71.0,73.5,6785600
GULF,2/1/2018,73.25,74.0,73.25,73.75,3419100
GULF,2/2/2018,73.5,73.75,72.25,72.25,3008900
GULF,2/5/2018,70.75,72.5,70.75,72.0,6444300
GULF,2/6/2018,70.0,72.0,69.75,71.75,12434700
GULF,2/7/2018,72.25,72.5,71.0,71.5,4051900
GULF,2/8/2018,71.5,73.0,71.0,72.75,3289600
GULF,2/9/2018,71.5,73.25,71.25,73.0,8101500
GULF,2/12/2018,73.5,76.0,73.0,76.0,16494200
GULF,2/13/2018,76.25,76.25,75.0,75.75,6068600
GULF,2/14/2018,75.75,76.0,73.75,74.5,7041600
GULF,2/15/2018,74.75,75.0,73.75,75.0,4681200
GULF,2/16/2018,75.5,77.0,75.0,76.75,9542400
GULF,2/19/2018,75.75,76.0,74.75,76.0,8140700
