Ticker,Date/Time,Open,High,Low,Close,Volume
GUNKUL,10/19/2010,0.53,0.56,0.46,0.46,2129458560
GUNKUL,10/20/2010,0.46,0.48,0.45,0.45,666349824
GUNKUL,10/21/2010,0.46,0.46,0.4,0.4,733716864
GUNKUL,10/22/2010,0.41,0.42,0.39,0.41,520451744
GUNKUL,10/26/2010,0.41,0.41,0.39,0.39,177441168
GUNKUL,10/27/2010,0.39,0.43,0.39,0.43,1008905216
GUNKUL,10/28/2010,0.43,0.43,0.41,0.42,415746784
GUNKUL,10/29/2010,0.42,0.42,0.4,0.41,195508624
GUNKUL,11/1/2010,0.41,0.41,0.4,0.4,97115856
GUNKUL,11/2/2010,0.4,0.42,0.4,0.4,211083280
GUNKUL,11/3/2010,0.4,0.41,0.39,0.39,241196256
GUNKUL,11/4/2010,0.4,0.4,0.39,0.39,94691560
GUNKUL,11/5/2010,0.4,0.41,0.39,0.39,131921952
GUNKUL,11/8/2010,0.39,0.4,0.39,0.4,61447352
GUNKUL,11/9/2010,0.4,0.42,0.4,0.41,241386848
GUNKUL,11/10/2010,0.41,0.42,0.4,0.4,149941232
GUNKUL,11/11/2010,0.41,0.41,0.4,0.4,41512676
GUNKUL,11/12/2010,0.4,0.41,0.4,0.41,87392776
GUNKUL,11/15/2010,0.4,0.4,0.39,0.4,43879600
GUNKUL,11/16/2010,0.4,0.4,0.38,0.38,62911176
GUNKUL,11/17/2010,0.38,0.39,0.37,0.37,34093624
GUNKUL,11/18/2010,0.37,0.38,0.37,0.37,34946748
GUNKUL,11/19/2010,0.37,0.38,0.37,0.37,36745536
GUNKUL,11/22/2010,0.37,0.38,0.37,0.38,69710320
GUNKUL,11/23/2010,0.38,0.38,0.36,0.36,93390592
GUNKUL,11/24/2010,0.37,0.37,0.35,0.35,44443184
GUNKUL,11/25/2010,0.36,0.36,0.34,0.34,40679944
GUNKUL,11/26/2010,0.34,0.35,0.34,0.34,93146320
GUNKUL,11/29/2010,0.34,0.35,0.34,0.35,80749128
GUNKUL,11/30/2010,0.35,0.36,0.35,0.35,85107280
GUNKUL,12/1/2010,0.35,0.36,0.35,0.36,107159048
GUNKUL,12/2/2010,0.36,0.37,0.36,0.37,119073240
GUNKUL,12/3/2010,0.38,0.41,0.38,0.39,342624000
GUNKUL,12/7/2010,0.4,0.4,0.38,0.38,89228584
GUNKUL,12/8/2010,0.38,0.39,0.37,0.37,71213072
GUNKUL,12/9/2010,0.38,0.38,0.37,0.37,37110104
GUNKUL,12/13/2010,0.38,0.39,0.38,0.38,43194876
GUNKUL,12/14/2010,0.38,0.38,0.37,0.37,28147636
GUNKUL,12/15/2010,0.38,0.38,0.37,0.37,29752110
