Ticker,Date/Time,Open,High,Low,Close,Volume
HMPRO,10/30/2001,0.21,0.21,0.18,0.18,661062720
HMPRO,10/31/2001,0.18,0.19,0.18,0.18,126763368
HMPRO,11/1/2001,0.18,0.18,0.17,0.18,141298560
HMPRO,11/2/2001,0.18,0.18,0.16,0.17,243562720
HMPRO,11/5/2001,0.16,0.17,0.16,0.16,78646696
HMPRO,11/6/2001,0.16,0.16,0.16,0.16,111928840
HMPRO,11/7/2001,0.16,0.16,0.15,0.15,94585800
HMPRO,11/8/2001,0.15,0.16,0.15,0.15,120214688
HMPRO,11/9/2001,0.15,0.16,0.15,0.15,99281560
HMPRO,11/12/2001,0.15,0.16,0.15,0.16,64720056
HMPRO,11/13/2001,0.16,0.16,0.16,0.16,98709648
HMPRO,11/14/2001,0.16,0.16,0.16,0.16,104393304
HMPRO,11/15/2001,0.16,0.16,0.16,0.16,32297826
HMPRO,11/16/2001,0.16,0.16,0.16,0.16,73414904
HMPRO,11/19/2001,0.16,0.18,0.16,0.17,208754832
HMPRO,11/20/2001,0.18,0.18,0.17,0.17,127958520
HMPRO,11/21/2001,0.17,0.17,0.17,0.17,67430088
HMPRO,11/22/2001,0.17,0.17,0.16,0.16,45797876
HMPRO,11/23/2001,0.17,0.17,0.16,0.17,112669456
HMPRO,11/26/2001,0.17,0.17,0.16,0.16,37767796
HMPRO,11/27/2001,0.17,0.17,0.17,0.17,19801828
HMPRO,11/28/2001,0.17,0.17,0.16,0.17,57056820
HMPRO,11/29/2001,0.17,0.18,0.17,0.17,134035944
HMPRO,11/30/2001,0.17,0.18,0.17,0.18,67045196
HMPRO,12/3/2001,0.18,0.18,0.18,0.18,110082192
HMPRO,12/4/2001,0.18,0.18,0.18,0.18,53757956
HMPRO,12/6/2001,0.18,0.18,0.17,0.17,35666248
HMPRO,12/7/2001,0.17,0.18,0.17,0.17,23231886
HMPRO,12/11/2001,0.17,0.17,0.17,0.17,9840772
HMPRO,12/12/2001,0.17,0.18,0.17,0.17,12849864
HMPRO,12/13/2001,0.17,0.17,0.17,0.17,2905216
HMPRO,12/14/2001,0.17,0.17,0.17,0.17,3298845
HMPRO,12/17/2001,0.17,0.17,0.17,0.17,1716668
HMPRO,12/18/2001,0.17,0.17,0.17,0.17,7529502
HMPRO,12/19/2001,0.17,0.18,0.17,0.17,16996112
HMPRO,12/20/2001,0.17,0.18,0.17,0.18,14743665
HMPRO,12/21/2001,0.18,0.18,0.17,0.18,44608836
HMPRO,12/24/2001,0.18,0.18,0.18,0.18,13315658
HMPRO,12/25/2001,0.18,0.18,0.18,0.18,5860727
HMPRO,12/26/2001,0.18,0.19,0.18,0.19,36229372
HMPRO,12/27/2001,0.19,0.19,0.19,0.19,53812640
HMPRO,12/28/2001,0.19,0.19,0.19,0.19,6002872
