Ticker,Date/Time,Open,High,Low,Close,Volume
IRPC,3/17/1995,14.48,15.4,13.55,13.83,123795896
IRPC,3/20/1995,13.73,14.75,13.36,14.38,42967504
IRPC,3/21/1995,14.57,15.03,14.48,14.48,37184372
IRPC,3/22/1995,14.38,15.78,14.29,15.78,57701756
IRPC,3/23/1995,15.87,15.96,15.31,15.5,38136464
IRPC,3/24/1995,15.31,15.4,14.75,14.85,26061820
IRPC,3/27/1995,15.31,15.4,14.85,15.03,12756517
IRPC,3/28/1995,15.13,15.68,15.03,15.59,21959258
IRPC,3/29/1995,15.5,15.78,15.22,15.22,26909380
IRPC,3/30/1995,15.5,15.87,15.31,15.5,21117086
IRPC,3/31/1995,15.78,16.05,15.4,15.59,31794842
IRPC,4/3/1995,15.13,15.22,14.85,14.94,11833252
IRPC,4/4/1995,15.03,15.22,14.85,14.94,4621173
IRPC,4/5/1995,15.13,15.13,14.48,14.66,6662754
IRPC,4/7/1995,14.57,14.57,14.1,14.38,8236103
IRPC,4/10/1995,14.29,14.48,14.1,14.38,3513362
IRPC,4/11/1995,14.48,14.85,14.38,14.75,4784434
IRPC,4/17/1995,14.75,14.94,14.66,14.85,6557415
IRPC,4/18/1995,14.75,14.85,14.29,14.38,5459574
IRPC,4/19/1995,14.2,14.29,14.01,14.01,7490917
IRPC,4/20/1995,14.1,14.29,14.01,14.2,4056222
IRPC,4/21/1995,14.29,14.48,14.29,14.38,3980518
IRPC,4/24/1995,14.48,14.57,14.2,14.29,3025463
IRPC,4/25/1995,14.29,14.38,14.1,14.29,1706706
IRPC,4/26/1995,14.2,14.38,14.01,14.1,4330211
IRPC,4/27/1995,14.1,14.29,13.92,14.29,5186123
IRPC,4/28/1995,14.29,14.66,14.1,14.48,11814392
IRPC,5/2/1995,14.57,15.22,14.48,14.85,21258930
IRPC,5/3/1995,14.94,15.22,14.66,14.66,19160640
IRPC,5/4/1995,14.75,15.4,14.75,15.13,25219106
IRPC,5/8/1995,15.22,15.31,14.85,14.85,9644856
IRPC,5/9/1995,15.22,15.5,15.03,15.13,10787137
IRPC,5/10/1995,15.22,15.78,15.03,15.5,37194340
IRPC,5/11/1995,15.68,16.05,15.5,15.87,33602480
IRPC,5/12/1995,16.05,16.24,15.68,15.68,31029184
IRPC,5/16/1995,15.87,15.96,15.59,15.68,11328918
IRPC,5/17/1995,15.59,15.59,15.4,15.5,6548794
IRPC,5/18/1995,15.4,15.5,15.22,15.22,8108133
IRPC,5/19/1995,14.48,14.94,14.38,14.85,15831551
IRPC,5/22/1995,14.85,15.03,14.66,14.94,6138215
IRPC,5/23/1995,15.03,15.13,14.85,15.03,4345567
IRPC,5/24/1995,15.13,15.4,14.94,15.31,10171268
IRPC,5/25/1995,15.5,15.59,15.03,15.13,11672954
IRPC,5/26/1995,15.03,15.03,14.75,14.85,7447273
IRPC,5/29/1995,14.75,14.85,14.66,14.75,4362809
IRPC,5/30/1995,14.85,14.94,14.57,14.57,6376372
IRPC,5/31/1995,14.66,14.85,14.57,14.85,5169150
IRPC,6/1/1995,15.03,15.22,14.66,14.85,10029019
IRPC,6/2/1995,14.85,14.85,14.57,14.75,4876572
IRPC,6/5/1995,14.66,14.85,14.57,14.75,5421856
IRPC,6/6/1995,14.75,15.31,14.66,15.03,21894062
IRPC,6/7/1995,15.22,16.24,15.22,16.24,53825768
IRPC,6/8/1995,16.33,16.7,16.15,16.24,45308668
IRPC,6/9/1995,16.15,16.24,15.5,15.68,16034956
IRPC,6/12/1995,15.5,15.78,15.4,15.59,5691804
IRPC,6/13/1995,15.59,15.68,15.22,15.31,5811421
IRPC,6/14/1995,15.22,15.78,15.22,15.68,7554902
IRPC,6/15/1995,15.68,15.78,15.4,15.5,3750712
IRPC,6/16/1995,15.5,15.59,15.31,15.59,1933817
IRPC,6/19/1995,15.5,15.68,15.5,15.5,1901219
IRPC,6/20/1995,15.59,15.87,15.5,15.59,7789692
IRPC,6/21/1995,15.5,15.68,15.4,15.4,3816448
IRPC,6/22/1995,15.4,15.5,15.22,15.31,5564912
IRPC,6/23/1995,15.5,16.05,15.5,15.87,17759442
IRPC,6/26/1995,15.87,15.87,15.4,15.59,7896917
IRPC,6/27/1995,15.5,15.59,15.4,15.59,4742945
IRPC,6/28/1995,15.5,15.68,15.5,15.59,3473490
IRPC,6/29/1995,15.59,15.68,15.5,15.68,7059594
IRPC,6/30/1995,15.68,15.87,15.68,15.78,5804417
IRPC,7/3/1995,15.68,15.68,15.5,15.59,3908855
IRPC,7/4/1995,15.59,15.87,15.59,15.87,5374440
IRPC,7/5/1995,15.87,16.15,15.78,15.87,13311230
