Ticker,Date/Time,Open,High,Low,Close,Volume
IVL,2/5/2010,10.0,10.2,9.7,10.0,118630048
IVL,2/8/2010,10.1,10.4,10.0,10.1,56000304
IVL,2/9/2010,10.1,10.2,9.95,10.1,32494286
IVL,2/10/2010,10.2,10.3,10.1,10.1,11303496
IVL,2/11/2010,10.1,11.5,10.0,11.5,104163232
IVL,2/12/2010,11.6,11.7,11.0,11.2,78603504
IVL,2/15/2010,11.1,11.2,10.9,11.1,22181054
IVL,2/16/2010,11.1,11.9,11.0,11.8,65686464
IVL,2/17/2010,11.9,12.1,11.5,11.6,70891376
IVL,2/18/2010,11.6,11.7,11.4,11.4,32096324
IVL,2/19/2010,11.3,11.6,11.1,11.5,29482524
IVL,2/22/2010,11.6,11.7,11.5,11.5,17600416
IVL,2/23/2010,11.4,11.9,11.4,11.7,50168820
IVL,2/24/2010,11.7,12.2,11.6,12.0,93803728
IVL,2/25/2010,12.1,12.4,11.7,12.3,67363088
IVL,2/26/2010,12.3,12.5,12.2,12.3,50588456
IVL,3/2/2010,12.4,13.1,12.3,13.0,63526544
IVL,3/3/2010,13.1,13.6,12.9,13.5,41792732
IVL,3/4/2010,13.5,15.0,13.3,14.1,83805176
IVL,3/5/2010,14.3,14.5,13.9,14.0,35561128
IVL,3/8/2010,14.0,14.2,13.5,13.5,27641972
IVL,3/9/2010,13.5,14.0,13.4,13.8,42205476
IVL,3/10/2010,13.8,13.9,13.6,13.6,14723595
IVL,3/11/2010,13.6,14.0,13.6,13.8,26744876
IVL,3/12/2010,13.8,14.1,13.7,14.0,26101916
IVL,3/15/2010,13.9,14.0,13.8,13.8,18411000
IVL,3/16/2010,13.9,14.7,13.9,14.6,59951472
IVL,3/17/2010,14.9,15.4,14.6,15.3,67739992
IVL,3/18/2010,15.4,15.4,15.0,15.0,34091560
IVL,3/19/2010,15.1,16.0,15.1,15.9,79917240
IVL,3/22/2010,15.8,16.2,15.2,15.4,71450912
IVL,3/23/2010,15.7,16.6,15.6,16.5,93395344
IVL,3/24/2010,16.8,18.1,16.5,17.9,111141760
IVL,3/25/2010,17.8,18.5,17.4,17.6,94406208
IVL,3/26/2010,17.9,18.5,17.7,18.0,119110544
IVL,3/29/2010,18.2,18.3,17.3,17.4,70849392
IVL,3/30/2010,17.5,17.6,16.8,17.2,61039712
IVL,3/31/2010,17.2,17.3,16.3,16.3,44736052
IVL,4/1/2010,16.7,17.2,16.7,16.9,35253272
IVL,4/2/2010,17.1,17.2,16.8,17.0,34360444
IVL,4/5/2010,16.9,18.5,16.9,18.3,112167256
IVL,4/7/2010,18.5,18.8,17.9,17.9,68513496
IVL,4/8/2010,17.8,18.1,16.9,17.0,68238448
IVL,4/9/2010,17.0,17.5,16.8,17.5,50693300
IVL,4/12/2010,16.8,17.4,16.7,17.3,58130260
IVL,4/16/2010,17.0,17.2,15.7,15.7,53561856
IVL,4/19/2010,15.2,15.3,14.2,14.4,93963144
IVL,4/20/2010,14.8,16.8,14.8,16.6,111179984
IVL,4/21/2010,16.4,16.5,15.7,15.8,81742480
IVL,4/22/2010,15.9,16.8,15.9,16.2,73861968
IVL,4/23/2010,15.8,16.1,15.7,16.1,41330700
IVL,4/26/2010,16.5,16.7,16.3,16.3,37875300
IVL,4/27/2010,16.2,16.4,16.1,16.1,23116032
IVL,4/28/2010,16.0,16.4,15.8,15.8,36455024
IVL,4/29/2010,16.1,16.2,15.9,16.0,24802630
IVL,4/30/2010,16.2,16.4,16.1,16.3,33023250
IVL,5/4/2010,17.2,17.9,17.1,17.8,108426656
IVL,5/6/2010,17.4,18.1,17.3,18.1,94584752
IVL,5/7/2010,17.8,18.0,17.3,17.6,88529912
IVL,5/10/2010,17.8,18.0,17.6,17.7,59195576
IVL,5/11/2010,18.0,18.3,17.8,17.8,77698360
IVL,5/12/2010,17.8,17.9,17.5,17.5,50070400
IVL,5/13/2010,17.7,17.8,17.1,17.3,25346100
IVL,5/14/2010,17.0,17.8,16.9,17.8,28763000
IVL,5/17/2010,17.1,17.5,17.1,17.3,23915298
IVL,5/18/2010,17.4,17.7,17.3,17.5,26017000
IVL,5/19/2010,17.3,17.9,17.3,17.9,28179138
IVL,5/24/2010,17.8,18.0,17.0,17.0,43348300
IVL,5/25/2010,16.8,16.9,16.0,16.1,36813000
IVL,5/26/2010,16.5,16.6,16.1,16.4,20982108
