Ticker,Date/Time,Open,High,Low,Close,Volume
JAS,7/7/1994,12.26,12.47,10.79,11.21,168248160
JAS,7/8/1994,11.28,11.56,11.14,11.28,48687180
JAS,7/11/1994,11.35,11.56,11.28,11.49,30352040
JAS,7/12/1994,11.63,12.12,11.56,12.12,21312950
JAS,7/13/1994,12.33,12.75,12.26,12.47,51165368
JAS,7/14/1994,12.47,12.54,12.19,12.26,29218590
JAS,7/15/1994,12.26,12.4,12.26,12.33,10480890
JAS,7/18/1994,12.33,12.33,12.19,12.26,14740620
JAS,7/19/1994,12.26,12.26,12.05,12.12,3397510
JAS,7/20/1994,12.12,12.26,12.05,12.19,3277590
JAS,7/21/1994,12.19,12.19,12.05,12.05,3029200
JAS,7/22/1994,12.12,12.26,12.12,12.19,2726570
JAS,7/26/1994,12.19,12.26,12.12,12.26,4822180
JAS,7/27/1994,12.19,12.33,12.19,12.33,4579530
JAS,7/28/1994,12.33,12.54,12.33,12.4,6640990
JAS,7/29/1994,12.4,12.61,12.33,12.47,7748600
JAS,8/1/1994,12.54,12.75,12.54,12.68,5784330
JAS,8/2/1994,12.68,12.96,12.47,12.54,4816470
JAS,8/3/1994,12.61,12.68,12.4,12.47,719470
JAS,8/4/1994,12.54,12.61,12.47,12.61,1039230
JAS,8/5/1994,12.68,12.68,12.47,12.54,827960
JAS,8/8/1994,12.61,13.03,12.54,12.89,6790590
JAS,8/9/1994,12.96,12.96,12.68,12.82,1964270
JAS,8/10/1994,12.89,12.96,12.82,12.89,956440
JAS,8/11/1994,12.89,12.89,12.68,12.82,1216250
JAS,8/15/1994,12.82,13.31,12.82,13.24,3129130
JAS,8/16/1994,13.31,13.38,13.24,13.38,5187620
JAS,8/17/1994,13.45,14.71,13.45,14.71,29756620
JAS,8/18/1994,14.71,14.71,14.71,14.71,0
JAS,8/19/1994,14.85,16.18,14.78,16.18,36250580
JAS,8/22/1994,16.39,16.67,16.11,16.32,13107540
JAS,8/23/1994,16.39,16.53,15.83,16.04,6012730
JAS,8/24/1994,16.04,16.11,15.34,15.55,6518080
JAS,8/25/1994,15.76,15.83,15.2,15.48,5410320
JAS,8/26/1994,15.69,16.18,15.48,15.9,6760760
JAS,8/29/1994,16.18,16.67,16.11,16.6,24407830
JAS,8/30/1994,16.81,16.88,16.6,16.81,15922620
JAS,8/31/1994,16.95,17.16,16.74,17.02,7034840
JAS,9/1/1994,17.09,17.16,16.74,16.95,3049190
JAS,9/2/1994,17.02,17.37,16.81,17.09,4368220
JAS,9/5/1994,17.23,17.37,16.6,16.95,3640190
JAS,9/6/1994,16.88,17.09,16.46,16.88,3357540
JAS,9/7/1994,16.95,17.23,16.74,16.95,8719320
JAS,9/8/1994,17.09,18.35,17.09,17.44,110210680
JAS,9/9/1994,17.86,18.21,17.02,17.16,26295020
JAS,9/12/1994,17.16,17.16,16.74,16.88,2826500
JAS,9/13/1994,16.81,17.16,16.74,17.09,4376790
JAS,9/14/1994,17.23,17.3,17.09,17.23,2686600
JAS,9/15/1994,17.37,17.44,17.16,17.3,2326860
JAS,9/16/1994,17.3,17.51,17.23,17.37,11605780
JAS,9/19/1994,17.51,17.51,17.3,17.51,1721590
JAS,9/20/1994,17.51,17.51,17.02,17.3,2606660
JAS,9/21/1994,17.16,17.16,16.95,17.16,1167710
JAS,9/22/1994,17.16,17.23,16.95,17.09,1010680
JAS,9/23/1994,17.02,17.09,16.67,17.09,3797210
JAS,9/26/1994,17.09,17.09,16.81,17.09,876500
JAS,9/27/1994,17.16,17.44,17.02,17.16,770860
JAS,9/28/1994,17.16,17.23,17.02,17.16,2398240
JAS,9/29/1994,17.16,17.16,16.95,17.09,1133450
JAS,9/30/1994,17.09,17.09,16.74,16.81,3568810
JAS,10/3/1994,16.95,17.16,16.67,16.81,2552410
JAS,10/4/1994,16.81,16.88,16.67,16.81,976420
JAS,10/5/1994,16.81,16.95,16.67,16.95,3808630
JAS,10/6/1994,16.81,16.88,16.74,16.81,1056360
JAS,10/7/1994,16.81,16.81,16.6,16.74,1239090
JAS,10/10/1994,16.74,16.74,16.25,16.39,4345380
JAS,10/11/1994,16.39,16.74,16.39,16.6,1681620
JAS,10/12/1994,16.81,16.88,16.6,16.81,3206220
JAS,10/13/1994,16.88,16.95,16.74,16.74,856510
JAS,10/14/1994,16.81,16.81,16.74,16.81,656660
JAS,10/17/1994,16.81,16.88,16.67,16.81,1513170
JAS,10/18/1994,16.81,16.81,16.53,16.81,1930010
JAS,10/19/1994,16.81,16.81,16.53,16.74,965000
JAS,10/20/1994,16.74,16.74,16.53,16.67,1042090
JAS,10/21/1994,16.67,16.74,16.6,16.74,2018520
JAS,10/25/1994,16.74,16.74,16.53,16.74,1162000
JAS,10/26/1994,16.74,16.74,16.53,16.6,2081330
JAS,10/27/1994,16.67,16.67,16.39,16.53,1815810
JAS,10/28/1994,16.46,16.67,16.39,16.6,2960680
JAS,10/31/1994,16.74,16.74,16.39,16.6,1772980
JAS,11/1/1994,16.53,16.67,16.32,16.67,11588650
JAS,11/2/1994,16.67,17.23,16.6,17.16,15360170
JAS,11/3/1994,17.3,17.93,17.3,17.79,40424672
JAS,11/4/1994,17.79,17.86,17.51,17.51,32213540
JAS,11/7/1994,17.58,17.65,17.37,17.51,6052700
JAS,11/8/1994,17.51,17.51,17.23,17.51,4037040
JAS,11/9/1994,17.51,17.51,17.16,17.44,6343920
JAS,11/10/1994,17.44,17.58,17.37,17.44,5964200
JAS,11/11/1994,17.51,17.51,17.23,17.37,7548750
JAS,11/14/1994,17.37,17.44,17.3,17.44,3346120
JAS,11/15/1994,17.51,17.51,17.37,17.51,2498160
JAS,11/16/1994,17.51,17.58,17.44,17.51,1795820
JAS,11/17/1994,17.51,17.51,17.37,17.44,1159150
JAS,11/18/1994,17.44,17.44,17.37,17.44,1079200
JAS,11/21/1994,17.44,17.44,17.23,17.37,1167710
JAS,11/22/1994,17.23,17.3,16.74,17.16,5627300
JAS,11/23/1994,16.74,16.81,15.97,16.04,11942670
JAS,11/24/1994,16.67,16.95,16.39,16.53,7154750
JAS,11/25/1994,16.67,16.74,16.32,16.39,1099190
JAS,11/28/1994,16.53,16.53,16.25,16.25,993550
JAS,11/29/1994,16.39,16.53,16.25,16.53,1401830
JAS,11/30/1994,16.53,16.67,16.39,16.67,1938570
JAS,12/1/1994,16.74,17.16,16.6,17.02,6181180
JAS,12/2/1994,16.88,16.88,16.39,16.46,2580960
JAS,12/6/1994,16.46,16.6,16.39,16.53,719470
JAS,12/7/1994,16.46,16.46,16.04,16.25,1772980
JAS,12/8/1994,16.11,16.25,15.9,16.04,1267640
JAS,12/9/1994,15.83,15.9,14.99,15.34,5207610
JAS,12/13/1994,15.83,15.83,14.5,14.5,1741580
JAS,12/14/1994,14.43,15.55,14.43,14.71,2226930
