Ticker,Date/Time,Open,High,Low,Close,Volume
JMT,11/27/2012,5.83,5.83,5.15,5.83,253759488
JMT,11/28/2012,5.97,6.31,5.39,5.49,210140464
JMT,11/29/2012,5.44,5.63,5.25,5.34,32258712
JMT,11/30/2012,5.44,5.59,5.39,5.44,14609958
JMT,12/3/2012,5.54,5.54,5.34,5.34,6868858
JMT,12/4/2012,5.34,5.49,5.29,5.29,14639646
JMT,12/6/2012,5.29,5.39,5.2,5.2,6089758
JMT,12/7/2012,5.15,5.25,5.1,5.1,6837826
JMT,12/11/2012,5.15,5.39,5.0,5.1,12949940
JMT,12/12/2012,5.15,5.34,5.15,5.2,7863442
JMT,12/13/2012,5.25,5.25,5.15,5.15,3130414
JMT,12/14/2012,5.15,5.25,5.15,5.2,2655452
JMT,12/17/2012,5.2,5.88,5.2,5.73,51968588
JMT,12/18/2012,5.73,5.78,5.49,5.59,13879454
JMT,12/19/2012,5.63,5.63,5.54,5.59,5148352
JMT,12/20/2012,5.59,5.59,5.39,5.39,5380822
JMT,12/21/2012,5.44,5.68,5.44,5.63,8749684
JMT,12/24/2012,5.63,5.68,5.44,5.44,4608142
JMT,12/25/2012,5.49,5.54,5.44,5.44,2386428
JMT,12/26/2012,5.49,5.54,5.44,5.44,1720568
JMT,12/27/2012,5.44,5.59,5.39,5.44,3639794
JMT,12/28/2012,5.44,5.44,5.39,5.44,1875598
JMT,1/2/2013,5.44,5.54,5.34,5.44,2349382
JMT,1/3/2013,5.49,5.59,5.44,5.44,3648032
JMT,1/4/2013,5.49,5.54,5.44,5.44,2456814
JMT,1/7/2013,5.49,5.49,5.44,5.44,1359968
JMT,1/8/2013,5.49,5.49,5.34,5.39,2844874
JMT,1/9/2013,5.44,5.73,5.39,5.59,17773510
JMT,1/10/2013,5.73,6.07,5.68,5.73,30005834
JMT,1/11/2013,5.78,5.83,5.59,5.63,8106800
JMT,1/14/2013,5.68,5.78,5.63,5.78,3108122
JMT,1/15/2013,5.83,6.17,5.83,5.97,22117080
JMT,1/16/2013,6.07,6.07,5.83,5.83,8024956
JMT,1/17/2013,5.88,6.02,5.88,5.93,3130394
JMT,1/18/2013,5.97,6.07,5.88,5.88,4237766
JMT,1/21/2013,5.93,6.85,5.93,6.65,29879896
JMT,1/22/2013,6.75,7.24,6.65,6.8,19724582
JMT,1/23/2013,6.95,6.95,6.31,6.7,14945908
JMT,1/24/2013,6.8,7.14,6.8,6.95,8613660
JMT,1/25/2013,6.9,6.99,6.85,6.85,4473224
JMT,1/28/2013,6.65,6.7,6.61,6.61,1917468
JMT,1/29/2013,6.65,6.65,6.41,6.41,1701000
JMT,1/30/2013,6.41,6.7,6.41,6.61,1402470
JMT,1/31/2013,6.61,6.8,6.51,6.61,1450974
JMT,2/1/2013,6.61,6.75,6.61,6.75,1170440
JMT,2/4/2013,6.75,7.04,6.75,6.95,3475294
JMT,2/5/2013,6.85,7.09,6.85,6.9,2954806
JMT,2/6/2013,6.9,6.99,6.9,6.95,1076822
JMT,2/7/2013,6.9,6.9,6.75,6.9,1050616
JMT,2/8/2013,6.9,6.9,6.65,6.8,1766470
JMT,2/11/2013,6.8,6.95,6.75,6.9,1246616
JMT,2/12/2013,6.95,7.58,6.9,7.58,7196206
JMT,2/13/2013,7.67,8.06,7.63,8.06,4727058
JMT,2/14/2013,8.11,8.21,7.77,8.21,2515430
JMT,2/15/2013,8.26,8.74,7.97,8.74,3178464
JMT,2/18/2013,8.94,10.2,8.89,10.05,13391038
JMT,2/19/2013,10.3,10.39,9.86,9.96,4580540
JMT,2/20/2013,9.71,9.91,9.57,9.76,6073666
JMT,2/21/2013,9.71,9.71,9.03,9.28,4713480
JMT,2/22/2013,9.13,9.57,8.84,9.33,6211328
JMT,2/26/2013,9.52,10.01,9.33,9.81,4526120
JMT,2/27/2013,10.05,10.2,9.71,9.71,3311286
JMT,2/28/2013,9.86,9.86,9.37,9.57,2268004
JMT,3/1/2013,9.62,9.81,9.52,9.52,1824914
JMT,3/4/2013,9.52,9.62,9.37,9.42,1017184
JMT,3/5/2013,9.47,9.76,9.47,9.71,1192058
JMT,3/6/2013,9.86,9.91,9.67,9.91,2337788
JMT,3/7/2013,10.05,10.05,9.76,9.76,2108664
JMT,3/8/2013,9.86,9.86,9.71,9.76,1269264
