Ticker,Date/Time,Open,High,Low,Close,Volume
KCE,8/30/1988,0.63,0.73,0.57,0.63,144569568
KCE,8/31/1988,0.63,0.65,0.61,0.64,29815198
KCE,9/1/1988,0.64,0.64,0.58,0.61,12004734
KCE,9/2/1988,0.61,0.68,0.6,0.63,11867022
KCE,9/5/1988,0.64,0.66,0.64,0.65,14346710
KCE,9/6/1988,0.65,0.65,0.64,0.65,14228588
KCE,9/7/1988,0.65,0.66,0.64,0.64,9584090
KCE,9/8/1988,0.64,0.65,0.64,0.64,9446380
KCE,9/9/1988,0.64,0.64,0.63,0.64,5274144
KCE,9/12/1988,0.64,0.64,0.63,0.63,3621028
KCE,9/13/1988,0.63,0.63,0.62,0.62,5195452
KCE,9/14/1988,0.62,0.63,0.62,0.62,2243472
KCE,9/15/1988,0.62,0.63,0.61,0.61,3306148
KCE,9/16/1988,0.61,0.61,0.61,0.61,3955580
KCE,9/19/1988,0.61,0.61,0.61,0.61,944582
KCE,9/20/1988,0.61,0.61,0.6,0.6,2853532
KCE,9/21/1988,0.6,0.61,0.6,0.6,1554612
KCE,9/22/1988,0.61,0.62,0.61,0.62,2282846
KCE,9/23/1988,0.62,0.64,0.62,0.64,5628398
KCE,9/26/1988,0.64,0.7,0.64,0.7,32294914
KCE,9/27/1988,0.7,0.71,0.66,0.66,29972664
KCE,9/28/1988,0.66,0.69,0.66,0.68,13303622
KCE,9/29/1988,0.68,0.69,0.68,0.68,7025682
KCE,9/30/1988,0.68,0.73,0.68,0.73,21903760
KCE,10/3/1988,0.73,0.76,0.72,0.76,25780814
KCE,10/4/1988,0.76,0.8,0.75,0.8,31015694
KCE,10/5/1988,0.8,0.81,0.76,0.79,29264134
KCE,10/6/1988,0.79,0.84,0.79,0.84,44949132
KCE,10/7/1988,0.84,0.88,0.82,0.85,31802894
KCE,10/10/1988,0.85,0.88,0.85,0.86,18499160
KCE,10/11/1988,0.87,0.89,0.87,0.87,15153606
KCE,10/12/1988,0.87,0.95,0.87,0.93,29815198
KCE,10/13/1988,0.93,0.95,0.92,0.94,15862032
KCE,10/14/1988,0.95,0.99,0.95,0.98,20388492
KCE,10/17/1988,0.99,1.08,0.99,1.08,17495420
KCE,10/18/1988,1.1,1.17,1.1,1.13,20073584
KCE,10/19/1988,1.15,1.22,1.15,1.22,26922238
KCE,10/20/1988,1.22,1.27,1.12,1.15,14759926
KCE,10/21/1988,1.15,1.24,1.04,1.24,23478238
KCE,10/25/1988,1.24,1.24,1.17,1.18,13382372
KCE,10/26/1988,1.18,1.29,1.1,1.2,25564328
KCE,10/27/1988,1.2,1.24,1.12,1.12,15448788
KCE,10/28/1988,1.12,1.17,1.12,1.16,19384780
KCE,10/31/1988,1.16,1.18,1.12,1.13,9446380
KCE,11/1/1988,1.09,1.09,1.02,1.02,11001074
KCE,11/2/1988,1.02,1.09,1.01,1.04,14799300
KCE,11/3/1988,1.04,1.14,1.04,1.14,31665128
KCE,11/4/1988,1.14,1.25,1.14,1.25,5498238
KCE,11/7/1988,1.26,1.32,1.26,1.32,13680038
KCE,11/8/1988,1.32,1.41,1.3,1.41,14759298
KCE,11/9/1988,1.41,1.47,1.41,1.44,15619770
KCE,11/10/1988,1.47,1.55,1.47,1.52,19470010
KCE,11/11/1988,1.52,1.54,1.47,1.47,8502618
KCE,11/14/1988,1.45,1.45,1.34,1.37,11463242
KCE,11/15/1988,1.4,1.44,1.4,1.44,7817176
KCE,11/16/1988,1.44,1.48,1.43,1.45,9946470
KCE,11/17/1988,1.45,1.45,1.4,1.4,8517228
KCE,11/18/1988,1.4,1.44,1.39,1.4,6373324
KCE,11/21/1988,1.4,1.4,1.33,1.33,8313026
KCE,11/22/1988,1.33,1.39,1.3,1.3,7000454
KCE,11/23/1988,1.3,1.32,1.26,1.3,7540030
KCE,11/24/1988,1.3,1.34,1.29,1.3,3937686
KCE,11/25/1988,1.28,1.28,1.21,1.22,7904624
KCE,11/28/1988,1.21,1.21,1.1,1.1,5892030
KCE,11/29/1988,1.1,1.16,1.08,1.14,8240134
KCE,11/30/1988,1.14,1.17,1.14,1.15,5148198
KCE,12/1/1988,1.17,1.22,1.17,1.21,5644104
KCE,12/2/1988,1.21,1.23,1.17,1.19,6417046
KCE,12/6/1988,1.2,1.28,1.2,1.28,8560952
KCE,12/7/1988,1.28,1.32,1.27,1.27,13300886
KCE,12/8/1988,1.27,1.28,1.21,1.22,10894446
KCE,12/9/1988,1.22,1.26,1.18,1.26,5308674
KCE,12/13/1988,1.26,1.32,1.26,1.31,14642626
KCE,12/14/1988,1.31,1.33,1.29,1.3,8648454
KCE,12/15/1988,1.3,1.31,1.28,1.29,6417046
KCE,12/16/1988,1.29,1.32,1.26,1.31,10792358
KCE,12/19/1988,1.31,1.33,1.29,1.3,6154564
KCE,12/20/1988,1.3,1.32,1.23,1.29,2654308
KCE,12/21/1988,1.29,1.29,1.26,1.26,3485642
KCE,12/22/1988,1.26,1.29,1.24,1.26,2202182
KCE,12/23/1988,1.28,1.32,1.28,1.32,4958608
KCE,12/26/1988,1.32,1.4,1.32,1.33,15765608
KCE,12/27/1988,1.33,1.36,1.32,1.36,10136060
KCE,12/28/1988,1.36,1.43,1.36,1.42,27885180
KCE,12/29/1988,1.43,1.48,1.43,1.48,27797678
KCE,12/30/1988,1.48,1.49,1.4,1.43,17121960
KCE,1/3/1989,1.43,1.45,1.4,1.44,12411220
KCE,1/4/1989,1.44,1.47,1.43,1.45,18434532
KCE,1/5/1989,1.47,1.58,1.47,1.56,35644024
KCE,1/6/1989,1.56,1.58,1.49,1.52,14000910
KCE,1/9/1989,1.52,1.6,1.51,1.58,22780704
KCE,1/10/1989,1.58,1.67,1.55,1.63,19338784
KCE,1/11/1989,1.63,1.65,1.58,1.58,12790426
KCE,1/12/1989,1.58,1.62,1.52,1.52,10383986
KCE,1/13/1989,1.56,1.62,1.56,1.62,6810810
KCE,1/16/1989,1.62,1.65,1.58,1.62,5381568
KCE,1/17/1989,1.62,1.63,1.59,1.59,2056316
KCE,1/18/1989,1.59,1.63,1.56,1.58,3500198
KCE,1/19/1989,1.58,1.58,1.52,1.54,9479732
KCE,1/20/1989,1.54,1.59,1.51,1.59,4623180
KCE,1/23/1989,1.59,1.6,1.56,1.59,3718954
KCE,1/24/1989,1.59,1.6,1.58,1.58,3689788
KCE,1/25/1989,1.58,1.62,1.58,1.59,6125398
KCE,1/26/1989,1.59,1.65,1.59,1.59,8575562
KCE,1/27/1989,1.59,1.59,1.55,1.55,3266830
KCE,1/30/1989,1.55,1.56,1.55,1.55,991670
KCE,1/31/1989,1.55,1.59,1.55,1.58,3704400
KCE,2/1/1989,1.58,1.65,1.58,1.65,11973704
KCE,2/2/1989,1.65,1.7,1.62,1.65,8458892
KCE,2/3/1989,1.65,1.69,1.63,1.66,13111242
KCE,2/6/1989,1.66,1.7,1.65,1.66,8021322
KCE,2/7/1989,1.66,1.69,1.62,1.62,3937686
KCE,2/8/1989,1.62,1.62,1.56,1.6,6810810
KCE,2/9/1989,1.6,1.62,1.55,1.6,2916846
KCE,2/10/1989,1.6,1.62,1.59,1.59,1691724
KCE,2/13/1989,1.58,1.58,1.51,1.51,5556602
KCE,2/14/1989,1.51,1.54,1.41,1.44,6839978
KCE,2/15/1989,1.47,1.54,1.47,1.54,2275130
KCE,2/16/1989,1.54,1.55,1.48,1.51,3339776
KCE,2/17/1989,1.52,1.55,1.52,1.52,1691724
KCE,2/21/1989,1.52,1.55,1.52,1.55,1152146
KCE,2/22/1989,1.55,1.56,1.51,1.51,1137536
KCE,2/23/1989,1.49,1.49,1.45,1.49,1662554
KCE,2/24/1989,1.49,1.49,1.47,1.48,2027152
KCE,2/27/1989,1.47,1.47,1.41,1.45,1604220
KCE,2/28/1989,1.45,1.47,1.45,1.47,1327126
KCE,3/1/1989,1.47,1.49,1.45,1.45,1750058
KCE,3/2/1989,1.45,1.45,1.44,1.45,977114
KCE,3/3/1989,1.45,1.47,1.45,1.47,875002
KCE,3/6/1989,1.47,1.47,1.45,1.47,364592
KCE,3/7/1989,1.47,1.48,1.47,1.47,1079202
KCE,3/8/1989,1.47,1.54,1.47,1.54,2085486
KCE,3/9/1989,1.54,1.67,1.52,1.55,5469070
KCE,3/10/1989,1.55,1.58,1.54,1.55,6067036
KCE,3/13/1989,1.55,1.62,1.51,1.6,12104932
KCE,3/14/1989,1.62,1.65,1.62,1.63,26944510
KCE,3/15/1989,1.65,1.69,1.65,1.67,12032040
KCE,3/16/1989,1.67,1.82,1.67,1.78,25048530
KCE,3/17/1989,1.78,1.84,1.7,1.73,14963444
KCE,3/20/1989,1.67,1.67,1.59,1.6,12192462
KCE,3/21/1989,1.6,1.65,1.58,1.62,7525474
KCE,3/22/1989,1.65,1.7,1.65,1.66,6912952
KCE,3/23/1989,1.66,1.69,1.66,1.67,4244028
KCE,3/24/1989,1.67,1.7,1.66,1.7,5644104
KCE,3/27/1989,1.7,1.81,1.7,1.81,17639672
KCE,3/28/1989,1.81,1.89,1.77,1.89,36781644
KCE,3/29/1989,1.89,1.95,1.87,1.89,31312490
KCE,3/30/1989,1.89,1.92,1.82,1.84,20490932
KCE,3/31/1989,1.84,1.87,1.82,1.85,11361154
