Ticker,Date/Time,Open,High,Low,Close,Volume
KTC,10/28/2002,1.26,1.5,1.23,1.49,568248896
KTC,10/29/2002,1.48,1.55,1.41,1.43,559657984
KTC,10/30/2002,1.45,1.46,1.4,1.4,194832320
KTC,10/31/2002,1.42,1.43,1.36,1.43,169770688
KTC,11/1/2002,1.42,1.44,1.38,1.38,136827728
KTC,11/4/2002,1.4,1.4,1.37,1.38,35146360
KTC,11/5/2002,1.38,1.38,1.23,1.23,190675232
KTC,11/6/2002,1.24,1.26,1.09,1.11,220259776
KTC,11/7/2002,1.13,1.16,1.11,1.14,174910912
KTC,11/8/2002,1.13,1.14,1.11,1.11,54479088
KTC,11/11/2002,1.11,1.13,1.1,1.11,25106130
KTC,11/12/2002,1.1,1.14,1.1,1.13,89044768
KTC,11/13/2002,1.13,1.14,1.11,1.11,32125220
KTC,11/14/2002,1.13,1.16,1.13,1.13,92996592
KTC,11/15/2002,1.14,1.15,1.13,1.13,54151360
KTC,11/18/2002,1.14,1.14,1.11,1.11,16177950
KTC,11/19/2002,1.12,1.14,1.08,1.08,45194540
KTC,11/20/2002,1.09,1.1,1.06,1.06,18184090
KTC,11/21/2002,1.07,1.13,1.07,1.13,77006360
KTC,11/22/2002,1.15,1.16,1.09,1.09,49827272
KTC,11/25/2002,1.11,1.11,1.07,1.09,37720448
KTC,11/26/2002,1.09,1.09,1.07,1.07,13778860
KTC,11/27/2002,1.07,1.09,1.06,1.06,16162040
KTC,11/28/2002,1.08,1.08,1.05,1.05,28496360
KTC,11/29/2002,1.06,1.06,1.04,1.04,4085450
KTC,12/2/2002,1.06,1.06,1.04,1.04,6457500
KTC,12/3/2002,1.04,1.06,1.01,1.02,14447040
KTC,12/4/2002,1.02,1.02,0.99,1.01,7182950
KTC,12/6/2002,1.01,1.01,0.93,0.94,26891130
KTC,12/9/2002,0.95,0.96,0.91,0.91,28663410
KTC,12/11/2002,0.92,0.95,0.91,0.94,23669540
KTC,12/12/2002,0.94,0.94,0.91,0.91,7757270
KTC,12/13/2002,0.91,0.91,0.88,0.89,6198220
KTC,12/16/2002,0.89,0.89,0.88,0.89,8616360
KTC,12/17/2002,0.9,0.92,0.87,0.87,25942950
KTC,12/18/2002,0.87,0.87,0.85,0.86,5019310
KTC,12/19/2002,0.85,0.87,0.84,0.84,21943410
KTC,12/20/2002,0.84,0.84,0.83,0.84,4836360
KTC,12/23/2002,0.84,0.85,0.84,0.84,7459770
KTC,12/24/2002,0.84,0.84,0.81,0.81,4499090
KTC,12/25/2002,0.82,0.82,0.8,0.82,2469090
KTC,12/26/2002,0.82,0.83,0.81,0.82,2438860
KTC,12/27/2002,0.82,0.84,0.82,0.82,24803860
KTC,1/2/2003,0.82,0.82,0.77,0.77,6597500
KTC,1/3/2003,0.79,0.8,0.79,0.79,10388630
KTC,1/6/2003,0.79,0.86,0.79,0.86,25814090
KTC,1/7/2003,0.88,0.89,0.85,0.86,34497272
KTC,1/8/2003,0.86,0.87,0.83,0.84,9709310
KTC,1/9/2003,0.82,0.84,0.82,0.84,3059310
KTC,1/10/2003,0.84,0.84,0.82,0.82,3161130
KTC,1/13/2003,0.82,0.84,0.81,0.84,4575450
KTC,1/14/2003,0.84,0.87,0.83,0.85,24912040
KTC,1/15/2003,0.87,0.92,0.85,0.91,84781136
KTC,1/16/2003,0.91,0.98,0.91,0.97,176474784
KTC,1/17/2003,0.97,1.02,0.94,0.99,81817272
KTC,1/20/2003,0.98,1.02,0.98,1.02,25971590
KTC,1/21/2003,1.02,1.04,1.01,1.01,30419770
KTC,1/22/2003,1.01,1.06,1.0,1.05,68337504
KTC,1/23/2003,1.05,1.08,1.05,1.07,43547952
KTC,1/24/2003,1.08,1.09,1.04,1.06,17490450
KTC,1/27/2003,1.04,1.04,0.99,1.0,18306590
KTC,1/28/2003,1.01,1.01,0.99,0.99,13005680
KTC,1/29/2003,0.99,0.99,0.96,0.98,9820680
KTC,1/30/2003,0.98,0.98,0.97,0.97,273630
KTC,1/31/2003,0.97,0.97,0.97,0.97,280000
