Ticker,Date/Time,Open,High,Low,Close,Volume
MAJOR,5/23/2002,14.4,15.6,12.6,13.8,201224992
MAJOR,5/24/2002,14.0,14.1,12.6,12.6,52634000
MAJOR,5/28/2002,12.2,13.0,11.9,12.6,42709000
MAJOR,5/29/2002,12.7,13.4,12.5,13.1,31040000
MAJOR,5/30/2002,13.3,13.5,12.5,12.5,24777500
MAJOR,5/31/2002,12.6,13.2,12.6,13.1,16747500
MAJOR,6/3/2002,13.2,13.2,12.6,12.7,5236500
MAJOR,6/4/2002,12.7,12.8,12.4,12.4,5192500
MAJOR,6/5/2002,12.4,12.6,12.4,12.4,4052000
MAJOR,6/6/2002,12.6,12.8,12.4,12.4,6730000
MAJOR,6/7/2002,12.5,12.5,11.8,12.0,7853500
MAJOR,6/10/2002,11.9,12.2,11.8,12.0,4148000
MAJOR,6/11/2002,12.0,12.5,12.0,12.1,5536000
MAJOR,6/12/2002,12.1,12.2,11.6,11.6,5068500
MAJOR,6/13/2002,11.6,11.9,11.3,11.7,5026000
MAJOR,6/14/2002,12.0,12.3,11.8,12.0,10288000
MAJOR,6/17/2002,12.1,12.1,11.8,12.0,3419500
MAJOR,6/18/2002,11.9,12.0,11.8,12.0,1012500
MAJOR,6/19/2002,12.0,12.0,11.6,11.6,2017000
MAJOR,6/20/2002,11.6,11.8,11.6,11.7,1518500
MAJOR,6/21/2002,11.7,12.3,11.6,12.1,5134500
MAJOR,6/24/2002,12.1,12.1,11.8,11.8,1296500
MAJOR,6/25/2002,12.0,12.0,11.8,11.9,618500
MAJOR,6/26/2002,11.8,11.8,11.0,11.3,2217500
MAJOR,6/27/2002,11.5,11.6,11.4,11.5,1427000
MAJOR,6/28/2002,11.6,12.5,11.6,12.4,6676000
MAJOR,7/2/2002,12.3,12.3,12.1,12.1,1208000
MAJOR,7/3/2002,11.9,12.2,11.9,12.2,454000
MAJOR,7/4/2002,12.2,12.2,12.0,12.0,459500
MAJOR,7/5/2002,12.2,12.3,11.9,12.0,1929500
MAJOR,7/8/2002,12.2,12.2,12.0,12.0,826000
MAJOR,7/9/2002,12.1,12.8,12.1,12.8,8303000
MAJOR,7/10/2002,12.9,12.9,12.6,12.8,5962500
MAJOR,7/11/2002,12.6,13.1,12.6,12.7,7013500
MAJOR,7/12/2002,12.9,13.7,12.8,13.4,12057010
MAJOR,7/15/2002,13.4,13.6,13.3,13.6,2723500
MAJOR,7/16/2002,13.6,13.6,13.2,13.3,3434000
MAJOR,7/17/2002,13.3,13.4,12.9,13.4,5292500
MAJOR,7/18/2002,13.7,14.6,13.6,14.4,18522500
MAJOR,7/19/2002,14.3,15.0,14.2,14.4,10589000
MAJOR,7/22/2002,14.1,14.2,13.9,14.1,3451000
MAJOR,7/23/2002,14.2,14.6,14.2,14.6,6450000
MAJOR,7/24/2002,14.4,14.4,14.1,14.2,3995000
MAJOR,7/26/2002,14.4,14.5,14.1,14.2,1709500
MAJOR,7/29/2002,14.4,14.5,14.1,14.2,1703000
MAJOR,7/30/2002,14.5,14.6,14.3,14.3,3106500
MAJOR,7/31/2002,14.3,14.4,14.2,14.4,710000
MAJOR,8/1/2002,14.4,14.5,14.1,14.1,1027000
MAJOR,8/2/2002,14.0,14.0,13.7,13.9,2676000
MAJOR,8/5/2002,13.9,14.1,13.9,13.9,167500
MAJOR,8/6/2002,13.9,14.1,13.9,14.1,731000
MAJOR,8/7/2002,14.2,15.2,14.2,14.9,9373500
MAJOR,8/8/2002,14.9,15.1,14.5,14.5,4583000
MAJOR,8/9/2002,14.7,14.7,14.6,14.6,1369000
MAJOR,8/13/2002,14.5,14.9,14.5,14.7,2386500
MAJOR,8/14/2002,14.9,15.0,14.6,14.9,1185000
MAJOR,8/15/2002,15.0,15.3,14.9,14.9,6000000
MAJOR,8/16/2002,15.2,15.2,14.9,15.0,515500
MAJOR,8/19/2002,15.0,15.0,14.8,14.9,1607500
MAJOR,8/20/2002,15.1,15.3,14.8,14.8,1788500
MAJOR,8/21/2002,14.9,14.9,14.7,14.7,1139500
MAJOR,8/22/2002,14.8,14.8,14.6,14.6,760500
MAJOR,8/23/2002,14.7,14.7,14.6,14.6,751500
MAJOR,8/26/2002,14.5,14.6,14.5,14.6,211500
MAJOR,8/27/2002,14.6,14.6,14.5,14.5,324000
MAJOR,8/28/2002,14.5,14.6,14.3,14.3,651000
MAJOR,8/29/2002,14.2,14.2,13.9,14.2,738000
MAJOR,8/30/2002,14.0,14.2,14.0,14.2,180000
MAJOR,9/2/2002,14.2,14.2,14.0,14.0,1008500
MAJOR,9/3/2002,14.1,14.2,14.0,14.0,3310000
MAJOR,9/4/2002,14.0,14.0,13.3,13.8,4944000
MAJOR,9/5/2002,13.8,13.8,13.4,13.4,2297000
MAJOR,9/6/2002,13.4,13.6,13.3,13.5,1955000
MAJOR,9/9/2002,13.5,13.6,13.3,13.6,274500
MAJOR,9/10/2002,13.6,14.0,13.6,13.8,733500
MAJOR,9/11/2002,13.9,14.0,13.7,14.0,902000
MAJOR,9/12/2002,14.0,14.0,13.8,13.8,894000
MAJOR,9/13/2002,13.7,13.7,13.6,13.7,289500
MAJOR,9/16/2002,13.7,13.8,13.5,13.5,517000
MAJOR,9/17/2002,13.7,14.1,13.7,14.1,952000
MAJOR,9/18/2002,13.8,13.9,13.8,13.8,1392000
MAJOR,9/19/2002,14.0,14.1,13.8,13.8,858000
MAJOR,9/20/2002,13.7,13.8,13.6,13.8,643500
MAJOR,9/23/2002,13.8,13.9,13.8,13.8,1165500
MAJOR,9/24/2002,13.7,13.9,13.7,13.9,562000
MAJOR,9/25/2002,13.7,14.0,13.4,14.0,1180500
MAJOR,9/26/2002,14.0,14.2,13.9,14.0,319500
MAJOR,9/27/2002,14.0,14.0,14.0,14.0,482500
MAJOR,9/30/2002,13.8,14.0,13.7,14.0,518500
MAJOR,10/1/2002,13.8,13.9,13.8,13.9,146000
MAJOR,10/2/2002,14.0,14.0,13.9,13.9,131500
MAJOR,10/3/2002,13.9,13.9,13.7,13.8,165500
MAJOR,10/4/2002,13.8,14.2,13.8,14.1,793500
MAJOR,10/7/2002,14.0,14.0,13.7,13.8,596000
MAJOR,10/8/2002,13.9,14.1,13.9,13.9,1999000
MAJOR,10/9/2002,14.0,14.0,13.9,13.9,136500
MAJOR,10/10/2002,13.8,13.8,13.7,13.7,593000
MAJOR,10/11/2002,13.8,13.8,13.6,13.8,443500
MAJOR,10/14/2002,13.8,13.8,13.6,13.6,287500
MAJOR,10/15/2002,13.7,13.7,13.5,13.6,1227500
MAJOR,10/16/2002,13.7,13.7,13.4,13.4,3413500
MAJOR,10/17/2002,13.5,13.5,13.3,13.4,1239500
MAJOR,10/18/2002,13.6,13.8,13.5,13.6,1694000
MAJOR,10/21/2002,13.8,13.8,13.5,13.7,423000
MAJOR,10/22/2002,13.6,13.7,13.6,13.7,412500
MAJOR,10/24/2002,13.7,13.8,13.6,13.7,440500
MAJOR,10/25/2002,13.7,13.8,13.6,13.8,203000
MAJOR,10/28/2002,13.9,14.2,13.8,14.1,11299500
MAJOR,10/29/2002,14.0,14.0,13.8,13.8,8285500
MAJOR,10/30/2002,13.9,13.9,13.7,13.9,571005
MAJOR,10/31/2002,14.0,14.3,13.9,14.0,1155500
MAJOR,11/1/2002,14.2,14.3,14.1,14.2,1144000
MAJOR,11/4/2002,14.2,14.2,14.0,14.1,685500
MAJOR,11/5/2002,14.1,14.1,13.9,14.0,816500
MAJOR,11/6/2002,13.9,14.0,13.9,14.0,188500
MAJOR,11/7/2002,14.0,14.1,14.0,14.0,240000
MAJOR,11/8/2002,14.2,14.2,14.0,14.1,285500
MAJOR,11/11/2002,14.1,14.1,13.9,14.0,632500
MAJOR,11/12/2002,14.0,14.0,13.9,13.9,309500
MAJOR,11/13/2002,13.9,14.0,13.9,14.0,480500
MAJOR,11/14/2002,14.1,14.6,14.0,14.3,3096500
MAJOR,11/15/2002,14.6,14.8,14.4,14.5,3423500
MAJOR,11/18/2002,14.6,14.8,14.6,14.7,684500
MAJOR,11/19/2002,14.7,14.7,14.4,14.5,1025000
MAJOR,11/20/2002,14.6,14.6,14.5,14.5,170000
MAJOR,11/21/2002,14.6,14.9,14.6,14.8,354000
MAJOR,11/22/2002,15.1,15.1,14.8,14.8,1128500
MAJOR,11/25/2002,15.0,15.0,14.9,14.9,1129500
MAJOR,11/26/2002,14.9,14.9,14.7,14.8,369000
MAJOR,11/27/2002,14.8,14.8,14.7,14.7,149500
MAJOR,11/28/2002,14.8,14.8,14.7,14.7,481500
MAJOR,11/29/2002,14.9,15.0,14.6,15.0,325500
MAJOR,12/2/2002,14.9,14.9,14.9,14.9,122500
MAJOR,12/3/2002,15.0,15.1,14.8,14.8,364500
MAJOR,12/4/2002,14.8,15.0,14.8,15.0,325000
MAJOR,12/6/2002,15.0,15.7,15.0,15.4,2785500
MAJOR,12/9/2002,15.6,15.6,15.4,15.4,334000
MAJOR,12/11/2002,15.4,15.8,15.4,15.6,751000
MAJOR,12/12/2002,15.6,15.6,15.1,15.5,867500
MAJOR,12/13/2002,15.5,15.6,15.3,15.5,80500
MAJOR,12/16/2002,15.3,15.3,15.2,15.3,168500
MAJOR,12/17/2002,15.4,15.5,15.2,15.3,257000
MAJOR,12/18/2002,15.2,15.2,15.1,15.2,89500
MAJOR,12/19/2002,15.2,15.3,15.2,15.2,158500
MAJOR,12/20/2002,15.3,15.4,15.3,15.3,190000
MAJOR,12/23/2002,15.3,15.8,15.3,15.8,323000
MAJOR,12/24/2002,15.8,15.8,15.6,15.8,991000
MAJOR,12/25/2002,15.8,15.9,15.8,15.8,211000
MAJOR,12/26/2002,15.8,16.3,15.8,16.1,832000
MAJOR,12/27/2002,16.1,16.3,16.0,16.2,1333050
MAJOR,1/2/2003,16.1,16.2,15.9,16.0,1070000
MAJOR,1/3/2003,16.0,16.4,16.0,16.3,943500
MAJOR,1/6/2003,16.3,16.3,16.0,16.3,1059500
MAJOR,1/7/2003,16.2,16.2,15.8,15.8,732000
MAJOR,1/8/2003,15.8,15.8,15.4,15.5,982500
MAJOR,1/9/2003,15.6,15.6,15.2,15.5,602500
MAJOR,1/10/2003,15.6,15.6,15.5,15.5,219500
MAJOR,1/13/2003,15.6,15.6,15.3,15.4,1348000
MAJOR,1/14/2003,15.5,15.5,15.4,15.4,2232000
MAJOR,1/15/2003,15.4,15.4,14.5,14.8,5575500
MAJOR,1/16/2003,14.9,15.2,14.9,15.0,2710500
MAJOR,1/17/2003,15.0,15.0,14.9,15.0,595000
MAJOR,1/20/2003,15.0,15.0,14.9,15.0,1100750
MAJOR,1/21/2003,15.0,15.0,14.9,15.0,1623500
MAJOR,1/22/2003,15.0,15.0,14.6,14.6,1080500
MAJOR,1/23/2003,14.6,14.6,14.3,14.5,1561500
MAJOR,1/24/2003,14.5,14.8,14.5,14.7,1438000
MAJOR,1/27/2003,14.6,14.8,14.6,14.7,831500
MAJOR,1/28/2003,14.8,14.9,14.6,14.7,798500
MAJOR,1/29/2003,14.9,15.0,14.8,14.8,836500
MAJOR,1/30/2003,14.9,14.9,14.8,14.8,106505
MAJOR,1/31/2003,14.8,14.9,14.8,14.8,105500
MAJOR,2/3/2003,14.8,14.9,14.8,14.8,132500
MAJOR,2/4/2003,14.9,14.9,14.8,14.9,147500
MAJOR,2/5/2003,15.0,15.0,14.8,14.9,562500
MAJOR,2/6/2003,14.9,15.1,14.9,14.9,1559000
MAJOR,2/7/2003,15.0,15.1,14.8,14.9,1792000
MAJOR,2/10/2003,14.9,15.0,14.8,14.8,388000
MAJOR,2/11/2003,14.9,14.9,14.8,14.8,652500
MAJOR,2/12/2003,14.9,15.1,14.9,15.0,347500
MAJOR,2/13/2003,15.1,15.6,15.0,15.0,5179500
MAJOR,2/14/2003,15.0,15.4,15.0,15.2,1201000
MAJOR,2/18/2003,15.4,15.6,15.2,15.4,2632500
MAJOR,2/19/2003,15.6,15.7,15.1,15.1,3071500
MAJOR,2/20/2003,15.1,15.1,14.6,14.8,2000000
MAJOR,2/21/2003,14.7,14.7,14.5,14.6,987500
MAJOR,2/24/2003,14.7,14.7,14.5,14.6,272000
MAJOR,2/25/2003,14.5,14.6,14.4,14.6,724000
MAJOR,2/26/2003,14.6,14.6,14.4,14.4,324000
MAJOR,2/27/2003,14.4,14.5,14.3,14.4,1218500
MAJOR,2/28/2003,14.4,14.4,14.3,14.4,343000
MAJOR,3/3/2003,14.4,14.5,14.3,14.4,983500
MAJOR,3/4/2003,14.4,14.4,14.1,14.2,938500
MAJOR,3/5/2003,14.1,14.2,14.0,14.2,1112500
MAJOR,3/6/2003,14.1,14.1,13.9,14.0,657500
MAJOR,3/7/2003,14.0,14.0,14.0,14.0,785500
MAJOR,3/10/2003,14.0,14.0,13.9,14.0,791500
MAJOR,3/11/2003,14.0,14.0,13.9,14.0,353500
MAJOR,3/12/2003,14.0,14.1,14.0,14.1,56000
MAJOR,3/13/2003,14.2,14.3,14.1,14.1,4970000
MAJOR,3/14/2003,14.4,14.4,14.3,14.4,471500
MAJOR,3/17/2003,14.4,14.4,14.1,14.1,161500
MAJOR,3/18/2003,14.3,14.4,14.3,14.4,124500
MAJOR,3/19/2003,14.3,14.3,14.3,14.3,66500
MAJOR,3/20/2003,14.3,14.4,14.2,14.3,214000
MAJOR,3/21/2003,14.3,14.3,14.3,14.3,31500
MAJOR,3/24/2003,14.3,14.3,14.2,14.2,266000
MAJOR,3/25/2003,14.0,14.2,14.0,14.2,212500
MAJOR,3/26/2003,14.2,14.2,14.2,14.2,557000
