Ticker,Date/Time,Open,High,Low,Close,Volume
MEGA,11/19/2013,19.0,21.3,18.0,21.3,308635840
MEGA,11/20/2013,21.1,21.8,20.5,20.8,108868864
MEGA,11/21/2013,21.0,21.1,19.2,19.2,37020216
MEGA,11/22/2013,19.5,20.3,19.2,19.4,48383792
MEGA,11/25/2013,19.0,19.7,18.8,19.2,20120156
MEGA,11/26/2013,19.3,20.2,19.3,19.4,28795856
MEGA,11/27/2013,19.6,20.1,19.5,19.9,16791800
MEGA,11/28/2013,20.1,20.5,19.6,19.6,15775205
MEGA,11/29/2013,19.7,20.1,19.7,19.9,8964854
MEGA,12/2/2013,19.7,20.0,19.7,19.9,6044900
MEGA,12/3/2013,20.0,21.1,20.0,20.6,29776440
MEGA,12/4/2013,20.5,21.9,20.4,21.8,23213698
MEGA,12/6/2013,21.9,22.1,21.2,21.3,16657318
MEGA,12/9/2013,21.5,21.6,20.5,20.9,12142407
MEGA,12/11/2013,21.0,21.3,20.6,20.9,12337411
MEGA,12/12/2013,20.9,21.9,20.8,21.7,25008632
MEGA,12/13/2013,21.7,21.9,21.0,21.2,11093400
MEGA,12/16/2013,21.0,21.0,20.4,20.5,9997701
MEGA,12/17/2013,20.9,21.5,20.7,21.3,16589630
MEGA,12/18/2013,21.3,21.8,21.0,21.2,14557541
MEGA,12/19/2013,21.4,21.4,20.7,21.1,4253201
MEGA,12/20/2013,21.1,21.2,20.8,21.0,2674000
MEGA,12/23/2013,21.1,21.1,19.9,20.1,6596720
MEGA,12/24/2013,20.3,20.5,20.0,20.0,2179100
MEGA,12/25/2013,20.2,20.3,19.8,19.9,1788296
MEGA,12/26/2013,20.0,20.3,19.4,19.5,2173100
MEGA,12/27/2013,19.5,20.0,19.2,20.0,2312454
MEGA,1/2/2014,19.6,19.8,19.0,19.0,1409400
MEGA,1/3/2014,18.2,19.1,18.1,18.3,3187007
MEGA,1/6/2014,18.4,18.5,17.8,18.4,2602809
MEGA,1/7/2014,18.5,19.3,18.4,19.0,1333602
MEGA,1/8/2014,19.1,19.4,19.0,19.1,1686206
MEGA,1/9/2014,19.2,19.4,19.1,19.1,615904
MEGA,1/10/2014,19.3,19.3,18.7,19.1,1171029
