Ticker,Date/Time,Open,High,Low,Close,Volume
MINT,1/15/1990,1.08,1.09,1.08,1.09,319946
MINT,1/16/1990,1.09,1.1,1.09,1.09,142305
MINT,1/17/1990,1.09,1.11,1.09,1.11,229915
MINT,1/18/1990,1.11,1.15,1.1,1.15,150897
MINT,1/19/1990,1.24,1.27,1.24,1.27,684907
MINT,1/22/1990,1.27,1.39,1.26,1.27,388073
MINT,1/23/1990,1.27,1.3,1.25,1.3,237297
MINT,1/24/1990,1.3,1.31,1.26,1.27,501216
MINT,1/25/1990,1.27,1.28,1.22,1.23,223865
MINT,1/26/1990,1.24,1.3,1.24,1.28,139885
MINT,1/29/1990,1.28,1.31,1.27,1.28,408766
MINT,1/30/1990,1.28,1.28,1.28,1.28,17062
MINT,1/31/1990,1.28,1.28,1.25,1.25,69337
MINT,2/1/1990,1.25,1.25,1.23,1.23,64497
MINT,2/2/1990,1.21,1.21,1.15,1.16,228705
MINT,2/5/1990,1.18,1.19,1.18,1.18,46225
MINT,2/6/1990,1.18,1.18,1.14,1.14,138675
MINT,2/7/1990,1.12,1.12,1.06,1.06,40174
MINT,2/8/1990,1.06,1.17,1.06,1.17,110722
MINT,2/12/1990,1.15,1.15,1.12,1.12,41384
MINT,2/13/1990,1.11,1.11,1.08,1.08,75388
MINT,2/14/1990,1.1,1.11,1.1,1.11,48645
MINT,2/15/1990,1.12,1.15,1.12,1.15,52275
MINT,2/16/1990,1.17,1.23,1.17,1.21,206803
MINT,2/19/1990,1.23,1.26,1.23,1.24,125364
MINT,2/20/1990,1.24,1.25,1.21,1.21,197122
MINT,2/21/1990,1.21,1.22,1.21,1.22,148477
MINT,2/22/1990,1.2,1.2,1.17,1.17,102252
MINT,2/23/1990,1.18,1.2,1.18,1.19,69337
MINT,2/26/1990,1.18,1.18,1.17,1.17,25532
MINT,2/27/1990,1.16,1.16,1.16,1.16,2420
MINT,2/28/1990,1.16,1.18,1.16,1.18,6050
MINT,3/1/1990,1.18,1.21,1.18,1.21,87610
MINT,3/2/1990,1.21,1.23,1.21,1.23,69337
MINT,3/5/1990,1.23,1.24,1.21,1.23,130205
MINT,3/6/1990,1.22,1.22,1.11,1.21,40174
MINT,3/7/1990,1.21,1.21,1.19,1.21,23112
MINT,3/8/1990,1.19,1.19,1.19,1.19,12221
MINT,3/9/1990,1.19,1.21,1.19,1.19,20692
MINT,3/12/1990,1.18,1.18,1.18,1.18,3630
MINT,3/13/1990,1.17,1.17,1.16,1.16,6050
MINT,3/14/1990,1.15,1.15,1.13,1.15,26742
MINT,3/16/1990,1.16,1.16,1.16,1.16,26742
MINT,3/19/1990,1.18,1.18,1.18,1.18,29163
MINT,3/21/1990,1.18,1.2,1.18,1.2,6050
MINT,3/22/1990,1.2,1.21,1.19,1.21,81559
MINT,3/23/1990,1.21,1.22,1.21,1.22,49855
MINT,3/26/1990,1.21,1.21,1.2,1.21,52275
MINT,3/27/1990,1.21,1.24,1.21,1.24,46225
MINT,3/28/1990,1.24,1.24,1.22,1.22,31583
MINT,3/29/1990,1.22,1.22,1.2,1.22,48645
MINT,3/30/1990,1.22,1.22,1.22,1.22,17062
MINT,4/2/1990,1.22,1.22,1.22,1.22,20692
MINT,4/3/1990,1.21,1.21,1.18,1.18,34124
MINT,4/4/1990,1.21,1.21,1.21,1.21,17062
MINT,4/5/1990,1.21,1.21,1.21,1.21,2420
MINT,4/9/1990,1.19,1.19,1.19,1.19,3630
MINT,4/10/1990,1.19,1.2,1.19,1.19,12221
MINT,4/11/1990,1.19,1.19,1.19,1.19,12221
MINT,4/16/1990,1.18,1.18,1.17,1.17,31583
MINT,4/17/1990,1.17,1.17,1.16,1.17,49855
MINT,4/18/1990,1.15,1.15,1.15,1.15,63287
MINT,4/19/1990,1.26,1.26,1.26,1.26,383233
MINT,4/20/1990,1.26,1.28,1.19,1.2,197122
MINT,4/23/1990,1.2,1.21,1.18,1.18,159368
MINT,4/24/1990,1.17,1.17,1.15,1.16,197122
MINT,4/25/1990,1.16,1.16,1.13,1.15,240927
MINT,4/26/1990,1.15,1.15,1.11,1.11,144726
MINT,4/27/1990,1.11,1.16,1.11,1.13,188531
MINT,5/11/1990,1.13,1.13,1.13,1.13,1210
MINT,5/14/1990,1.15,1.15,1.15,1.15,3630
MINT,5/15/1990,1.17,1.18,1.17,1.18,13431
MINT,5/16/1990,1.2,1.21,1.2,1.21,83979
MINT,5/17/1990,1.21,1.21,1.21,1.21,3630
MINT,5/18/1990,1.22,1.22,1.22,1.22,9680
MINT,5/21/1990,1.22,1.22,1.22,1.22,9680
MINT,5/22/1990,1.22,1.22,1.2,1.2,75388
MINT,5/23/1990,1.2,1.2,1.2,1.2,85189
MINT,5/24/1990,1.2,1.2,1.19,1.2,68127
MINT,5/25/1990,1.19,1.19,1.19,1.19,20692
MINT,5/28/1990,1.19,1.19,1.19,1.19,34124
MINT,5/29/1990,1.18,1.18,1.18,1.18,8470
MINT,5/30/1990,1.16,1.16,1.15,1.16,13431
MINT,5/31/1990,1.15,1.15,1.14,1.15,32793
MINT,6/1/1990,1.15,1.15,1.12,1.13,30373
MINT,6/4/1990,1.13,1.13,1.12,1.12,100921
MINT,6/5/1990,1.13,1.13,1.13,1.13,37754
MINT,6/6/1990,1.12,1.12,1.12,1.12,13431
MINT,6/7/1990,1.12,1.18,1.12,1.14,13431
MINT,6/8/1990,1.14,1.14,1.13,1.13,13431
MINT,6/11/1990,1.13,1.14,1.12,1.13,15852
MINT,6/14/1990,1.12,1.12,1.09,1.09,98500
MINT,6/15/1990,1.08,1.08,1.06,1.06,63287
MINT,6/19/1990,1.06,1.06,1.06,1.06,4840
MINT,6/21/1990,1.06,1.06,1.06,1.06,8470
MINT,6/22/1990,1.06,1.06,1.06,1.06,20692
MINT,6/25/1990,1.06,1.06,1.06,1.06,38964
MINT,6/26/1990,1.06,1.06,1.06,1.06,8470
MINT,6/27/1990,1.06,1.06,1.06,1.06,38964
MINT,6/28/1990,1.06,1.06,1.06,1.06,4840
MINT,6/29/1990,1.06,1.06,1.05,1.06,81559
MINT,7/2/1990,1.06,1.06,1.06,1.06,62077
MINT,7/3/1990,1.06,1.06,1.06,1.06,3630
MINT,7/4/1990,1.06,1.09,1.04,1.09,71757
MINT,7/5/1990,1.09,1.11,1.07,1.11,139885
MINT,7/6/1990,1.09,1.09,1.09,1.09,3630
MINT,7/12/1990,1.06,1.06,1.06,1.06,12221
MINT,7/13/1990,1.06,1.06,1.04,1.06,15852
MINT,7/16/1990,1.04,1.04,1.04,1.04,3630
MINT,7/17/1990,1.04,1.04,1.04,1.04,8470
MINT,7/18/1990,1.05,1.06,1.05,1.06,52275
MINT,7/19/1990,1.17,1.17,1.17,1.17,55905
MINT,7/20/1990,1.18,1.23,1.18,1.18,170379
MINT,7/24/1990,1.14,1.14,1.14,1.14,3630
MINT,7/25/1990,1.11,1.11,1.11,1.11,3630
MINT,7/26/1990,1.1,1.1,1.09,1.09,20692
MINT,7/27/1990,1.09,1.09,1.04,1.04,42594
MINT,7/30/1990,1.03,1.03,1.01,1.03,114352
MINT,7/31/1990,1.01,1.01,1.0,1.01,362541
MINT,8/1/1990,1.01,1.03,1.01,1.01,139885
MINT,8/2/1990,1.03,1.04,1.03,1.03,165418
MINT,8/3/1990,1.03,1.03,1.02,1.02,75388
MINT,8/6/1990,1.02,1.02,1.0,1.01,164208
MINT,8/7/1990,0.99,0.99,0.91,0.91,119193
MINT,8/8/1990,0.93,0.93,0.93,0.93,46225
MINT,8/9/1990,0.93,0.93,0.84,0.84,26742
MINT,8/10/1990,0.92,0.92,0.92,0.92,13431
MINT,8/14/1990,0.92,0.93,0.92,0.92,51065
MINT,8/15/1990,0.96,0.96,0.96,0.96,43805
MINT,8/16/1990,0.96,0.97,0.96,0.97,9680
MINT,8/17/1990,0.97,1.01,0.97,1.01,79139
MINT,8/20/1990,1.01,1.02,1.01,1.01,17062
MINT,8/21/1990,1.01,1.01,0.97,0.97,41384
MINT,8/22/1990,0.95,0.95,0.87,0.87,32793
MINT,8/23/1990,0.86,0.86,0.85,0.85,12221
MINT,8/24/1990,0.83,0.83,0.77,0.77,63287
MINT,8/27/1990,0.84,0.84,0.84,0.84,1210
MINT,8/28/1990,0.84,0.92,0.84,0.92,35334
MINT,8/29/1990,0.92,0.94,0.9,0.9,115563
MINT,8/30/1990,0.88,0.88,0.81,0.82,105882
MINT,8/31/1990,0.84,0.85,0.84,0.85,66917
MINT,9/3/1990,0.87,0.9,0.87,0.9,75388
MINT,9/4/1990,0.88,0.88,0.86,0.86,62077
MINT,9/5/1990,0.86,0.86,0.82,0.82,30373
MINT,9/6/1990,0.82,0.82,0.8,0.82,64497
MINT,9/7/1990,0.82,0.82,0.82,0.82,7260
MINT,9/10/1990,0.82,0.82,0.82,0.82,24322
MINT,9/11/1990,0.84,0.84,0.84,0.84,7260
MINT,9/17/1990,0.8,0.8,0.76,0.76,47435
MINT,9/18/1990,0.76,0.76,0.76,0.76,17062
MINT,9/19/1990,0.76,0.77,0.76,0.77,20692
MINT,9/20/1990,0.74,0.74,0.74,0.74,17062
MINT,9/21/1990,0.8,0.8,0.8,0.8,3630
MINT,9/24/1990,0.8,0.81,0.78,0.78,26742
MINT,9/26/1990,0.76,0.76,0.73,0.73,13431
MINT,9/27/1990,0.78,0.78,0.78,0.78,3630
MINT,9/28/1990,0.79,0.8,0.79,0.79,26742
MINT,10/2/1990,0.79,0.87,0.79,0.87,41384
MINT,10/3/1990,0.87,0.9,0.86,0.86,71757
MINT,10/4/1990,0.85,0.85,0.83,0.83,105882
MINT,10/5/1990,0.81,0.81,0.81,0.81,7260
MINT,10/8/1990,0.82,0.82,0.82,0.82,3630
MINT,10/9/1990,0.8,0.8,0.8,0.8,3630
MINT,10/10/1990,0.8,0.82,0.8,0.8,7260
MINT,10/15/1990,0.8,0.8,0.8,0.8,1192295
MINT,10/16/1990,0.8,0.8,0.78,0.78,7260
MINT,10/22/1990,0.86,0.86,0.86,0.86,3630
MINT,10/24/1990,0.87,0.88,0.87,0.88,41384
MINT,11/1/1990,0.79,0.79,0.79,0.79,7260
MINT,11/8/1990,0.79,0.79,0.79,0.79,9680
MINT,11/9/1990,0.8,0.8,0.8,0.8,7260
MINT,11/14/1990,0.79,0.79,0.79,0.79,7260
MINT,11/16/1990,0.77,0.77,0.77,0.77,3630
MINT,11/20/1990,0.78,0.78,0.78,0.78,7260
MINT,12/3/1990,0.78,0.78,0.78,0.78,13431
MINT,12/7/1990,0.76,0.76,0.76,0.76,17062
MINT,12/11/1990,0.76,0.76,0.74,0.74,34124
MINT,12/12/1990,0.72,0.72,0.72,0.72,7260
MINT,12/27/1990,0.77,0.77,0.77,0.77,34124
MINT,2/1/1991,0.76,0.76,0.74,0.74,13431
MINT,2/4/1991,0.74,0.74,0.72,0.72,9680
MINT,2/5/1991,0.72,0.72,0.72,0.72,3630
MINT,2/7/1991,0.71,0.71,0.71,0.71,41384
MINT,2/8/1991,0.72,0.72,0.72,0.72,9680
MINT,2/12/1991,0.72,0.74,0.71,0.74,17062
