Ticker,Date/Time,Open,High,Low,Close,Volume
MTC,11/26/2014,9.5,11.9,8.6,11.9,1204126720
MTC,11/27/2014,11.6,12.8,11.3,12.0,672460224
MTC,11/28/2014,12.2,12.6,11.7,11.7,233913872
MTC,12/1/2014,12.0,12.3,11.8,11.9,133392128
MTC,12/2/2014,12.0,12.1,11.4,11.5,80042560
MTC,12/3/2014,11.6,12.1,11.4,12.0,99232320
MTC,12/4/2014,12.0,12.1,11.6,11.6,67495400
MTC,12/8/2014,11.5,12.0,11.0,11.7,49135900
MTC,12/9/2014,11.8,12.2,11.6,12.0,51534520
MTC,12/11/2014,11.9,12.1,11.2,11.8,48638220
MTC,12/12/2014,11.9,12.6,11.4,12.4,83605152
MTC,12/15/2014,12.0,12.2,9.0,11.6,73769480
MTC,12/16/2014,11.3,12.0,10.8,11.8,37771912
MTC,12/17/2014,11.8,11.9,11.6,11.7,19094710
MTC,12/18/2014,11.9,12.2,11.7,12.1,31014280
MTC,12/19/2014,12.1,12.2,11.8,11.9,14551600
MTC,12/22/2014,11.9,12.9,11.8,12.6,49971852
MTC,12/23/2014,12.7,12.8,12.3,12.6,22923592
MTC,12/24/2014,12.6,12.7,12.0,12.4,20890772
MTC,12/25/2014,12.3,12.3,11.8,11.9,13367300
MTC,12/26/2014,12.0,12.2,11.9,12.1,3662800
MTC,12/29/2014,12.0,12.1,11.9,12.0,3283000
MTC,12/30/2014,12.0,12.3,11.7,12.2,7669700
MTC,1/5/2015,12.2,12.2,12.0,12.0,2090701
MTC,1/6/2015,11.9,12.5,11.9,12.4,17457200
MTC,1/7/2015,12.4,12.7,12.3,12.5,10926801
MTC,1/8/2015,12.5,12.7,12.5,12.6,11753300
MTC,1/9/2015,12.7,14.0,12.7,14.0,82570648
MTC,1/12/2015,13.9,14.2,13.6,14.0,35211544
MTC,1/13/2015,13.9,14.3,13.7,14.3,25726000
MTC,1/14/2015,14.4,14.5,13.9,14.0,29501220
MTC,1/15/2015,14.1,15.2,13.9,14.9,51877712
MTC,1/16/2015,14.7,15.0,14.6,14.9,27810174
MTC,1/19/2015,14.9,15.0,14.2,14.7,24963476
MTC,1/20/2015,14.7,14.9,14.4,14.6,13212976
MTC,1/21/2015,14.8,15.3,14.8,15.0,32318316
MTC,1/22/2015,15.2,16.0,15.0,15.9,40824584
MTC,1/23/2015,15.9,16.4,15.9,16.0,27092698
MTC,1/26/2015,16.1,16.8,15.9,16.7,32364952
MTC,1/27/2015,16.8,18.3,16.7,17.9,51657100
MTC,1/28/2015,18.1,18.4,17.2,18.1,38560936
MTC,1/29/2015,17.9,18.0,17.7,18.0,12452135
MTC,1/30/2015,18.0,18.4,17.8,18.3,18608732
MTC,2/2/2015,18.1,19.1,18.0,19.1,24728184
MTC,2/3/2015,19.1,19.1,18.8,19.0,16226800
MTC,2/4/2015,19.1,19.7,19.1,19.4,23183980
MTC,2/5/2015,19.4,19.6,19.2,19.5,13507101
MTC,2/6/2015,19.6,20.0,19.3,19.9,15069252
MTC,2/9/2015,20.0,20.1,19.5,19.5,35297016
MTC,2/10/2015,19.2,19.4,18.0,18.3,60924028
MTC,2/11/2015,18.4,19.1,18.3,18.8,48286884
MTC,2/12/2015,18.9,19.2,18.8,18.9,17413800
MTC,2/13/2015,19.1,19.1,18.7,18.9,10022546
MTC,2/16/2015,19.0,19.6,18.8,19.1,40751792
MTC,2/17/2015,19.2,19.3,18.8,18.8,13575700
MTC,2/18/2015,19.0,20.1,19.0,19.8,60481200
MTC,2/19/2015,20.0,20.4,19.9,20.2,40979944
MTC,2/20/2015,20.3,20.4,19.7,20.1,23357696
MTC,2/23/2015,20.2,20.2,19.7,19.7,13983651
MTC,2/24/2015,19.5,19.9,19.2,19.4,17858532
MTC,2/25/2015,19.6,19.8,19.2,19.2,11967423
MTC,2/26/2015,19.3,19.4,18.4,19.0,21149810
