Ticker,Date/Time,Open,High,Low,Close,Volume
ORI,10/7/2015,3.0,3.03,2.54,2.54,908920960
ORI,10/8/2015,2.56,2.6,2.19,2.2,247196432
ORI,10/9/2015,2.26,2.6,2.24,2.57,360302304
ORI,10/12/2015,2.64,3.26,2.6,3.14,616546240
ORI,10/13/2015,3.14,3.17,3.03,3.14,177823168
ORI,10/14/2015,3.23,3.43,3.14,3.31,353313024
ORI,10/15/2015,3.31,3.69,3.23,3.66,227649184
ORI,10/16/2015,3.66,3.86,3.4,3.51,261898960
ORI,10/19/2015,3.54,3.74,3.49,3.66,147550032
ORI,10/20/2015,3.66,3.71,3.54,3.54,104776080
ORI,10/21/2015,3.6,3.86,3.57,3.77,217657168
ORI,10/22/2015,3.77,3.97,3.69,3.8,215095200
ORI,10/26/2015,3.83,4.03,3.83,4.03,171467840
ORI,10/27/2015,4.03,4.2,3.97,3.97,154874992
ORI,10/28/2015,4.0,4.11,3.91,4.0,115152088
ORI,10/29/2015,4.06,4.09,3.94,3.94,83346304
ORI,10/30/2015,4.0,4.06,3.94,4.0,70875056
ORI,11/2/2015,4.0,4.03,3.94,3.97,31900478
ORI,11/3/2015,4.0,4.31,4.0,4.23,194835856
ORI,11/4/2015,4.29,4.29,4.17,4.2,61014580
ORI,11/5/2015,4.2,4.26,4.06,4.09,83310224
ORI,11/6/2015,4.11,4.17,4.06,4.14,39509516
ORI,11/9/2015,4.17,4.37,4.17,4.29,87248848
ORI,11/10/2015,4.26,4.34,4.23,4.23,32332788
ORI,11/11/2015,4.26,4.26,4.09,4.09,40155684
ORI,11/12/2015,4.09,4.09,3.94,4.0,26560806
ORI,11/13/2015,4.0,4.0,3.94,3.97,3087413
ORI,11/16/2015,4.0,4.06,3.94,4.03,2249051
ORI,11/17/2015,4.06,4.11,4.0,4.0,5669721
ORI,11/18/2015,4.03,4.06,3.97,3.97,3497322
ORI,11/19/2015,4.0,4.09,3.94,3.97,8907413
ORI,11/20/2015,3.97,4.0,3.89,3.91,6674380
ORI,11/23/2015,3.83,3.91,3.8,3.86,5385822
ORI,11/24/2015,3.89,4.0,3.83,3.86,16586072
ORI,11/25/2015,3.86,3.94,3.74,3.77,10046014
ORI,11/26/2015,3.77,3.86,3.71,3.8,7224339
ORI,11/27/2015,3.8,3.86,3.77,3.86,9527606
ORI,11/30/2015,3.86,3.91,3.83,3.91,19163670
ORI,12/1/2015,3.91,3.91,3.89,3.89,2823478
ORI,12/2/2015,3.86,3.86,3.77,3.77,1427844
ORI,12/3/2015,3.74,3.8,3.74,3.74,1441187
ORI,12/4/2015,3.77,3.77,3.66,3.74,753304
ORI,12/8/2015,3.71,3.71,3.63,3.63,1713479
ORI,12/9/2015,3.66,3.69,3.63,3.69,1558408
ORI,12/11/2015,3.66,3.69,3.63,3.69,1949411
ORI,12/14/2015,3.63,3.66,3.6,3.63,383301
ORI,12/15/2015,3.66,3.8,3.63,3.74,1428191
ORI,12/16/2015,3.74,3.94,3.74,3.86,1675678
ORI,12/17/2015,3.86,3.89,3.74,3.77,987131
ORI,12/18/2015,3.77,3.77,3.66,3.66,848166
ORI,12/21/2015,3.66,3.69,3.6,3.63,1079551
ORI,12/22/2015,3.63,3.63,3.6,3.6,1122249
ORI,12/23/2015,3.63,3.86,3.63,3.77,1068346
ORI,12/24/2015,3.74,3.83,3.69,3.83,855514
ORI,12/25/2015,3.74,3.89,3.74,3.89,525420
ORI,12/28/2015,3.94,3.94,3.91,3.91,89615
ORI,12/29/2015,3.94,3.94,3.89,3.89,105714
ORI,12/30/2015,3.89,3.91,3.83,3.83,63008
ORI,1/4/2016,3.89,3.89,3.71,3.71,232430
ORI,1/5/2016,3.77,3.77,3.69,3.69,196726
ORI,1/6/2016,3.69,3.74,3.69,3.71,39092
ORI,1/7/2016,3.69,3.77,3.69,3.71,472912
ORI,1/8/2016,3.69,3.74,3.69,3.69,516668
ORI,1/11/2016,3.69,3.71,3.69,3.71,148769
ORI,1/12/2016,3.71,3.77,3.71,3.74,160670
ORI,1/13/2016,3.77,3.77,3.71,3.71,461362
ORI,1/14/2016,3.71,3.74,3.66,3.74,799507
ORI,1/15/2016,3.69,3.71,3.69,3.69,151219
ORI,1/18/2016,3.66,3.77,3.66,3.71,267785
ORI,1/19/2016,3.69,3.69,3.66,3.69,501967
ORI,1/20/2016,3.66,3.69,3.66,3.66,167322
ORI,1/21/2016,3.69,3.69,3.66,3.69,382251
ORI,1/22/2016,3.66,3.69,3.63,3.66,1399487
ORI,1/25/2016,3.66,4.06,3.66,3.94,24828722
ORI,1/26/2016,3.97,4.06,3.91,3.91,16663636
ORI,1/27/2016,3.94,3.97,3.77,3.97,4799847
ORI,1/28/2016,4.0,4.0,3.86,3.89,2216497
ORI,1/29/2016,3.89,3.89,3.77,3.77,1562609
ORI,2/1/2016,3.83,3.94,3.83,3.86,1901808
ORI,2/2/2016,3.86,4.0,3.86,3.91,3335247
ORI,2/3/2016,3.86,3.97,3.86,3.97,1016885
ORI,2/4/2016,4.0,4.0,3.91,3.91,633588
ORI,2/5/2016,3.97,3.97,3.91,3.91,1247216
ORI,2/8/2016,3.83,3.94,3.83,3.86,1265420
ORI,2/9/2016,3.86,3.89,3.86,3.86,564979
ORI,2/10/2016,3.86,3.89,3.83,3.86,298240
ORI,2/11/2016,3.83,3.86,3.77,3.77,757151
ORI,2/12/2016,3.74,3.77,3.74,3.77,143169
ORI,2/15/2016,3.74,3.8,3.71,3.77,414105
ORI,2/16/2016,3.71,3.71,3.66,3.66,298589
ORI,2/17/2016,3.66,3.66,3.63,3.63,261134
ORI,2/18/2016,3.63,3.71,3.63,3.69,161721
ORI,2/19/2016,3.69,3.74,3.66,3.74,84713
ORI,2/23/2016,3.74,3.74,3.71,3.74,326594
ORI,2/24/2016,3.74,3.91,3.74,3.8,224379
ORI,2/25/2016,3.91,3.94,3.74,3.74,5125737
ORI,2/26/2016,3.8,3.8,3.71,3.74,177123
ORI,2/29/2016,3.77,3.77,3.74,3.74,126366
ORI,3/1/2016,3.74,3.77,3.74,3.74,8751
ORI,3/2/2016,3.74,3.74,3.66,3.69,1139402
ORI,3/3/2016,3.77,3.77,3.57,3.6,857615
ORI,3/4/2016,3.63,3.63,3.54,3.57,1395637
ORI,3/7/2016,3.63,3.77,3.63,3.74,821913
ORI,3/8/2016,3.66,3.66,3.54,3.54,237331
ORI,3/9/2016,3.54,3.57,3.51,3.54,61608
ORI,3/10/2016,3.54,3.57,3.51,3.54,148070
ORI,3/11/2016,3.57,3.57,3.54,3.54,125666
ORI,3/14/2016,3.54,3.54,3.51,3.54,131617
ORI,3/15/2016,3.54,3.54,3.46,3.54,175022
ORI,3/16/2016,3.51,3.6,3.51,3.51,330100
ORI,3/17/2016,3.51,3.57,3.51,3.51,224730
ORI,3/18/2016,3.57,3.57,3.49,3.51,171873
ORI,3/21/2016,3.49,3.51,3.49,3.49,72459
ORI,3/22/2016,3.49,3.49,3.46,3.49,39205
ORI,3/23/2016,3.49,3.51,3.46,3.46,45156
ORI,3/24/2016,3.46,3.49,3.46,3.46,28003
ORI,3/25/2016,3.46,3.49,3.46,3.49,216679
ORI,3/28/2016,3.43,3.49,3.43,3.46,23803
ORI,3/29/2016,3.49,3.51,3.46,3.46,8751
ORI,3/30/2016,3.46,3.49,3.46,3.49,71059
ORI,3/31/2016,3.51,3.54,3.51,3.54,107814
ORI,4/1/2016,3.54,3.54,3.51,3.54,149819
ORI,4/4/2016,3.54,3.54,3.51,3.54,83660
ORI,4/5/2016,3.51,3.51,3.51,3.51,58108
ORI,4/7/2016,3.51,3.51,3.14,3.29,617832
ORI,4/8/2016,3.29,3.37,3.29,3.37,120415
ORI,4/11/2016,3.4,3.46,3.4,3.43,154370
ORI,4/12/2016,3.46,3.49,3.46,3.46,58807
ORI,4/18/2016,3.49,3.49,3.43,3.43,49356
ORI,4/19/2016,3.43,3.46,3.43,3.46,81567
ORI,4/20/2016,3.43,3.46,3.43,3.46,43754
ORI,4/21/2016,3.49,3.49,3.43,3.43,70009
ORI,4/22/2016,3.43,3.43,3.37,3.4,83660
ORI,4/25/2016,3.26,3.43,3.26,3.43,127066
ORI,4/26/2016,3.4,3.49,3.4,3.46,186574
ORI,4/27/2016,3.43,3.46,3.43,3.43,128816
ORI,4/28/2016,3.51,3.51,3.4,3.4,289839
ORI,4/29/2016,3.43,3.43,3.31,3.34,132316
ORI,5/3/2016,3.34,3.37,3.34,3.37,39205
ORI,5/4/2016,3.37,3.4,3.34,3.34,64408
ORI,5/9/2016,3.37,3.43,3.37,3.43,120415
ORI,5/10/2016,3.4,3.4,3.4,3.4,71409
ORI,5/11/2016,3.4,3.4,3.4,3.4,48334
ORI,5/12/2016,3.4,3.43,3.4,3.43,240135
ORI,5/13/2016,3.4,3.43,3.4,3.4,324461
ORI,5/16/2016,3.31,3.34,3.31,3.34,112847
ORI,5/17/2016,3.4,3.4,3.34,3.34,56007
ORI,5/18/2016,3.34,3.34,3.31,3.34,218044
ORI,5/19/2016,3.23,3.29,3.23,3.29,105504
ORI,5/23/2016,3.23,3.26,3.17,3.26,76134
ORI,5/24/2016,3.23,3.23,3.2,3.2,93860
ORI,5/25/2016,3.23,3.23,3.2,3.2,148175
ORI,5/26/2016,3.2,3.23,3.2,3.23,119050
ORI,5/27/2016,3.2,3.23,3.17,3.2,249166
ORI,5/30/2016,3.17,3.17,3.17,3.17,38260
ORI,5/31/2016,3.17,3.2,3.14,3.14,249411
ORI,6/1/2016,3.2,3.23,3.2,3.2,214922
ORI,6/2/2016,3.2,3.2,3.17,3.17,200190
ORI,6/3/2016,3.2,3.2,3.17,3.2,159270
ORI,6/6/2016,3.2,3.2,3.17,3.17,89542
ORI,6/7/2016,3.17,3.17,3.14,3.14,617693
ORI,6/8/2016,3.14,3.17,3.11,3.14,35301
ORI,6/9/2016,3.14,3.14,3.11,3.14,231241
ORI,6/10/2016,3.14,3.17,3.14,3.17,95215
ORI,6/13/2016,3.17,3.2,3.14,3.2,184953
ORI,6/14/2016,3.23,3.23,3.14,3.14,97382
ORI,6/15/2016,3.17,3.17,3.14,3.17,78904
ORI,6/16/2016,3.17,3.23,3.11,3.17,742621
ORI,6/17/2016,3.17,3.17,3.14,3.14,352325
ORI,6/20/2016,3.14,3.17,3.14,3.17,119611
ORI,6/21/2016,3.14,3.17,3.11,3.14,188675
ORI,6/22/2016,3.17,3.17,3.11,3.17,449600
ORI,6/23/2016,3.11,3.11,3.09,3.11,110614
ORI,6/24/2016,3.11,3.11,3.06,3.11,182479
ORI,6/27/2016,3.09,3.09,3.06,3.09,44767
ORI,6/28/2016,3.09,3.14,3.09,3.14,56706
ORI,6/29/2016,3.14,3.2,3.14,3.2,379450
ORI,6/30/2016,3.2,3.23,3.2,3.2,352434
ORI,7/4/2016,3.17,3.2,3.17,3.17,293689
ORI,7/5/2016,3.17,3.17,3.11,3.14,530321
ORI,7/6/2016,3.14,3.17,3.06,3.17,622068
ORI,7/7/2016,3.14,3.14,3.11,3.11,70009
ORI,7/8/2016,3.11,3.14,3.09,3.09,264634
ORI,7/11/2016,3.14,3.14,3.09,3.11,222278
ORI,7/12/2016,3.11,3.11,3.06,3.11,224379
ORI,7/13/2016,3.11,3.11,3.06,3.09,186400
ORI,7/14/2016,3.06,3.11,3.06,3.11,285078
ORI,7/15/2016,3.09,3.34,3.09,3.11,5879493
ORI,7/20/2016,3.14,3.14,3.03,3.09,688542
ORI,7/21/2016,3.09,3.11,3.03,3.06,232570
ORI,7/22/2016,3.06,3.06,2.97,2.97,640935
ORI,7/25/2016,2.97,3.0,2.86,2.91,1046108
ORI,7/26/2016,2.94,2.94,2.89,2.94,1238115
ORI,7/27/2016,2.94,2.94,2.83,2.91,2189480
ORI,7/28/2016,2.91,2.91,2.81,2.83,3266953
ORI,7/29/2016,2.84,2.91,2.84,2.89,1366233
ORI,8/1/2016,2.89,2.89,2.83,2.84,603725
ORI,8/2/2016,2.84,2.86,2.81,2.81,93676
ORI,8/3/2016,2.83,2.84,2.77,2.8,2449289
ORI,8/4/2016,2.8,2.8,2.76,2.76,939186
ORI,8/5/2016,2.76,2.79,2.67,2.69,2378236
ORI,8/8/2016,2.71,2.71,2.66,2.66,1620745
ORI,8/9/2016,2.67,2.67,2.63,2.63,1440302
