Ticker,Date/Time,Open,High,Low,Close,Volume
OSP,10/17/2018,30.0,30.0,27.0,27.25,377490592
OSP,10/18/2018,27.0,27.0,25.5,25.5,163858096
OSP,10/19/2018,25.5,26.25,25.25,25.25,108483296
OSP,10/22/2018,25.25,25.75,23.7,23.7,123428600
OSP,10/24/2018,23.3,24.0,22.8,23.0,119530400
OSP,10/25/2018,23.0,24.5,22.9,24.4,94749504
OSP,10/26/2018,24.2,24.4,23.9,23.9,41549500
OSP,10/29/2018,24.1,24.3,23.8,23.9,24216100
OSP,10/30/2018,24.0,24.8,23.8,24.6,60730500
OSP,10/31/2018,24.8,26.25,24.8,25.75,75400400
OSP,11/1/2018,25.75,26.0,25.5,25.75,18428000
OSP,11/2/2018,26.0,26.25,25.5,25.5,23227000
OSP,11/5/2018,25.25,25.25,23.6,24.0,71456200
OSP,11/6/2018,24.3,24.4,23.8,24.0,32387600
OSP,11/7/2018,24.0,24.3,23.9,24.3,11461300
OSP,11/8/2018,24.4,24.7,24.2,24.3,12836800
OSP,11/9/2018,24.2,24.5,24.2,24.2,4475400
OSP,11/12/2018,24.4,24.4,24.0,24.0,4957900
OSP,11/13/2018,23.9,24.4,23.8,24.0,10148900
OSP,11/14/2018,24.1,24.3,24.0,24.1,5955500
OSP,11/15/2018,24.0,24.2,23.9,24.0,8423100
OSP,11/16/2018,24.1,24.2,23.9,24.0,6230200
OSP,11/19/2018,24.0,24.5,24.0,24.4,8445600
OSP,11/20/2018,24.3,24.4,24.1,24.2,9031200
OSP,11/21/2018,24.1,24.6,24.1,24.5,13327900
OSP,11/22/2018,24.8,25.25,24.4,24.5,33446900
OSP,11/23/2018,24.6,25.0,24.4,24.9,11951500
OSP,11/26/2018,25.0,25.25,24.8,25.0,17541200
OSP,11/27/2018,25.25,25.25,25.0,25.0,5064000
OSP,11/28/2018,25.0,25.5,25.0,25.25,4794600
OSP,11/29/2018,25.25,25.25,24.9,24.9,9231200
OSP,11/30/2018,25.0,25.25,24.9,25.0,3550000
OSP,12/3/2018,25.0,25.25,25.0,25.0,5165400
OSP,12/4/2018,25.0,25.25,25.0,25.25,3661700
OSP,12/6/2018,25.0,25.25,24.8,25.0,9194700
OSP,12/7/2018,25.0,25.25,24.9,25.0,3832700
OSP,12/11/2018,25.0,25.25,25.0,25.0,4617700
OSP,12/12/2018,25.25,25.75,25.0,25.25,10452900
OSP,12/13/2018,25.25,25.25,24.9,24.9,6780400
OSP,12/14/2018,24.9,25.0,24.5,24.8,8947800
OSP,12/17/2018,24.9,25.0,24.5,24.8,7880900
OSP,12/18/2018,24.8,24.8,24.3,24.4,8365800
OSP,12/19/2018,24.5,24.8,24.4,24.8,2617600
OSP,12/20/2018,24.8,24.8,24.3,24.5,3967900
OSP,12/21/2018,24.4,24.7,24.3,24.5,4215900
OSP,12/24/2018,24.5,24.6,24.3,24.4,3384800
OSP,12/25/2018,24.3,24.4,24.1,24.1,4608600
OSP,12/26/2018,24.2,24.3,24.1,24.1,1283100
OSP,12/27/2018,24.4,24.5,23.9,23.9,2680700
OSP,12/28/2018,24.0,24.5,23.9,24.5,4784800
OSP,1/2/2019,24.4,24.4,23.9,24.0,4525400
OSP,1/3/2019,24.2,24.7,23.9,24.0,8887400
OSP,1/4/2019,24.0,24.1,23.7,23.8,11349000
OSP,1/7/2019,23.9,24.1,23.7,23.8,3564900
OSP,1/8/2019,23.9,24.2,23.8,23.8,5433600
OSP,1/9/2019,23.9,24.4,23.9,24.1,7574000
OSP,1/10/2019,24.2,24.3,24.0,24.1,5037100
OSP,1/11/2019,24.2,24.4,24.0,24.4,4936400
OSP,1/14/2019,24.3,24.4,24.0,24.1,3394200
OSP,1/15/2019,24.2,24.2,24.0,24.0,2252700
OSP,1/16/2019,24.0,24.0,23.5,23.7,6093800
OSP,1/17/2019,23.8,23.9,23.6,23.7,1376500
OSP,1/18/2019,23.8,23.9,23.5,23.6,2201800
OSP,1/21/2019,23.6,23.7,23.3,23.3,2521000
OSP,1/22/2019,23.4,24.0,23.3,23.9,5811900
OSP,1/23/2019,23.8,24.3,23.7,24.2,6715200
OSP,1/24/2019,24.3,25.5,24.3,25.5,20294000
OSP,1/25/2019,25.5,25.5,25.0,25.5,12276600
OSP,1/28/2019,25.5,25.75,25.25,25.5,10306000
OSP,1/29/2019,25.5,25.75,25.0,25.25,7345900
OSP,1/30/2019,25.5,26.0,25.25,26.0,12604200
OSP,1/31/2019,26.25,27.0,26.0,26.5,18928700
OSP,2/1/2019,26.5,27.0,26.25,26.75,14253100
OSP,2/4/2019,26.75,26.75,26.0,26.5,3907700
OSP,2/5/2019,26.5,26.5,26.0,26.25,2068900
OSP,2/6/2019,26.25,26.5,26.0,26.25,4076700
OSP,2/7/2019,26.25,27.0,25.5,25.75,16106900
OSP,2/8/2019,25.25,26.0,25.0,25.75,8230300
OSP,2/11/2019,25.75,26.0,25.5,25.75,4547500
OSP,2/12/2019,25.75,25.75,25.25,25.5,4425700
OSP,2/13/2019,25.75,26.25,25.5,26.0,5069500
OSP,2/14/2019,26.25,26.5,26.0,26.5,4627600
OSP,2/15/2019,26.5,27.0,26.25,26.75,16177800
OSP,2/18/2019,26.75,27.0,26.25,26.5,3837900
OSP,2/20/2019,26.5,26.75,26.25,26.5,2748500
OSP,2/21/2019,26.5,27.75,26.5,27.25,33093400
OSP,2/22/2019,27.25,28.0,27.25,27.5,27051400
OSP,2/25/2019,27.75,27.75,27.5,27.5,4803700
OSP,2/26/2019,27.5,27.5,27.0,27.0,9251100
OSP,2/27/2019,27.0,27.5,27.0,27.25,3123100
OSP,2/28/2019,27.5,28.25,27.25,28.0,20892600
OSP,3/1/2019,28.25,28.25,27.5,28.0,13097900
OSP,3/4/2019,27.75,28.0,26.75,27.5,7638400
OSP,3/5/2019,27.25,27.75,27.25,27.75,5499200
OSP,3/6/2019,27.5,27.75,27.0,27.25,4607500
OSP,3/7/2019,27.25,27.75,27.0,27.75,3228800
OSP,3/8/2019,27.75,27.75,27.25,27.5,3562500
OSP,3/11/2019,27.5,27.75,27.0,27.25,4269300
OSP,3/12/2019,27.5,27.5,27.0,27.0,3809800
OSP,3/13/2019,27.0,27.5,26.25,27.5,6796600
OSP,3/14/2019,27.5,27.5,27.0,27.25,3992900
OSP,3/15/2019,27.25,27.25,26.5,26.75,3833400
OSP,3/18/2019,27.0,27.0,26.0,26.0,3397600
OSP,3/19/2019,26.25,27.0,26.0,26.75,2095200
OSP,3/20/2019,27.0,27.5,26.75,26.75,6392600
OSP,3/21/2019,27.0,27.75,27.0,27.25,11861300
OSP,3/22/2019,27.25,27.5,27.0,27.25,4596900
OSP,3/25/2019,27.0,27.25,26.5,26.75,2602800
OSP,3/26/2019,26.5,27.0,26.25,26.5,7299500
OSP,3/27/2019,26.75,26.75,26.25,26.5,3755800
OSP,3/28/2019,26.75,27.5,26.25,27.25,7178800
OSP,3/29/2019,27.25,27.75,27.25,27.5,5139500
OSP,4/1/2019,27.5,27.75,27.0,27.0,2645100
OSP,4/2/2019,27.25,27.75,27.25,27.5,4915100
OSP,4/3/2019,27.5,28.0,27.5,27.75,7298400
OSP,4/4/2019,28.0,29.0,27.75,28.75,30920800
OSP,4/5/2019,28.75,29.0,28.5,28.75,6475000
OSP,4/9/2019,28.5,29.5,28.5,29.0,14832900
OSP,4/10/2019,28.75,29.25,28.75,29.0,8437700
OSP,4/11/2019,29.0,29.5,29.0,29.25,7569300
OSP,4/12/2019,29.25,29.5,29.0,29.5,4665600
OSP,4/17/2019,29.5,29.5,29.0,29.25,9345700
OSP,4/18/2019,29.25,29.75,29.0,29.25,19850300
OSP,4/19/2019,29.25,29.5,28.25,28.5,9546200
OSP,4/22/2019,28.75,28.75,28.25,28.5,7121700
OSP,4/23/2019,28.5,29.5,28.5,29.0,11888500
OSP,4/24/2019,29.25,29.75,29.0,29.5,10973900
OSP,4/25/2019,29.75,30.25,29.5,30.0,24640500
OSP,4/26/2019,30.0,31.0,29.75,30.75,24378700
OSP,4/29/2019,30.5,31.0,30.25,30.75,15544800
OSP,4/30/2019,30.5,30.75,30.25,30.75,5903200
