Ticker,Date/Time,Open,High,Low,Close,Volume
PLANB,2/17/2015,5.0,5.25,4.4,4.78,1397014400
PLANB,2/18/2015,4.84,4.96,4.46,4.54,415959232
PLANB,2/19/2015,4.62,4.76,4.48,4.62,224863328
PLANB,2/20/2015,4.68,4.82,4.66,4.74,241706752
PLANB,2/23/2015,4.8,4.8,4.46,4.46,106190816
PLANB,2/24/2015,4.48,4.64,4.3,4.64,106720728
PLANB,2/25/2015,4.74,4.74,4.56,4.58,79392912
PLANB,2/26/2015,4.62,4.64,4.36,4.46,54404472
PLANB,2/27/2015,4.5,4.58,4.44,4.48,35267532
PLANB,3/2/2015,4.38,4.42,4.32,4.34,17295970
PLANB,3/3/2015,4.34,4.34,4.0,4.08,26020700
PLANB,3/5/2015,4.06,4.08,3.92,3.92,16019622
PLANB,3/6/2015,3.94,4.26,3.94,4.26,19442800
PLANB,3/9/2015,4.2,4.3,4.14,4.3,9250377
PLANB,3/10/2015,4.32,4.38,4.18,4.36,10359887
PLANB,3/11/2015,4.3,4.36,4.26,4.34,5909300
PLANB,3/12/2015,4.32,4.32,4.2,4.3,5352200
PLANB,3/13/2015,4.28,4.28,4.12,4.26,12910700
PLANB,3/16/2015,4.2,4.2,4.06,4.08,7046309
PLANB,3/17/2015,4.04,4.16,3.94,4.16,9780203
PLANB,3/18/2015,4.14,4.2,4.08,4.14,8608810
PLANB,3/19/2015,4.18,4.26,4.14,4.2,10999407
PLANB,3/20/2015,4.18,4.2,4.06,4.2,4815452
PLANB,3/23/2015,4.22,4.42,4.22,4.36,40414400
PLANB,3/24/2015,4.38,4.52,4.28,4.42,58463400
PLANB,3/25/2015,4.44,4.52,4.36,4.5,34601560
PLANB,3/26/2015,4.46,4.5,4.28,4.36,23010500
PLANB,3/27/2015,4.32,4.4,4.12,4.4,15049700
PLANB,3/30/2015,4.4,4.48,4.3,4.44,6630602
PLANB,3/31/2015,4.42,4.46,4.36,4.46,6112089
PLANB,4/1/2015,4.42,4.48,4.4,4.44,4670800
PLANB,4/2/2015,4.42,4.8,4.42,4.8,111371952
PLANB,4/3/2015,4.82,4.92,4.72,4.9,56749600
PLANB,4/7/2015,4.86,4.92,4.7,4.88,49594108
PLANB,4/8/2015,4.86,4.88,4.52,4.66,44992800
PLANB,4/9/2015,4.6,4.76,4.56,4.68,30855400
PLANB,4/10/2015,4.7,4.78,4.68,4.78,36134000
PLANB,4/16/2015,4.84,5.1,4.84,5.05,94092008
PLANB,4/17/2015,5.1,5.1,4.82,4.98,43947216
PLANB,4/20/2015,4.92,4.98,4.88,4.96,18523320
PLANB,4/21/2015,4.98,5.05,4.84,4.9,48405200
PLANB,4/22/2015,4.86,5.15,4.86,4.98,69056448
PLANB,4/23/2015,5.0,5.05,4.94,4.98,43639900
PLANB,4/24/2015,4.96,5.0,4.96,5.0,13466301
PLANB,4/27/2015,5.0,5.2,5.0,5.2,55103600
PLANB,4/28/2015,5.2,5.2,4.98,5.0,39261036
PLANB,4/29/2015,4.96,5.0,4.82,5.0,29913500
PLANB,4/30/2015,4.98,5.05,4.9,5.05,17915300
PLANB,5/6/2015,5.0,5.0,4.88,4.96,9312900
PLANB,5/7/2015,4.98,5.15,4.88,4.94,36273112
PLANB,5/8/2015,4.9,4.92,4.82,4.92,10065200
PLANB,5/11/2015,4.92,4.92,4.66,4.74,14309102
PLANB,5/12/2015,4.64,4.66,4.34,4.58,32277008
PLANB,5/13/2015,4.52,4.7,4.5,4.68,8825701
PLANB,5/14/2015,4.74,4.84,4.62,4.84,13411000
PLANB,5/15/2015,4.88,4.9,4.72,4.88,9035600
PLANB,5/18/2015,4.92,4.94,4.84,4.9,11504300
PLANB,5/19/2015,4.92,4.96,4.84,4.92,12803503
PLANB,5/20/2015,4.9,4.92,4.88,4.9,4328200
PLANB,5/21/2015,4.9,4.98,4.88,4.94,7390200
PLANB,5/22/2015,4.98,5.0,4.94,5.0,9660000
PLANB,5/25/2015,5.1,5.4,4.86,5.05,223294976
PLANB,5/26/2015,5.05,5.15,5.05,5.15,32308100
PLANB,5/27/2015,5.15,5.3,5.05,5.1,48250344
PLANB,5/28/2015,5.1,5.25,5.05,5.15,13365900
PLANB,5/29/2015,5.15,5.3,5.15,5.3,36119100
PLANB,6/2/2015,5.3,5.3,5.05,5.05,14562000
PLANB,6/3/2015,5.05,5.1,4.92,5.1,16684801
PLANB,6/4/2015,5.05,5.15,5.0,5.1,10628010
PLANB,6/5/2015,5.1,5.25,5.0,5.25,27401400
PLANB,6/8/2015,5.25,5.4,5.2,5.4,40220312
PLANB,6/9/2015,5.35,5.45,5.2,5.25,71841504
PLANB,6/10/2015,5.3,5.6,5.3,5.55,63079912
PLANB,6/11/2015,5.6,5.65,5.45,5.65,34393300
PLANB,6/12/2015,5.65,5.95,5.55,5.85,41110320
PLANB,6/15/2015,5.75,5.85,5.65,5.8,18801700
PLANB,6/16/2015,5.75,5.9,5.75,5.8,9961311
PLANB,6/17/2015,5.8,5.85,5.6,5.75,38113600
PLANB,6/18/2015,5.75,5.75,5.45,5.7,38879352
PLANB,6/19/2015,5.7,5.7,5.55,5.65,10984125
PLANB,6/22/2015,5.65,5.65,5.4,5.4,16138100
PLANB,6/23/2015,5.45,5.6,5.2,5.55,39623744
PLANB,6/24/2015,5.55,5.65,5.45,5.55,14250400
PLANB,6/25/2015,5.65,5.75,5.6,5.6,18687652
PLANB,6/26/2015,5.65,5.75,5.6,5.75,12694500
PLANB,6/29/2015,5.5,5.7,5.5,5.7,19283280
PLANB,6/30/2015,5.7,5.7,5.55,5.6,7908200
PLANB,7/2/2015,5.6,5.75,5.55,5.65,16502201
PLANB,7/3/2015,5.7,6.0,5.65,5.9,115702848
PLANB,7/6/2015,5.85,5.9,5.75,5.8,34987400
PLANB,7/7/2015,5.85,6.05,5.8,5.9,42556548
PLANB,7/8/2015,5.9,6.0,5.8,5.85,20176420
PLANB,7/9/2015,5.9,6.05,5.8,6.05,29511210
PLANB,7/10/2015,6.1,6.15,5.95,6.05,44528504
PLANB,7/13/2015,6.05,6.1,6.0,6.1,8296720
PLANB,7/14/2015,6.15,6.2,6.05,6.1,18514500
PLANB,7/15/2015,6.15,6.35,6.1,6.25,38006304
PLANB,7/16/2015,6.25,6.3,6.2,6.3,11729701
PLANB,7/17/2015,6.3,6.4,6.3,6.35,7891400
PLANB,7/20/2015,6.4,6.4,6.25,6.25,7803505
PLANB,7/21/2015,6.2,6.3,5.85,5.95,37945800
PLANB,7/22/2015,5.9,6.0,5.85,5.95,11400400
PLANB,7/23/2015,5.95,6.05,5.9,6.05,11183300
PLANB,7/24/2015,5.95,6.1,5.95,6.0,3777700
PLANB,7/27/2015,5.95,6.1,5.85,6.0,12978100
PLANB,7/28/2015,5.95,6.0,5.7,5.8,13098102
PLANB,7/29/2015,5.8,5.9,5.65,5.8,11345003
PLANB,7/31/2015,5.8,5.95,5.8,5.95,6342900
PLANB,8/3/2015,5.95,6.1,5.9,6.05,8829701
PLANB,8/4/2015,6.05,6.05,5.95,6.05,3750700
PLANB,8/5/2015,6.05,6.1,6.0,6.05,3831442
PLANB,8/6/2015,6.05,6.1,5.95,6.05,3743900
PLANB,8/7/2015,5.95,6.05,5.9,6.0,7253800
PLANB,8/10/2015,6.0,6.05,5.95,6.05,7184015
PLANB,8/11/2015,6.05,6.05,5.85,5.85,4962600
PLANB,8/13/2015,5.9,6.0,5.75,6.0,6218710
PLANB,8/14/2015,6.0,6.05,5.95,6.05,4047200
PLANB,8/17/2015,6.05,6.05,5.95,6.0,2357800
PLANB,8/18/2015,5.75,5.95,5.6,5.65,22597910
PLANB,8/19/2015,5.7,5.9,5.6,5.9,16735805
PLANB,8/20/2015,5.85,5.95,5.8,5.9,8307610
PLANB,8/21/2015,5.85,5.95,5.8,5.95,7893300
PLANB,8/24/2015,5.75,5.8,5.35,5.6,21901500
PLANB,8/25/2015,5.6,5.7,5.35,5.7,10810911
PLANB,8/26/2015,5.7,5.75,5.55,5.75,8785501
PLANB,8/27/2015,5.75,5.85,5.7,5.75,5644800
PLANB,8/28/2015,5.85,5.85,5.7,5.8,4864200
PLANB,8/31/2015,5.8,5.85,5.75,5.85,1070200
PLANB,9/1/2015,5.85,6.1,5.85,6.0,23630400
PLANB,9/2/2015,6.0,6.1,5.9,6.0,4626700
PLANB,9/3/2015,6.0,6.2,6.0,6.1,17714310
PLANB,9/4/2015,6.1,6.15,5.85,5.9,8431032
