Ticker,Date/Time,Open,High,Low,Close,Volume
PSH,12/1/2016,23.9,24.0,23.0,23.0,20095600
PSH,12/2/2016,22.8,23.0,22.4,22.4,5836400
PSH,12/6/2016,22.5,22.6,22.1,22.3,2882100
PSH,12/7/2016,22.3,23.1,22.3,23.0,10220000
PSH,12/8/2016,23.0,23.3,22.7,22.7,6168900
PSH,12/9/2016,22.8,22.9,22.4,22.5,4741500
PSH,12/13/2016,22.6,22.8,22.4,22.6,4789700
PSH,12/14/2016,22.6,22.8,22.4,22.4,4954900
PSH,12/15/2016,22.4,22.6,22.4,22.5,3101900
PSH,12/16/2016,22.5,22.6,22.2,22.2,7903900
PSH,12/19/2016,22.4,22.5,22.3,22.5,2789900
PSH,12/20/2016,22.6,22.6,22.3,22.5,2043700
PSH,12/21/2016,22.4,22.4,22.0,22.1,7219000
PSH,12/22/2016,22.1,22.2,21.8,21.8,8569200
PSH,12/23/2016,21.8,22.1,21.7,21.8,5089600
PSH,12/26/2016,21.8,21.9,21.3,21.3,9462300
PSH,12/27/2016,21.3,22.1,21.2,21.9,8882100
PSH,12/28/2016,21.9,22.2,21.9,22.1,2794900
PSH,12/29/2016,22.0,22.4,22.0,22.4,4890700
PSH,12/30/2016,22.4,22.6,22.3,22.5,5291200
PSH,1/4/2017,22.4,22.6,22.3,22.4,4773300
PSH,1/5/2017,22.4,22.7,22.3,22.6,7850100
PSH,1/6/2017,22.6,22.8,22.5,22.7,4408000
PSH,1/9/2017,22.8,23.2,22.7,23.1,7007400
PSH,1/10/2017,23.2,24.3,23.0,24.3,22311900
PSH,1/11/2017,24.1,24.7,24.0,24.3,12756100
PSH,1/12/2017,24.3,24.4,23.9,24.0,2878600
PSH,1/13/2017,24.0,24.0,23.6,23.9,4213000
PSH,1/16/2017,23.9,23.9,23.5,23.5,3564800
PSH,1/17/2017,23.5,23.9,23.5,23.6,4206500
PSH,1/18/2017,23.8,24.1,23.6,23.9,6746000
PSH,1/19/2017,23.9,24.1,23.8,24.0,5404300
PSH,1/20/2017,24.0,24.4,24.0,24.2,4933400
PSH,1/23/2017,24.4,24.6,24.2,24.6,3738600
PSH,1/24/2017,24.6,24.7,24.4,24.5,3301500
PSH,1/25/2017,24.5,24.5,24.4,24.4,1997800
PSH,1/26/2017,24.3,24.4,23.6,23.8,11615900
PSH,1/27/2017,23.9,23.9,23.7,23.7,2032300
PSH,1/30/2017,23.7,23.8,23.6,23.6,1812600
PSH,1/31/2017,23.5,23.5,23.2,23.3,6375700
PSH,2/1/2017,23.3,23.4,23.2,23.3,2960700
PSH,2/2/2017,23.3,23.5,23.3,23.4,2882700
PSH,2/3/2017,23.4,23.8,23.3,23.6,2732300
PSH,2/6/2017,23.7,23.7,23.3,23.4,2620200
PSH,2/7/2017,23.5,23.5,23.3,23.4,1570100
PSH,2/8/2017,23.3,23.4,23.2,23.3,1323000
PSH,2/9/2017,23.3,23.6,23.3,23.5,2964900
PSH,2/10/2017,23.5,23.5,23.3,23.3,3592400
PSH,2/14/2017,23.5,23.5,22.9,23.1,5873400
PSH,2/15/2017,23.2,23.2,22.8,23.0,3352400
PSH,2/16/2017,22.9,23.0,22.8,23.0,5629700
PSH,2/17/2017,22.5,22.7,22.2,22.3,16974800
PSH,2/20/2017,22.3,22.7,22.3,22.4,9085500
