Ticker,Date/Time,Open,High,Low,Close,Volume
PSL,9/16/1993,3.17,3.9,3.17,3.59,268367152
PSL,9/17/1993,3.63,3.94,3.61,3.94,126072560
PSL,9/20/1993,4.08,4.32,4.08,4.32,86963128
PSL,9/21/1993,4.48,4.6,4.2,4.24,84324208
PSL,9/22/1993,4.28,4.32,3.96,4.0,76099672
PSL,9/23/1993,4.12,4.4,3.96,4.4,75216672
PSL,9/24/1993,4.44,4.52,4.2,4.24,55104400
PSL,9/27/1993,4.2,4.36,4.04,4.08,27211612
PSL,9/28/1993,4.16,4.2,4.0,4.04,36384744
PSL,9/29/1993,4.04,4.04,3.94,4.04,27206566
PSL,9/30/1993,4.04,4.16,4.0,4.04,11267110
PSL,10/1/1993,4.08,4.4,4.08,4.36,32327982
PSL,10/4/1993,4.24,4.48,4.16,4.4,33049522
PSL,10/5/1993,4.48,4.48,4.24,4.24,20213188
PSL,10/6/1993,4.32,4.44,4.24,4.36,19365506
PSL,10/7/1993,4.36,4.76,4.32,4.6,66578384
PSL,10/8/1993,4.52,4.56,4.28,4.28,9723118
PSL,10/11/1993,4.4,4.4,4.2,4.24,4657207
PSL,10/12/1993,4.32,4.32,4.04,4.08,11675815
PSL,10/13/1993,4.16,4.28,4.08,4.2,8643331
PSL,10/14/1993,4.2,4.24,4.08,4.16,4112266
PSL,10/15/1993,4.16,4.2,4.12,4.12,5096185
PSL,10/18/1993,4.2,4.4,4.12,4.16,7765374
PSL,10/19/1993,4.24,4.24,4.16,4.2,1301795
PSL,10/20/1993,4.16,4.32,4.12,4.16,6044782
PSL,10/21/1993,4.24,4.24,4.08,4.24,6720908
PSL,10/22/1993,4.16,4.16,4.12,4.16,1806369
PSL,10/26/1993,4.12,4.16,4.04,4.08,2992116
PSL,10/27/1993,4.16,4.2,4.08,4.12,7553454
PSL,10/28/1993,4.16,4.32,4.12,4.28,21893416
PSL,10/29/1993,4.32,4.36,4.16,4.32,15485341
PSL,11/1/1993,4.52,4.72,4.52,4.72,51163684
PSL,11/2/1993,4.84,4.88,4.44,4.68,31833498
PSL,11/3/1993,4.56,4.56,4.24,4.24,14975722
PSL,11/4/1993,4.24,4.28,4.12,4.16,8870390
PSL,11/5/1993,4.24,4.28,4.12,4.2,3027435
PSL,11/8/1993,4.24,4.24,4.08,4.2,6342479
PSL,11/9/1993,4.2,4.2,4.08,4.08,8814886
PSL,11/10/1993,4.12,4.12,4.04,4.08,8527280
PSL,11/11/1993,4.16,4.24,4.12,4.12,7079154
PSL,11/12/1993,4.12,4.36,4.12,4.2,8093347
PSL,11/15/1993,4.28,4.28,4.08,4.12,4198043
PSL,11/16/1993,4.12,4.2,4.08,4.12,3451277
