Ticker,Date/Time,Open,High,Low,Close,Volume
PTG,5/30/2013,4.3,4.94,4.22,4.6,1223029888
PTG,5/31/2013,4.74,4.8,4.48,4.48,243752960
PTG,6/3/2013,4.46,4.82,4.44,4.78,292034880
PTG,6/4/2013,4.74,4.78,4.5,4.5,182129072
PTG,6/5/2013,4.52,4.6,4.3,4.32,96056624
PTG,6/6/2013,4.34,4.36,4.06,4.06,43974272
PTG,6/7/2013,4.1,4.28,4.06,4.18,56487136
PTG,6/10/2013,4.26,4.38,4.22,4.22,38570916
PTG,6/11/2013,4.24,4.24,3.98,4.0,33110500
PTG,6/12/2013,4.02,4.14,3.94,4.0,25388000
PTG,6/13/2013,3.88,3.92,3.76,3.8,22130960
PTG,6/14/2013,4.08,4.16,4.0,4.04,43910876
PTG,6/17/2013,4.08,4.14,4.0,4.04,18587620
PTG,6/18/2013,4.06,4.2,4.02,4.06,44963900
PTG,6/19/2013,4.12,4.14,4.04,4.1,18828500
PTG,6/20/2013,4.02,4.06,3.98,4.04,12279200
PTG,6/21/2013,3.98,4.02,3.9,4.02,11104809
PTG,6/24/2013,4.02,4.08,3.94,3.94,9635200
PTG,6/25/2013,4.0,4.02,3.9,3.98,13971600
PTG,6/26/2013,4.02,4.1,3.98,4.1,13979500
PTG,6/27/2013,4.14,4.2,4.04,4.08,24159000
PTG,6/28/2013,4.14,4.18,4.06,4.06,11011910
PTG,7/2/2013,4.1,4.12,4.04,4.06,5269317
PTG,7/3/2013,4.04,4.14,4.02,4.02,10043239
PTG,7/4/2013,4.06,4.08,4.0,4.02,4449200
PTG,7/5/2013,4.08,4.36,4.04,4.34,108659400
PTG,7/8/2013,4.28,4.48,4.28,4.28,87564408
PTG,7/9/2013,4.3,4.38,4.04,4.06,43491500
PTG,7/10/2013,4.12,4.12,3.98,4.04,18992408
PTG,7/11/2013,4.1,4.18,4.08,4.18,26252000
PTG,7/12/2013,4.18,4.2,4.1,4.12,12482253
PTG,7/15/2013,4.16,4.28,4.14,4.24,16965100
PTG,7/16/2013,4.22,4.24,4.18,4.22,10515600
PTG,7/17/2013,4.24,4.36,4.22,4.26,21853200
PTG,7/18/2013,4.28,4.32,4.26,4.28,8577401
PTG,7/19/2013,4.34,4.54,4.28,4.38,38124304
PTG,7/23/2013,4.4,4.46,4.38,4.38,8818116
PTG,7/24/2013,4.4,4.58,4.4,4.52,28712000
PTG,7/25/2013,4.5,4.5,4.22,4.22,17255100
PTG,7/26/2013,4.28,4.3,4.18,4.28,7568500
PTG,7/29/2013,4.28,4.28,4.2,4.2,2868300
PTG,7/30/2013,4.22,4.3,4.18,4.18,7093900
PTG,7/31/2013,4.22,4.22,4.06,4.1,9345300
PTG,8/1/2013,4.12,4.18,4.1,4.14,2869000
PTG,8/2/2013,4.18,4.18,4.08,4.08,4051500
PTG,8/5/2013,4.08,4.12,4.06,4.1,947300
PTG,8/6/2013,4.08,4.16,4.06,4.1,3793301
PTG,8/7/2013,4.08,4.14,4.08,4.08,1553200
PTG,8/8/2013,4.12,4.2,4.12,4.14,3521700
PTG,8/9/2013,4.18,4.26,4.14,4.26,6466600
PTG,8/13/2013,4.3,4.4,4.26,4.36,19808800
PTG,8/14/2013,4.36,4.38,4.2,4.2,14556600
PTG,8/15/2013,4.22,4.24,4.14,4.14,7354300
PTG,8/16/2013,4.14,4.18,4.12,4.16,3849800
PTG,8/19/2013,4.16,4.16,4.06,4.08,5064100
PTG,8/20/2013,4.06,4.06,3.94,3.98,10062201
PTG,8/21/2013,3.96,4.0,3.92,3.92,5983900
PTG,8/22/2013,3.9,3.9,3.76,3.86,7910500
PTG,8/23/2013,3.92,3.94,3.78,3.8,4180900
PTG,8/26/2013,3.82,3.84,3.54,3.54,13296960
PTG,8/27/2013,3.54,3.58,3.26,3.28,5363600
PTG,8/28/2013,3.2,3.48,3.16,3.4,3813500
PTG,8/29/2013,3.42,3.46,3.4,3.46,2609100
PTG,8/30/2013,3.46,3.46,3.34,3.4,2252400
PTG,9/2/2013,3.44,3.46,3.4,3.44,1337700
PTG,9/3/2013,3.44,3.48,3.4,3.4,2309900
PTG,9/4/2013,3.42,3.52,3.38,3.38,4710200
PTG,9/5/2013,3.42,3.48,3.4,3.44,1947500
PTG,9/6/2013,3.44,3.66,3.42,3.6,13768200
PTG,9/9/2013,3.68,3.84,3.64,3.76,14394200
PTG,9/10/2013,3.8,3.8,3.66,3.7,5013378
PTG,9/11/2013,3.7,3.74,3.66,3.72,1429100
PTG,9/12/2013,3.78,3.9,3.74,3.78,5334000
PTG,9/13/2013,3.78,3.8,3.74,3.74,1817700
PTG,9/16/2013,3.78,3.92,3.78,3.9,4082300
PTG,9/17/2013,3.84,4.04,3.84,4.04,14350600
PTG,9/18/2013,4.04,4.08,3.96,3.98,9569600
PTG,9/19/2013,4.06,4.16,4.04,4.16,10694200
PTG,9/20/2013,4.16,4.16,4.08,4.16,6427000
PTG,9/23/2013,4.14,4.14,4.04,4.04,6032941
PTG,9/24/2013,3.98,4.04,3.96,4.0,3238480
PTG,9/25/2013,4.0,4.04,3.98,4.04,2902400
PTG,9/26/2013,4.04,4.16,4.04,4.04,5760500
PTG,9/27/2013,4.06,4.08,4.02,4.02,1949800
PTG,9/30/2013,3.98,3.98,3.88,3.9,3006900
PTG,10/1/2013,3.94,4.18,3.92,4.04,18101300
PTG,10/2/2013,4.04,4.1,4.04,4.04,4607900
PTG,10/3/2013,4.08,4.1,4.04,4.04,5087500
PTG,10/4/2013,4.06,4.06,4.02,4.02,1997000
PTG,10/7/2013,4.04,4.06,4.0,4.0,2644600
PTG,10/8/2013,4.02,4.06,4.0,4.06,3286600
PTG,10/9/2013,4.1,4.1,4.0,4.0,3069400
PTG,10/10/2013,4.04,4.06,4.02,4.02,7251700
PTG,10/11/2013,4.06,4.12,4.04,4.04,8043245
PTG,10/14/2013,4.06,4.14,4.02,4.14,14994701
PTG,10/15/2013,4.18,4.24,4.12,4.14,30660400
PTG,10/16/2013,4.16,4.18,4.06,4.06,13208200
PTG,10/17/2013,4.12,4.12,4.06,4.08,10664100
PTG,10/18/2013,4.08,4.12,4.08,4.08,1519800
PTG,10/21/2013,4.12,4.12,3.98,4.02,6424800
PTG,10/22/2013,4.02,4.04,3.94,4.0,3068700
PTG,10/24/2013,4.04,4.04,3.98,4.0,2231300
PTG,10/25/2013,4.02,4.18,4.0,4.14,15885100
PTG,10/28/2013,4.16,4.2,4.08,4.08,10391602
PTG,10/29/2013,4.12,4.24,4.1,4.14,29235452
PTG,10/30/2013,4.18,4.18,4.02,4.02,8911801
PTG,10/31/2013,4.02,4.06,4.0,4.04,4429100
PTG,11/1/2013,4.02,4.02,3.94,3.98,6284301
PTG,11/4/2013,3.94,3.96,3.84,3.84,7276200
PTG,11/5/2013,3.88,3.96,3.86,3.94,3825500
PTG,11/6/2013,3.96,3.98,3.92,3.92,2982870
PTG,11/7/2013,3.94,3.96,3.9,3.92,2204800
PTG,11/8/2013,3.92,3.92,3.86,3.86,2130500
PTG,11/11/2013,3.76,3.78,3.58,3.76,8247200
PTG,11/12/2013,3.84,3.84,3.78,3.78,2772700
PTG,11/13/2013,3.78,3.82,3.78,3.8,1638800
PTG,11/14/2013,3.84,3.84,3.8,3.8,2630400
PTG,11/15/2013,3.82,3.84,3.78,3.8,1334000
PTG,11/18/2013,3.8,3.84,3.78,3.78,1080100
PTG,11/19/2013,3.8,3.8,3.7,3.72,2183800
PTG,11/20/2013,3.72,3.78,3.72,3.72,1006900
PTG,11/21/2013,3.74,3.74,3.64,3.64,2510400
PTG,11/22/2013,3.64,3.66,3.58,3.58,2415300
PTG,11/25/2013,3.56,3.56,3.5,3.52,1456902
PTG,11/26/2013,3.52,3.62,3.52,3.54,878300
PTG,11/27/2013,3.56,3.6,3.54,3.6,486700
PTG,11/28/2013,3.6,3.62,3.52,3.52,885600
PTG,11/29/2013,3.54,3.56,3.52,3.54,724200
PTG,12/2/2013,3.54,3.58,3.5,3.56,716501
PTG,12/3/2013,3.56,3.68,3.56,3.62,1180000
PTG,12/4/2013,3.66,3.7,3.6,3.6,1747500
PTG,12/6/2013,3.62,3.64,3.54,3.54,927800
PTG,12/9/2013,3.54,3.64,3.54,3.6,1380800
PTG,12/11/2013,3.6,3.62,3.58,3.58,516100
PTG,12/12/2013,3.58,3.66,3.56,3.56,1300400
PTG,12/13/2013,3.5,3.54,3.46,3.52,1939400
PTG,12/16/2013,3.52,3.52,3.42,3.44,1178200
PTG,12/17/2013,3.44,3.48,3.44,3.44,446000
PTG,12/18/2013,3.46,3.48,3.46,3.46,253300
PTG,12/19/2013,3.46,3.48,3.44,3.44,426000
PTG,12/20/2013,3.46,3.48,3.44,3.46,1470900
PTG,12/23/2013,3.46,3.48,3.44,3.44,12955500
PTG,12/24/2013,3.46,3.6,3.42,3.6,33573904
PTG,12/25/2013,3.6,3.86,3.6,3.86,40084708
PTG,12/26/2013,3.88,3.88,3.76,3.78,31724810
PTG,12/27/2013,3.8,3.84,3.72,3.72,29335200
PTG,1/2/2014,3.76,3.9,3.68,3.72,18681100
PTG,1/3/2014,3.68,3.72,3.64,3.64,3496610
PTG,1/6/2014,3.68,3.68,3.5,3.5,7176600
PTG,1/7/2014,3.5,3.58,3.5,3.56,4028100
PTG,1/8/2014,3.58,3.6,3.52,3.56,4965700
