Ticker,Date/Time,Open,High,Low,Close,Volume
SAWAD,5/8/2014,9.11,9.42,8.32,8.4,549052800
SAWAD,5/9/2014,8.63,8.87,8.08,8.08,115256640
SAWAD,5/12/2014,8.47,9.19,8.24,9.19,150805200
SAWAD,5/14/2014,9.42,11.64,9.42,11.64,387255552
SAWAD,5/15/2014,11.56,12.28,10.85,11.33,344735648
SAWAD,5/16/2014,11.56,11.64,10.77,10.93,157101088
SAWAD,5/19/2014,11.09,11.25,10.77,11.01,98815856
SAWAD,5/20/2014,10.85,11.01,10.61,10.77,82260840
SAWAD,5/21/2014,10.85,11.17,10.85,11.09,71128160
SAWAD,5/22/2014,11.25,11.56,11.01,11.09,145457040
SAWAD,5/23/2014,10.77,11.17,10.77,11.09,97277080
SAWAD,5/26/2014,11.25,11.88,11.01,11.8,222844432
SAWAD,5/27/2014,12.04,12.2,11.72,11.88,181359824
SAWAD,5/28/2014,11.96,12.04,11.17,11.17,120721432
SAWAD,5/29/2014,11.33,11.48,11.09,11.48,61068732
SAWAD,5/30/2014,11.72,11.8,11.4,11.48,69716504
SAWAD,6/2/2014,11.64,11.96,11.48,11.96,114684920
SAWAD,6/3/2014,12.36,13.31,12.04,13.07,237880944
SAWAD,6/4/2014,12.91,13.23,12.51,12.83,210990560
SAWAD,6/5/2014,12.91,13.07,12.51,12.67,114435744
SAWAD,6/6/2014,12.83,12.83,12.51,12.59,66292312
SAWAD,6/9/2014,12.67,12.99,12.67,12.83,111216320
SAWAD,6/10/2014,12.91,13.07,12.51,12.59,98568384
SAWAD,6/11/2014,12.75,12.75,12.36,12.36,43145720
SAWAD,6/12/2014,12.28,12.43,11.96,11.96,37600940
SAWAD,6/13/2014,12.04,12.51,11.8,12.51,66240936
SAWAD,6/16/2014,12.36,12.51,12.12,12.2,23803302
SAWAD,6/17/2014,12.28,12.43,12.04,12.12,22294084
SAWAD,6/18/2014,12.12,12.28,11.88,11.88,20446640
SAWAD,6/19/2014,11.96,12.12,11.8,11.88,14996264
SAWAD,6/20/2014,11.88,12.2,11.88,12.04,18219042
SAWAD,6/23/2014,12.12,12.43,12.04,12.28,44274272
SAWAD,6/24/2014,12.28,12.51,12.2,12.36,30444422
SAWAD,6/25/2014,12.51,12.83,12.43,12.67,74508328
SAWAD,6/26/2014,12.75,12.91,12.67,12.83,47757764
SAWAD,6/27/2014,12.91,12.91,12.67,12.67,21941412
SAWAD,6/30/2014,12.75,13.46,12.67,13.31,106971184
SAWAD,7/2/2014,13.38,14.02,13.23,14.02,117334064
SAWAD,7/3/2014,13.94,14.34,13.54,13.62,104066760
SAWAD,7/4/2014,13.7,13.86,13.46,13.46,71603232
SAWAD,7/7/2014,13.54,13.62,13.31,13.31,24045748
SAWAD,7/8/2014,13.31,13.86,13.23,13.7,37741656
SAWAD,7/9/2014,13.7,14.57,13.7,14.34,98911440
SAWAD,7/10/2014,14.34,14.41,14.1,14.26,36327468
SAWAD,7/14/2014,14.26,15.29,14.26,15.21,102790768
SAWAD,7/15/2014,15.29,16.08,14.97,15.6,143644544
SAWAD,7/16/2014,15.44,15.84,15.44,15.6,52167396
SAWAD,7/17/2014,15.68,17.19,15.52,17.11,108364248
SAWAD,7/18/2014,17.03,18.37,16.95,17.82,121236400
SAWAD,7/21/2014,18.29,18.29,17.74,17.82,42857956
