Ticker,Date/Time,Open,High,Low,Close,Volume
SCC,1/4/1984,3.45,3.45,3.45,3.45,10000
SCC,1/5/1984,3.47,3.47,3.47,3.47,50000
SCC,1/6/1984,3.47,3.47,3.47,3.47,400000
SCC,1/9/1984,3.47,3.47,3.47,3.47,40000
SCC,1/10/1984,3.47,3.47,3.47,3.47,140000
SCC,1/11/1984,3.47,3.53,3.47,3.53,530000
SCC,1/12/1984,3.53,3.53,3.51,3.51,120000
SCC,1/13/1984,3.51,3.55,3.51,3.55,200000
SCC,1/16/1984,3.53,3.53,3.51,3.51,480000
SCC,1/17/1984,3.49,3.49,3.49,3.49,1160000
SCC,1/18/1984,3.49,3.49,3.49,3.49,10000
SCC,1/19/1984,3.49,3.49,3.49,3.49,20000
SCC,1/20/1984,3.47,3.47,3.47,3.47,30000
SCC,1/23/1984,3.47,3.49,3.47,3.47,60000
SCC,1/24/1984,3.49,3.49,3.49,3.49,100000
SCC,1/25/1984,3.49,3.49,3.49,3.49,20000
SCC,1/26/1984,3.49,3.51,3.49,3.49,70000
SCC,1/27/1984,3.51,3.53,3.51,3.53,360000
SCC,1/30/1984,3.53,3.55,3.53,3.53,380000
SCC,1/31/1984,3.53,3.53,3.53,3.53,150000
SCC,2/1/1984,3.53,3.53,3.53,3.53,20000
SCC,2/2/1984,3.53,3.53,3.53,3.53,10000
SCC,2/3/1984,3.55,3.55,3.55,3.55,630000
SCC,2/6/1984,3.55,3.55,3.55,3.55,410000
SCC,2/7/1984,3.55,3.59,3.55,3.59,390000
SCC,2/8/1984,3.57,3.57,3.57,3.57,70000
SCC,2/9/1984,3.57,3.57,3.57,3.57,290000
SCC,2/10/1984,3.55,3.55,3.53,3.53,750000
SCC,2/14/1984,3.53,3.53,3.53,3.53,30000
SCC,2/15/1984,3.53,3.53,3.53,3.53,20000
SCC,2/17/1984,3.51,3.51,3.51,3.51,10000
SCC,2/20/1984,3.51,3.51,3.49,3.49,360000
SCC,2/21/1984,3.49,3.49,3.49,3.49,20000
SCC,2/22/1984,3.51,3.51,3.51,3.51,10000
SCC,2/23/1984,3.51,3.53,3.51,3.53,370000
SCC,2/24/1984,3.55,3.55,3.55,3.55,450000
SCC,2/27/1984,3.53,3.53,3.53,3.53,50000
SCC,2/28/1984,3.53,3.55,3.53,3.53,510000
SCC,2/29/1984,3.55,3.57,3.55,3.57,100000
SCC,3/1/1984,3.57,3.57,3.57,3.57,583800
SCC,3/2/1984,3.57,3.57,3.55,3.57,180000
SCC,3/5/1984,3.55,3.55,3.55,3.55,680000
SCC,3/6/1984,3.55,3.57,3.55,3.55,370000
SCC,3/7/1984,3.55,3.55,3.55,3.55,230000
SCC,3/8/1984,3.55,3.55,3.55,3.55,107600
SCC,3/9/1984,3.55,3.55,3.55,3.55,134600
SCC,3/14/1984,3.53,3.53,3.53,3.53,110000
SCC,3/15/1984,3.53,3.53,3.53,3.53,70000
SCC,3/19/1984,3.53,3.53,3.53,3.53,40000
SCC,3/21/1984,3.53,3.53,3.53,3.53,10000
SCC,3/22/1984,3.55,3.57,3.55,3.57,200000
SCC,3/23/1984,3.57,3.57,3.57,3.57,241500
SCC,3/26/1984,3.57,3.57,3.57,3.57,511000
SCC,3/27/1984,3.57,3.59,3.57,3.59,110000
SCC,3/28/1984,3.57,3.57,3.57,3.57,2241100
SCC,3/29/1984,3.59,3.59,3.59,3.59,480000
SCC,3/30/1984,3.59,3.59,3.57,3.59,18910000
SCC,4/2/1984,3.39,3.39,3.33,3.37,12021100
SCC,4/3/1984,3.37,3.43,3.37,3.43,690000
SCC,4/4/1984,3.43,3.45,3.43,3.45,660000
SCC,4/5/1984,3.45,3.49,3.45,3.49,460000
SCC,4/9/1984,3.49,3.51,3.49,3.49,90000
SCC,4/10/1984,3.53,3.53,3.53,3.53,507700
SCC,4/11/1984,3.55,3.57,3.55,3.57,240000
SCC,4/16/1984,3.65,3.73,3.65,3.73,270000
SCC,4/17/1984,3.73,3.75,3.69,3.69,190000
SCC,4/18/1984,3.69,3.69,3.65,3.65,160000
SCC,4/19/1984,3.67,3.69,3.67,3.69,760000
SCC,4/20/1984,3.69,3.79,3.69,3.79,622000
SCC,4/23/1984,3.81,3.89,3.81,3.89,1050000
SCC,4/24/1984,3.84,3.84,3.84,3.84,5000
SCC,4/25/1984,3.84,3.84,3.84,3.84,10000
SCC,4/26/1984,3.99,4.03,3.99,4.01,6119400
SCC,4/27/1984,4.01,4.01,4.01,4.01,150000
SCC,4/30/1984,3.99,3.99,3.99,3.99,340000
SCC,5/2/1984,3.99,4.01,3.99,4.01,1938700
SCC,5/3/1984,4.01,4.01,3.99,3.99,420000
SCC,5/8/1984,3.99,4.01,3.99,3.99,547000
SCC,5/9/1984,3.99,4.01,3.97,3.97,4560000
SCC,5/10/1984,3.97,3.97,3.97,3.97,150000
SCC,5/11/1984,3.97,3.97,3.97,3.97,40000
SCC,5/15/1984,3.99,3.99,3.99,3.99,713300
SCC,5/16/1984,3.99,4.01,3.97,4.01,1560000
SCC,5/17/1984,4.01,4.01,3.99,4.01,130000
SCC,5/18/1984,4.01,4.05,3.99,4.05,1465800
SCC,5/21/1984,4.03,4.03,4.03,4.03,820000
SCC,5/22/1984,4.03,4.03,4.01,4.03,543900
SCC,5/23/1984,4.03,4.05,4.03,4.05,2617600
SCC,5/24/1984,4.05,4.07,4.05,4.07,360000
SCC,5/25/1984,4.07,4.15,4.07,4.13,1534200
SCC,5/28/1984,4.13,4.13,4.11,4.11,370000
SCC,5/29/1984,4.11,4.11,4.11,4.11,60000
SCC,5/30/1984,4.17,4.23,4.17,4.17,14003000
SCC,5/31/1984,4.17,4.17,4.15,4.17,2075500
SCC,6/1/1984,4.15,4.15,4.13,4.13,5730000
SCC,6/4/1984,4.13,4.13,4.11,4.11,1080000
SCC,6/5/1984,4.13,4.13,4.13,4.13,1619500
SCC,6/6/1984,4.13,4.15,4.13,4.13,970000
SCC,6/7/1984,4.13,4.13,4.13,4.13,1060000
SCC,6/8/1984,4.15,4.17,4.15,4.15,1530000
SCC,6/11/1984,4.15,4.15,4.11,4.15,4400000
SCC,6/12/1984,4.17,4.23,4.17,4.23,12240000
SCC,6/13/1984,4.23,4.27,4.23,4.25,2260000
SCC,6/14/1984,4.25,4.27,4.21,4.21,4474900
SCC,6/15/1984,4.21,4.25,4.21,4.21,470500
SCC,6/18/1984,4.23,4.29,4.23,4.27,5650000
SCC,6/19/1984,4.25,4.25,4.23,4.23,680100
SCC,6/20/1984,4.23,4.23,4.21,4.23,423300
SCC,6/21/1984,4.23,4.23,4.21,4.21,164400
SCC,6/22/1984,4.23,4.23,4.23,4.23,587000
SCC,6/25/1984,4.23,4.27,4.23,4.25,6183800
SCC,6/26/1984,3.81,3.81,3.75,3.81,7760800
SCC,6/27/1984,3.81,3.83,3.79,3.83,3520000
SCC,6/28/1984,3.83,3.85,3.79,3.79,2510000
SCC,6/29/1984,3.79,3.81,3.79,3.81,2080000
SCC,7/2/1984,3.81,3.81,3.79,3.81,230000
SCC,7/3/1984,3.81,3.81,3.79,3.79,351600
SCC,7/4/1984,3.77,3.77,3.73,3.73,708100
SCC,7/5/1984,3.73,3.75,3.73,3.75,540000
SCC,7/6/1984,3.73,3.73,3.71,3.71,800000
SCC,7/9/1984,3.71,3.71,3.69,3.71,1830000
SCC,7/10/1984,3.71,3.73,3.71,3.73,1610000
SCC,7/11/1984,3.73,3.75,3.73,3.75,1900000
SCC,7/12/1984,3.77,3.79,3.77,3.77,1894800
SCC,7/16/1984,3.77,3.77,3.75,3.75,140000
SCC,7/17/1984,3.75,3.75,3.73,3.73,710000
SCC,7/18/1984,3.73,3.75,3.73,3.73,60000
SCC,7/19/1984,3.73,3.73,3.73,3.73,227300
SCC,7/20/1984,3.73,3.73,3.73,3.73,61700
SCC,7/23/1984,3.75,3.75,3.75,3.75,950000
SCC,7/24/1984,3.75,3.77,3.75,3.77,590000
SCC,7/25/1984,3.77,3.81,3.75,3.79,1210000
SCC,7/26/1984,3.77,3.77,3.77,3.77,1043800
SCC,7/27/1984,3.77,3.77,3.77,3.77,540000
SCC,7/30/1984,3.77,3.79,3.77,3.79,1091300
SCC,7/31/1984,3.79,3.79,3.79,3.79,890000
SCC,8/1/1984,3.79,3.81,3.79,3.81,2190000
SCC,8/2/1984,3.81,3.81,3.81,3.81,997600
SCC,8/3/1984,3.81,3.81,3.81,3.81,1160000
SCC,8/6/1984,3.81,3.81,3.81,3.81,500000
SCC,8/7/1984,3.81,3.81,3.81,3.81,800000
SCC,8/8/1984,3.81,3.81,3.81,3.81,280000
SCC,8/9/1984,3.83,3.83,3.83,3.83,970000
SCC,8/10/1984,3.85,3.85,3.85,3.85,190000
SCC,8/14/1984,3.85,3.95,3.85,3.91,1970000
SCC,8/15/1984,3.93,3.99,3.93,3.99,2550000
SCC,8/16/1984,3.99,4.01,3.99,4.01,5790000
SCC,8/17/1984,4.01,4.01,3.99,3.99,140000
SCC,8/20/1984,3.99,3.99,3.95,3.97,160000
SCC,8/21/1984,3.97,3.99,3.97,3.97,680000
SCC,8/22/1984,3.97,4.01,3.97,4.01,1292000
SCC,8/23/1984,4.01,4.03,4.01,4.03,1170000
SCC,8/24/1984,4.05,4.07,4.05,4.07,270000
SCC,8/27/1984,4.05,4.05,4.03,4.03,150000
SCC,8/28/1984,4.03,4.05,4.03,4.05,907300
SCC,8/30/1984,4.05,4.07,4.05,4.07,510000
SCC,8/31/1984,4.07,4.07,4.05,4.05,185000
SCC,9/3/1984,4.05,4.07,4.05,4.05,850000
SCC,9/4/1984,4.05,4.07,4.03,4.03,29332400
SCC,9/5/1984,3.87,3.87,3.77,3.87,33002400
SCC,9/6/1984,3.85,3.85,3.85,3.85,1472700
SCC,9/7/1984,3.85,3.85,3.85,3.85,100000
SCC,9/10/1984,3.85,3.87,3.85,3.87,498300
SCC,9/11/1984,3.89,3.89,3.89,3.89,200000
