Ticker,Date/Time,Open,High,Low,Close,Volume
SPALI,11/17/1993,21.84,23.14,19.62,19.81,67964928
SPALI,11/18/1993,19.44,21.66,19.25,21.66,28185128
SPALI,11/19/1993,22.58,23.7,22.4,23.51,42338576
SPALI,11/22/1993,23.51,23.7,21.29,21.29,26751016
SPALI,11/23/1993,21.1,22.03,20.18,21.1,18481870
SPALI,11/24/1993,21.84,23.14,21.66,23.14,26978972
SPALI,11/25/1993,23.33,24.07,22.58,22.58,27637998
SPALI,11/26/1993,22.96,23.14,21.29,21.47,9057812
SPALI,11/29/1993,21.47,21.84,21.1,21.66,7401607
SPALI,11/30/1993,21.66,22.58,21.47,22.03,7247114
SPALI,12/1/1993,22.4,22.77,21.84,22.21,7144479
SPALI,12/2/1993,22.4,22.58,21.47,21.66,4387378
SPALI,12/3/1993,21.84,22.03,21.29,21.66,3194651
SPALI,12/7/1993,21.66,22.77,21.66,22.58,8402029
SPALI,12/8/1993,23.33,24.81,22.96,23.88,36957260
SPALI,12/9/1993,24.25,25.18,24.25,24.81,24874412
SPALI,12/13/1993,25.55,25.55,23.88,23.88,10091369
SPALI,12/14/1993,23.88,24.07,22.96,23.14,4552674
SPALI,12/15/1993,23.14,24.81,23.14,24.44,7324901
SPALI,12/16/1993,24.99,24.99,23.88,23.88,6491937
SPALI,12/17/1993,24.07,25.92,24.07,25.55,8514387
SPALI,12/20/1993,25.92,26.29,24.81,24.81,7249275
SPALI,12/21/1993,24.99,25.36,24.81,24.99,3769407
SPALI,12/22/1993,25.18,26.66,25.18,26.29,6038182
SPALI,12/23/1993,26.66,26.84,25.92,26.29,2932121
SPALI,12/24/1993,26.47,28.88,26.47,28.88,11642055
SPALI,12/27/1993,29.62,30.92,29.62,29.8,7350938
SPALI,12/28/1993,30.36,30.73,29.43,30.73,4528906
SPALI,12/29/1993,31.1,31.1,30.17,30.55,3063926
SPALI,12/30/1993,30.55,30.55,29.8,30.17,1138708
SPALI,1/4/1994,30.92,33.14,30.92,33.14,4427351
SPALI,1/5/1994,34.25,34.25,30.73,31.66,5089618
SPALI,1/6/1994,31.84,34.8,31.66,33.88,7673860
SPALI,1/7/1994,34.06,34.06,30.55,32.4,5884769
SPALI,1/10/1994,32.4,32.95,30.55,31.29,2159657
SPALI,1/11/1994,31.47,33.32,31.47,32.03,2893227
SPALI,1/12/1994,32.4,32.4,28.88,29.06,3889328
SPALI,1/13/1994,26.47,28.32,26.29,28.14,3297286
SPALI,1/14/1994,28.88,29.43,27.77,29.43,2127246
SPALI,1/17/1994,29.62,29.62,28.14,28.69,1042555
SPALI,1/18/1994,27.77,28.69,27.58,28.69,978814
SPALI,1/19/1994,28.51,28.88,27.58,27.95,905349
SPALI,1/20/1994,27.95,27.95,25.73,26.84,917233
SPALI,1/21/1994,26.84,27.21,26.29,27.21,544505
SPALI,1/24/1994,27.4,28.51,27.4,28.32,879420
SPALI,1/25/1994,28.69,29.06,27.4,27.77,1910092
SPALI,1/26/1994,27.58,27.77,27.4,27.77,406218
SPALI,1/27/1994,27.77,28.32,27.58,27.77,1512516
SPALI,1/28/1994,27.95,29.25,27.77,28.51,3249749
SPALI,1/31/1994,28.69,28.69,27.77,27.95,871857
SPALI,2/1/1994,28.14,28.14,27.21,27.4,1031752
SPALI,2/2/1994,27.4,28.14,26.84,27.58,4363610
SPALI,2/3/1994,27.4,27.77,27.4,27.58,520737
SPALI,2/4/1994,27.21,27.21,26.47,26.66,1375309
SPALI,2/7/1994,24.25,25.36,24.07,24.07,3204374
SPALI,2/8/1994,24.07,24.81,23.51,24.81,1370988
SPALI,2/9/1994,24.81,25.55,24.81,25.55,666587
SPALI,2/10/1994,25.36,26.1,24.99,26.1,1306166
SPALI,2/11/1994,25.36,25.73,25.36,25.73,308985
SPALI,2/14/1994,25.18,26.84,25.18,26.47,433227
SPALI,2/15/1994,26.47,26.47,26.1,26.29,113438
SPALI,2/16/1994,26.29,26.66,25.92,26.66,778945
SPALI,2/17/1994,26.66,27.03,26.47,27.03,1728590
SPALI,2/18/1994,27.03,27.03,26.66,27.03,455915
SPALI,2/21/1994,27.03,27.03,26.47,26.66,937760
SPALI,2/22/1994,26.66,26.66,26.1,26.66,135046
SPALI,2/23/1994,26.84,26.84,26.29,26.66,515335
SPALI,2/24/1994,26.29,26.29,25.18,25.73,1413122
SPALI,2/28/1994,23.7,24.99,23.7,24.07,1817180
SPALI,3/1/1994,24.25,24.25,22.96,23.51,1850671
