Ticker,Date/Time,Open,High,Low,Close,Volume
STEC,8/31/1992,11.82,13.45,11.82,12.91,57842296
STEC,9/1/1992,13.14,14.0,13.07,13.92,66205224
STEC,9/2/1992,14.15,14.93,14.08,14.78,46506568
STEC,9/3/1992,15.01,15.32,14.62,14.7,32280334
STEC,9/4/1992,14.78,15.01,14.23,14.39,10093632
STEC,9/7/1992,14.39,15.01,14.31,14.85,7181265
STEC,9/8/1992,15.09,15.32,14.39,14.7,6494641
STEC,9/9/1992,14.93,15.01,14.47,14.47,8695953
STEC,9/10/1992,14.78,14.93,14.39,14.62,6625794
STEC,9/11/1992,14.78,15.09,14.62,14.7,7505290
STEC,9/14/1992,15.01,15.71,15.01,15.71,17134744
STEC,9/15/1992,15.87,16.18,15.55,15.55,17978238
STEC,9/16/1992,15.87,16.33,15.71,16.02,14488541
STEC,9/17/1992,16.02,16.33,15.87,16.18,10884407
STEC,9/18/1992,16.18,16.33,15.87,16.18,4555635
STEC,9/21/1992,16.64,17.42,16.33,16.8,23365794
STEC,9/22/1992,16.95,17.11,16.33,16.49,6035606
STEC,9/23/1992,16.33,16.8,16.18,16.64,2103590
STEC,9/24/1992,16.8,17.11,16.18,16.33,2220599
STEC,9/25/1992,16.33,16.33,15.87,16.33,1542975
STEC,9/28/1992,16.64,16.8,16.18,16.33,2399327
STEC,9/29/1992,16.33,16.33,15.71,16.02,810062
STEC,9/30/1992,16.02,16.02,15.48,15.55,977217
STEC,10/1/1992,15.48,16.02,15.48,15.87,793346
STEC,10/2/1992,15.71,16.18,15.71,16.02,667336
STEC,10/5/1992,16.02,16.8,15.87,16.02,2248887
STEC,10/6/1992,15.87,16.02,15.55,15.55,920642
STEC,10/7/1992,15.55,16.02,15.55,15.71,486037
STEC,10/8/1992,15.71,16.02,15.55,15.55,685338
STEC,10/9/1992,15.71,15.87,15.48,15.55,663479
STEC,10/12/1992,15.55,15.71,15.24,15.4,468035
STEC,10/13/1992,15.4,15.4,14.85,14.85,299594
STEC,10/14/1992,15.09,15.48,15.09,15.48,551613
STEC,10/15/1992,15.55,15.71,15.09,15.32,714912
STEC,10/16/1992,15.48,15.55,15.09,15.32,522040
STEC,10/19/1992,15.55,15.71,15.01,15.01,795918
STEC,10/20/1992,15.24,15.4,15.09,15.32,1500543
STEC,10/21/1992,15.32,15.87,15.32,15.87,2704064
STEC,10/22/1992,15.71,16.18,15.4,15.87,1168804
STEC,10/26/1992,15.87,16.18,15.55,15.87,1596979
STEC,10/27/1992,15.87,16.02,15.71,15.87,2009725
STEC,10/28/1992,15.87,16.18,15.48,15.55,642906
STEC,10/29/1992,15.55,15.71,15.4,15.55,448748
STEC,10/30/1992,15.71,16.64,15.71,16.18,5546997
STEC,11/2/1992,16.18,16.64,15.71,16.33,2818502
STEC,11/3/1992,16.18,16.49,15.87,16.49,2300319
STEC,11/4/1992,16.49,16.49,15.87,15.87,520754
STEC,11/5/1992,16.02,16.64,16.02,16.18,4304902
STEC,11/6/1992,16.33,16.49,15.71,16.02,1172661
STEC,11/9/1992,16.33,16.49,15.71,15.71,480894
STEC,11/10/1992,15.87,16.18,15.55,15.71,470607
STEC,11/11/1992,15.71,16.33,15.71,16.18,1293527
STEC,11/12/1992,16.02,16.49,16.02,16.33,1906860
STEC,11/13/1992,16.18,16.64,16.18,16.49,13566613
STEC,11/16/1992,16.49,16.64,16.18,16.18,2335036
STEC,11/17/1992,16.02,16.33,16.02,16.33,784345
STEC,11/18/1992,16.18,16.49,15.4,16.02,1193234
STEC,11/19/1992,16.18,16.18,15.48,15.87,1742276
STEC,11/20/1992,15.71,16.02,15.09,16.02,1087797
STEC,11/23/1992,15.87,16.02,15.55,15.87,205730
STEC,11/24/1992,15.87,16.18,15.55,16.18,963073
STEC,11/25/1992,16.02,16.18,15.87,16.18,855065
STEC,11/26/1992,16.02,16.49,16.02,16.49,734199
STEC,11/27/1992,16.49,17.27,16.49,17.11,4222610
STEC,11/30/1992,17.27,17.73,17.27,17.58,1458111
STEC,12/1/1992,17.58,17.73,17.42,17.73,694339
STEC,12/2/1992,17.89,19.44,17.73,19.44,3454979
STEC,12/3/1992,19.6,20.07,18.51,18.67,2058586
STEC,12/4/1992,18.82,18.98,18.04,18.82,808776
STEC,12/8/1992,18.82,19.13,18.51,18.67,417889
STEC,12/9/1992,18.67,18.98,18.35,18.98,479608
STEC,12/11/1992,18.98,19.44,18.82,19.29,1267811
STEC,12/14/1992,19.29,19.44,18.82,18.82,695624
STEC,12/15/1992,18.98,19.29,18.82,19.13,266163
STEC,12/16/1992,18.98,19.13,18.67,19.13,208301
STEC,12/17/1992,18.98,19.13,18.67,19.13,470607
STEC,12/18/1992,19.13,19.29,18.82,19.29,366456
STEC,12/21/1992,19.29,19.91,19.29,19.91,2290033
STEC,12/22/1992,19.91,19.91,19.6,19.75,219874
STEC,12/23/1992,19.6,19.91,19.44,19.91,376743
STEC,12/24/1992,19.91,20.53,19.75,20.53,1218950
STEC,12/25/1992,20.69,20.84,20.38,20.69,306023
STEC,12/28/1992,20.69,21.15,20.69,21.0,1050509
STEC,12/29/1992,20.69,21.15,20.53,20.69,433318
STEC,12/30/1992,20.84,21.15,20.69,21.0,207015
STEC,1/4/1993,21.15,21.31,20.69,21.0,227588
STEC,1/5/1993,20.69,21.0,20.69,21.0,164584
STEC,1/6/1993,21.0,22.09,21.0,21.47,623619
STEC,1/7/1993,21.47,21.78,21.0,21.15,336883
STEC,1/8/1993,21.31,21.47,21.0,21.31,304737
STEC,1/11/1993,21.47,21.47,21.15,21.15,66862
STEC,1/12/1993,21.15,21.15,20.53,20.84,410174
STEC,1/13/1993,20.69,21.0,20.22,20.69,489894
STEC,1/14/1993,20.53,20.84,20.22,20.84,354884
STEC,1/15/1993,20.69,20.84,20.38,20.84,264877
STEC,1/18/1993,20.84,21.0,20.53,20.84,55289
STEC,1/19/1993,20.69,20.69,20.22,20.38,248161
STEC,1/20/1993,20.38,21.0,20.22,20.22,208301
STEC,1/21/1993,20.53,20.84,19.75,19.91,300880
STEC,1/22/1993,20.07,20.84,20.07,20.84,1153374
STEC,1/25/1993,20.84,21.62,20.84,21.62,550327
STEC,1/26/1993,21.31,21.62,19.91,20.84,1004219
STEC,1/27/1993,20.84,21.62,18.98,20.07,1155945
STEC,1/28/1993,20.22,20.69,19.75,20.22,171013
STEC,1/29/1993,20.07,20.53,20.07,20.53,105436
STEC,2/1/1993,20.53,20.53,19.13,19.6,586330
STEC,2/2/1993,19.6,19.75,18.98,19.29,1238237
STEC,2/3/1993,19.44,19.6,18.98,19.44,898783
STEC,2/4/1993,19.44,19.6,18.82,18.98,1096798
STEC,2/5/1993,18.98,19.44,18.98,19.44,349741
STEC,2/8/1993,19.44,19.75,19.29,19.44,214730
STEC,2/9/1993,19.44,19.6,19.13,19.44,92578
STEC,2/10/1993,19.44,19.75,18.98,19.44,192871
STEC,2/11/1993,19.29,19.75,19.29,19.29,542613
STEC,2/12/1993,19.29,19.91,19.29,19.91,797204
STEC,2/15/1993,19.91,21.0,19.91,21.0,1948006
STEC,2/16/1993,21.0,21.0,20.53,20.69,1560977
STEC,2/17/1993,20.53,20.84,20.53,20.69,1040222
STEC,2/18/1993,20.69,21.47,20.22,20.69,925785
STEC,2/19/1993,20.53,20.69,19.44,19.6,606903
STEC,2/22/1993,19.91,20.53,19.6,19.75,68148
STEC,2/23/1993,19.75,20.22,19.29,19.91,435890
STEC,2/24/1993,19.75,20.38,19.6,20.07,155583
STEC,2/25/1993,19.91,20.53,19.29,19.44,585044
STEC,2/26/1993,19.44,19.75,19.29,19.44,57861
STEC,3/1/1993,19.44,19.44,18.82,19.13,205730
STEC,3/2/1993,19.13,19.13,18.82,18.98,38574
STEC,3/3/1993,18.98,19.29,18.51,18.98,222445
STEC,3/4/1993,19.13,19.13,18.67,18.98,228874
STEC,3/5/1993,18.82,19.13,18.82,19.13,261020
STEC,3/9/1993,19.13,19.44,18.98,19.13,165869
STEC,3/10/1993,19.13,19.13,18.82,18.98,213444
STEC,3/11/1993,18.98,19.44,18.82,18.98,245590
STEC,3/12/1993,19.13,19.13,18.67,18.98,118294
STEC,3/15/1993,18.82,18.82,18.35,18.35,81006
STEC,3/16/1993,18.35,18.82,17.73,17.73,95150
STEC,3/17/1993,17.89,18.2,17.89,18.04,808776
STEC,3/18/1993,18.04,18.2,18.04,18.2,10286
STEC,3/19/1993,18.2,19.44,18.2,19.13,253305
