Ticker,Date/Time,Open,High,Low,Close,Volume
STPI,5/14/1996,1.13,1.25,1.12,1.23,230836512
STPI,5/15/1996,1.25,1.25,1.19,1.24,80768016
STPI,5/16/1996,1.24,1.24,1.12,1.15,28602884
STPI,5/17/1996,1.12,1.13,1.06,1.13,33657664
STPI,5/20/1996,1.12,1.15,1.09,1.1,6898453
STPI,5/21/1996,1.11,1.11,1.01,1.06,24283690
STPI,5/22/1996,1.06,1.08,1.0,1.07,34930788
STPI,5/23/1996,1.06,1.15,1.06,1.15,49713188
STPI,5/24/1996,1.17,1.19,1.16,1.19,27810718
STPI,5/27/1996,1.18,1.21,1.16,1.16,12066400
STPI,5/28/1996,1.17,1.21,1.17,1.21,30144780
STPI,5/29/1996,1.2,1.3,1.2,1.3,186998544
STPI,5/30/1996,1.3,1.34,1.26,1.26,100279840
STPI,6/3/1996,1.26,1.26,1.21,1.21,24981552
STPI,6/4/1996,1.21,1.21,1.17,1.19,17701160
STPI,6/5/1996,1.2,1.22,1.18,1.19,11255372
STPI,6/6/1996,1.18,1.2,1.17,1.19,5875237
STPI,6/7/1996,1.19,1.21,1.18,1.19,5323550
STPI,6/11/1996,1.17,1.17,1.1,1.1,9279669
STPI,6/12/1996,1.08,1.11,1.06,1.1,7714196
STPI,6/13/1996,1.09,1.13,1.06,1.12,3649625
STPI,6/14/1996,1.12,1.16,1.1,1.15,5771501
STPI,6/17/1996,1.12,1.12,1.09,1.12,1697500
STPI,6/18/1996,1.11,1.17,1.11,1.16,6342051
STPI,6/19/1996,1.16,1.17,1.11,1.12,4366348
STPI,6/20/1996,1.12,1.17,1.12,1.12,5856376
STPI,6/21/1996,1.12,1.12,1.07,1.1,4338056
STPI,6/24/1996,1.08,1.09,1.06,1.09,2734862
STPI,6/25/1996,1.08,1.08,1.05,1.05,2329347
STPI,6/26/1996,1.06,1.09,1.04,1.08,10599947
STPI,6/27/1996,1.06,1.06,1.05,1.05,4059855
STPI,6/28/1996,1.05,1.06,1.04,1.04,1683354
STPI,7/2/1996,1.04,1.04,1.0,1.0,3017778
STPI,7/3/1996,1.0,1.04,1.0,1.02,4319195
STPI,7/4/1996,1.02,1.04,1.02,1.03,4842592
STPI,7/5/1996,1.03,1.03,1.01,1.01,1692784
STPI,7/8/1996,1.0,1.01,0.98,0.98,2022854
STPI,7/9/1996,0.95,0.98,0.94,0.97,2890465
STPI,7/10/1996,0.98,0.98,0.96,0.96,513964
STPI,7/11/1996,0.95,0.99,0.95,0.97,6903168
STPI,7/12/1996,0.96,0.97,0.94,0.96,2621694
STPI,7/15/1996,0.95,0.95,0.92,0.92,1183534
STPI,7/16/1996,0.91,0.93,0.9,0.92,2084153
STPI,7/17/1996,0.93,0.93,0.89,0.92,2202034
STPI,7/18/1996,0.91,0.92,0.9,0.9,669569
STPI,7/19/1996,0.9,0.91,0.89,0.91,1249548
STPI,7/22/1996,0.89,0.91,0.82,0.89,2631125
STPI,7/23/1996,0.88,0.89,0.85,0.89,523395
STPI,7/24/1996,0.85,0.85,0.8,0.81,6521231
STPI,7/25/1996,0.74,0.74,0.73,0.73,3890105
STPI,7/26/1996,0.67,0.69,0.66,0.67,4852022
STPI,7/29/1996,0.64,0.68,0.64,0.65,1287271
STPI,7/31/1996,0.64,0.65,0.59,0.62,2475521
STPI,8/1/1996,0.63,0.64,0.62,0.64,2202034
STPI,8/2/1996,0.63,0.7,0.63,0.7,8091418
STPI,8/5/1996,0.76,0.77,0.74,0.77,6851301
STPI,8/6/1996,0.78,0.78,0.73,0.73,3923112
STPI,8/7/1996,0.73,0.8,0.73,0.8,10298170
STPI,8/8/1996,0.82,0.83,0.78,0.79,6959752
STPI,8/9/1996,0.75,0.76,0.74,0.76,1626771
STPI,8/13/1996,0.75,0.76,0.74,0.75,1471166
STPI,8/14/1996,0.74,0.74,0.7,0.73,2480236
STPI,8/15/1996,0.75,0.77,0.74,0.75,3211104
STPI,8/16/1996,0.75,0.75,0.73,0.73,1056222
STPI,8/19/1996,0.74,0.74,0.73,0.74,1353285
STPI,8/20/1996,0.73,0.74,0.72,0.74,598840
STPI,8/21/1996,0.75,0.76,0.74,0.75,480957
STPI,8/22/1996,0.75,0.75,0.74,0.74,650707
STPI,8/23/1996,0.74,0.77,0.74,0.75,2810306
STPI,8/26/1996,0.74,0.75,0.73,0.74,1192965
STPI,8/27/1996,0.74,0.74,0.73,0.73,877041
STPI,8/28/1996,0.74,0.74,0.73,0.73,990208
STPI,8/29/1996,0.74,0.74,0.73,0.73,1801236
STPI,8/30/1996,0.72,0.74,0.71,0.73,330068
