Ticker,Date/Time,Open,High,Low,Close,Volume
TASCO,3/1/1991,1.66,2.03,1.43,1.66,33643400
TASCO,3/4/1991,1.66,1.78,1.59,1.63,19460110
TASCO,3/5/1991,1.63,1.66,1.48,1.63,15383780
TASCO,3/6/1991,1.63,1.79,1.62,1.79,25797920
TASCO,3/7/1991,1.79,1.96,1.78,1.96,26021250
TASCO,3/8/1991,1.96,2.03,1.88,1.98,30013800
TASCO,3/11/1991,1.98,2.16,1.92,2.13,22196230
TASCO,3/12/1991,2.13,2.26,2.11,2.23,24757880
TASCO,3/13/1991,2.23,2.38,2.22,2.36,31298130
TASCO,3/14/1991,2.41,2.51,2.41,2.45,24478680
TASCO,3/15/1991,2.45,2.56,2.36,2.44,17722080
TASCO,3/18/1991,2.44,2.45,2.26,2.32,11684390
TASCO,3/19/1991,2.32,2.35,2.22,2.26,10427980
TASCO,3/20/1991,2.23,2.23,2.12,2.18,5535020
TASCO,3/21/1991,2.22,2.31,2.22,2.28,10448940
TASCO,3/22/1991,2.29,2.46,2.29,2.44,22245090
TASCO,3/25/1991,2.44,2.51,2.29,2.36,13513160
TASCO,3/26/1991,2.29,2.29,2.23,2.26,4173900
TASCO,3/27/1991,2.26,2.32,2.18,2.22,6421460
TASCO,3/28/1991,2.22,2.26,2.19,2.23,2784900
TASCO,3/29/1991,2.23,2.26,2.18,2.21,23655060
TASCO,4/1/1991,2.21,2.29,2.19,2.21,3140880
TASCO,4/2/1991,2.21,2.22,2.18,2.21,1172550
TASCO,4/3/1991,2.21,2.22,2.19,2.19,1507560
TASCO,4/4/1991,2.19,2.28,2.18,2.26,4090160
TASCO,4/5/1991,2.26,2.34,2.23,2.28,5891000
TASCO,4/9/1991,2.28,2.34,2.18,2.26,3859830
TASCO,4/10/1991,2.26,2.29,2.21,2.21,2540600
TASCO,4/11/1991,2.21,2.25,2.18,2.19,2058990
TASCO,4/15/1991,2.19,2.22,2.18,2.19,2387070
TASCO,4/16/1991,2.19,2.22,2.18,2.18,1989210
TASCO,4/17/1991,2.18,2.19,2.15,2.15,1591340
