Ticker,Date/Time,Open,High,Low,Close,Volume
TCAP,1/6/1984,0.98,0.98,0.98,0.98,6209
TCAP,1/10/1984,0.98,1.01,0.98,1.01,24848
TCAP,1/11/1984,1.03,1.03,1.03,1.03,12423
TCAP,1/12/1984,1.03,1.03,1.03,1.03,31059
TCAP,1/13/1984,1.06,1.06,1.06,1.06,12423
TCAP,1/16/1984,1.09,1.09,1.09,1.09,24848
TCAP,3/1/1984,1.0,1.0,0.97,0.97,62123
TCAP,3/2/1984,0.95,0.95,0.95,0.95,12423
TCAP,3/8/1984,0.93,0.93,0.93,0.93,18634
TCAP,3/12/1984,0.93,0.93,0.93,0.93,155313
TCAP,3/13/1984,0.97,0.97,0.97,0.97,186377
TCAP,3/14/1984,0.97,0.97,0.97,0.97,74547
TCAP,3/15/1984,0.97,0.97,0.97,0.97,93186
TCAP,3/16/1984,0.97,0.97,0.93,0.97,161524
TCAP,3/22/1984,0.97,0.97,0.93,0.93,62123
TCAP,3/27/1984,0.97,0.97,0.97,0.97,31059
TCAP,3/29/1984,0.97,0.97,0.97,0.97,62123
TCAP,4/2/1984,0.97,0.97,0.97,0.97,77656
TCAP,4/5/1984,0.93,0.93,0.93,0.93,12423
TCAP,4/11/1984,0.9,0.9,0.9,0.9,43487
TCAP,4/20/1984,0.9,0.9,0.9,0.9,18634
TCAP,4/24/1984,0.89,0.89,0.89,0.89,31059
TCAP,4/25/1984,0.87,0.87,0.87,0.87,6209
TCAP,4/27/1984,0.89,0.89,0.89,0.89,80761
TCAP,5/2/1984,0.89,0.9,0.89,0.9,99400
TCAP,5/3/1984,0.9,0.9,0.88,0.9,80761
TCAP,5/4/1984,0.89,0.89,0.87,0.89,49698
TCAP,5/9/1984,0.89,0.89,0.87,0.89,49698
TCAP,5/15/1984,0.89,0.89,0.89,0.89,6209
TCAP,5/18/1984,0.85,0.85,0.85,0.85,6209
TCAP,5/22/1984,0.84,0.84,0.84,0.84,12423
TCAP,5/30/1984,0.87,0.87,0.87,0.87,12423
TCAP,5/31/1984,0.9,0.9,0.9,0.9,12423
TCAP,6/7/1984,0.87,0.87,0.84,0.84,18634
TCAP,6/8/1984,0.84,0.84,0.83,0.84,99400
TCAP,6/11/1984,0.84,0.84,0.84,0.84,12423
TCAP,6/12/1984,0.84,0.84,0.84,0.84,124250
TCAP,6/13/1984,0.84,0.84,0.84,0.84,62123
TCAP,6/14/1984,0.84,0.84,0.83,0.83,37273
TCAP,6/15/1984,0.83,0.84,0.82,0.84,74547
TCAP,6/18/1984,0.83,0.83,0.82,0.83,49698
TCAP,6/20/1984,0.82,0.82,0.8,0.82,49698
TCAP,6/21/1984,0.81,0.81,0.79,0.8,43487
TCAP,6/25/1984,0.8,0.8,0.8,0.8,12423
TCAP,6/26/1984,0.79,0.79,0.77,0.79,31059
TCAP,6/27/1984,0.79,0.8,0.76,0.76,86975
TCAP,6/28/1984,0.78,0.78,0.78,0.78,149100
TCAP,6/29/1984,0.78,0.79,0.76,0.79,509431
TCAP,7/2/1984,0.78,0.78,0.78,0.78,74547
TCAP,7/3/1984,0.77,0.77,0.77,0.77,31059
TCAP,7/4/1984,0.77,0.78,0.76,0.78,37273
TCAP,7/5/1984,0.77,0.77,0.76,0.76,90081
TCAP,7/6/1984,0.76,0.77,0.76,0.77,24848
TCAP,7/11/1984,0.77,0.79,0.77,0.79,37273
TCAP,7/12/1984,0.79,0.8,0.79,0.8,31059
TCAP,7/20/1984,0.8,0.8,0.8,0.8,71443
TCAP,7/24/1984,0.79,0.79,0.79,0.79,18634
TCAP,7/25/1984,0.79,0.79,0.76,0.76,155313
TCAP,7/26/1984,0.76,0.76,0.76,0.76,37273
TCAP,7/31/1984,0.75,0.75,0.75,0.75,12423
TCAP,8/1/1984,0.76,0.76,0.76,0.76,93186
TCAP,8/2/1984,0.76,0.76,0.76,0.76,31059
TCAP,8/3/1984,0.76,0.77,0.76,0.76,86975
TCAP,8/6/1984,0.76,0.76,0.75,0.76,459732
TCAP,8/7/1984,0.76,0.76,0.74,0.74,540494
TCAP,8/8/1984,0.74,0.74,0.72,0.74,229866
TCAP,8/9/1984,0.74,0.76,0.74,0.76,820063
TCAP,8/10/1984,0.76,0.76,0.76,0.76,670959
TCAP,8/14/1984,0.77,0.82,0.77,0.82,776574
TCAP,8/15/1984,0.82,0.85,0.82,0.84,608836
TCAP,8/16/1984,0.84,0.85,0.8,0.8,267139
TCAP,8/17/1984,0.8,0.8,0.77,0.77,74547
TCAP,8/20/1984,0.77,0.8,0.77,0.79,291989
TCAP,8/21/1984,0.79,0.79,0.77,0.79,136675
TCAP,8/24/1984,0.77,0.77,0.76,0.77,242290
TCAP,8/28/1984,0.76,0.76,0.74,0.74,273354
