Ticker,Date/Time,Open,High,Low,Close,Volume
THANI,12/19/2002,0.62,0.8,0.6,0.8,723493632
THANI,12/20/2002,0.79,0.83,0.77,0.8,774135424
THANI,12/23/2002,0.78,0.8,0.74,0.75,425357120
THANI,12/24/2002,0.74,0.77,0.61,0.61,625178624
THANI,12/25/2002,0.62,0.65,0.6,0.64,175682160
THANI,12/26/2002,0.65,0.7,0.64,0.7,324728256
THANI,12/27/2002,0.7,0.75,0.7,0.72,309002240
THANI,1/2/2003,0.73,0.74,0.72,0.73,176598016
THANI,1/3/2003,0.75,0.76,0.75,0.75,213126048
THANI,1/6/2003,0.75,0.83,0.75,0.81,445007680
THANI,1/7/2003,0.82,0.83,0.74,0.74,329079808
THANI,1/8/2003,0.75,0.77,0.68,0.7,186067024
THANI,1/9/2003,0.7,0.75,0.7,0.75,124245600
THANI,1/10/2003,0.76,0.76,0.71,0.75,164897584
THANI,1/13/2003,0.76,0.79,0.74,0.78,120688256
THANI,1/14/2003,0.78,0.8,0.76,0.76,194586480
THANI,1/15/2003,0.77,0.78,0.73,0.75,90020112
THANI,1/16/2003,0.74,0.77,0.73,0.75,49440556
THANI,1/17/2003,0.75,0.75,0.72,0.72,28128856
THANI,1/20/2003,0.72,0.74,0.71,0.73,24682764
THANI,1/21/2003,0.73,0.76,0.73,0.76,65642624
THANI,1/22/2003,0.75,0.79,0.75,0.76,180659840
THANI,1/23/2003,0.77,0.9,0.77,0.9,310350080
THANI,1/24/2003,0.89,0.91,0.85,0.85,273824608
THANI,1/27/2003,0.83,0.83,0.76,0.76,332401728
THANI,1/28/2003,0.77,0.8,0.77,0.79,179578416
THANI,1/29/2003,0.77,0.79,0.73,0.73,128977512
THANI,1/30/2003,0.75,0.77,0.74,0.76,86163952
THANI,1/31/2003,0.75,0.77,0.75,0.76,20741232
THANI,2/3/2003,0.77,0.8,0.76,0.8,98565480
THANI,2/4/2003,0.81,0.82,0.79,0.8,141194048
THANI,2/5/2003,0.8,0.81,0.79,0.79,58154100
THANI,2/6/2003,0.81,0.9,0.81,0.89,238394816
THANI,2/7/2003,0.87,0.89,0.83,0.85,134133712
THANI,2/10/2003,0.85,0.88,0.83,0.84,99865536
THANI,2/11/2003,0.87,0.88,0.84,0.87,95710040
THANI,2/12/2003,0.87,0.89,0.86,0.87,109996896
THANI,2/13/2003,0.87,0.91,0.84,0.86,198569440
THANI,2/14/2003,0.87,0.93,0.85,0.92,207471824
THANI,2/18/2003,0.94,0.96,0.9,0.94,182760624
THANI,2/19/2003,0.95,0.98,0.94,0.94,157912288
THANI,2/20/2003,0.94,0.94,0.9,0.91,99357160
THANI,2/21/2003,0.91,0.95,0.91,0.95,111829840
THANI,2/24/2003,0.97,0.97,0.91,0.93,85132960
THANI,2/25/2003,0.91,0.91,0.86,0.86,109542792
THANI,2/26/2003,0.87,0.9,0.86,0.9,100370032
THANI,2/28/2003,0.95,0.97,0.94,0.94,115308256
THANI,3/3/2003,0.94,0.94,0.92,0.93,59226476
THANI,3/4/2003,0.91,0.93,0.89,0.9,46301056
THANI,3/5/2003,0.88,0.88,0.83,0.86,51899656
THANI,3/6/2003,0.86,0.87,0.83,0.83,53582600
THANI,3/7/2003,0.81,0.83,0.8,0.83,32224328
THANI,3/10/2003,0.83,0.83,0.79,0.8,10913919
THANI,3/11/2003,0.79,0.82,0.77,0.82,29941162
THANI,3/12/2003,0.82,0.83,0.81,0.81,22773444
THANI,3/13/2003,0.81,0.83,0.78,0.8,84920816
THANI,3/14/2003,0.82,0.83,0.8,0.8,61666168
THANI,3/17/2003,0.78,0.8,0.77,0.79,43847128
THANI,3/18/2003,0.81,0.87,0.81,0.84,119795688
THANI,3/19/2003,0.83,0.86,0.81,0.82,108645048
THANI,3/20/2003,0.83,0.86,0.83,0.84,81390648
THANI,3/21/2003,0.84,0.84,0.83,0.84,22733344
THANI,3/24/2003,0.85,0.85,0.8,0.8,32291596
THANI,3/25/2003,0.78,0.81,0.78,0.8,22649260
THANI,3/26/2003,0.81,0.83,0.81,0.83,36578512
THANI,3/27/2003,0.82,0.83,0.81,0.81,6883130
THANI,3/28/2003,0.82,0.82,0.8,0.81,10436589
THANI,3/31/2003,0.8,0.8,0.8,0.8,6588194
THANI,4/1/2003,0.8,0.82,0.8,0.82,13739094
THANI,4/2/2003,0.83,0.83,0.82,0.83,9375855
THANI,4/3/2003,0.83,0.84,0.81,0.81,10499974
THANI,4/4/2003,0.82,0.86,0.81,0.83,48132756
THANI,4/8/2003,0.84,0.87,0.83,0.87,140040192
THANI,4/9/2003,0.87,0.9,0.87,0.88,121278120
