Ticker,Date/Time,Open,High,Low,Close,Volume
THG,12/7/2017,36.75,38.5,36.5,36.75,62847000
THG,12/8/2017,35.5,36.0,33.5,33.5,17116000
THG,12/12/2017,32.5,32.5,29.25,29.5,25000800
THG,12/13/2017,30.25,31.5,30.0,30.5,14020600
THG,12/14/2017,30.75,31.25,30.25,30.25,2804500
THG,12/15/2017,30.25,30.75,30.0,30.25,2220200
THG,12/18/2017,30.25,30.5,30.0,30.0,2672700
THG,12/19/2017,30.25,31.25,30.0,30.5,5669100
THG,12/20/2017,30.5,31.0,30.5,30.5,992100
THG,12/21/2017,30.75,31.0,30.5,30.5,1559900
THG,12/22/2017,30.75,31.0,30.5,30.5,1491200
THG,12/25/2017,30.5,30.75,30.25,30.25,936200
THG,12/26/2017,30.25,30.75,30.0,30.0,3576700
THG,12/27/2017,30.25,31.25,30.0,30.0,6527500
THG,12/28/2017,30.0,30.5,30.0,30.0,1108700
THG,12/29/2017,30.25,30.5,30.0,30.0,928600
THG,1/3/2018,30.0,30.75,30.0,30.0,2692900
THG,1/4/2018,30.25,31.25,30.0,30.75,7828800
THG,1/5/2018,30.75,31.0,30.25,30.25,1895700
THG,1/8/2018,30.25,30.5,30.0,30.0,955200
THG,1/9/2018,30.25,30.25,30.0,30.25,680000
THG,1/10/2018,30.25,30.75,30.25,30.25,2767000
THG,1/11/2018,30.25,30.75,30.25,30.5,888500
THG,1/12/2018,30.5,30.75,30.0,30.25,2089700
THG,1/15/2018,30.5,30.75,30.25,30.25,1777600
THG,1/16/2018,30.5,33.75,30.5,33.5,22950200
THG,1/17/2018,34.25,35.25,34.25,34.75,14522600
THG,1/18/2018,34.5,34.5,33.25,33.5,7639000
THG,1/19/2018,33.75,34.5,33.0,33.75,6697900
THG,1/22/2018,33.75,34.75,33.75,34.5,3072100
THG,1/23/2018,34.75,36.25,34.75,36.25,17990600
THG,1/24/2018,36.25,36.25,35.0,35.25,6795800
THG,1/25/2018,36.0,37.25,35.25,35.25,16741500
THG,1/26/2018,35.75,36.75,35.0,36.5,8391400
THG,1/29/2018,36.5,36.5,36.0,36.0,2592000
THG,1/30/2018,35.75,36.0,35.0,35.25,4137000
THG,1/31/2018,35.25,35.75,35.0,35.25,2090700
THG,2/1/2018,35.5,36.5,35.25,36.25,6403000
THG,2/2/2018,36.25,37.0,35.75,35.75,4653400
THG,2/5/2018,35.0,35.5,35.0,35.25,2328500
THG,2/6/2018,34.75,34.75,34.0,34.5,3946600
THG,2/7/2018,35.0,35.75,34.75,35.75,4812500
THG,2/8/2018,36.0,36.5,35.75,36.5,3916300
THG,2/9/2018,35.5,36.75,35.5,36.75,4883500
THG,2/12/2018,37.0,37.25,36.5,36.5,1714400
THG,2/13/2018,36.75,37.0,36.5,36.75,1713800
THG,2/14/2018,37.0,37.5,36.5,36.75,4863000
THG,2/15/2018,36.75,37.0,36.0,36.25,1691300
THG,2/16/2018,36.5,36.75,36.0,36.25,1322200
THG,2/19/2018,36.5,36.5,36.0,36.0,884600
THG,2/20/2018,36.0,36.25,35.75,36.0,1747700
THG,2/21/2018,36.0,36.0,35.5,35.5,1551000
THG,2/22/2018,35.5,35.75,35.0,35.0,1698200
THG,2/23/2018,35.75,35.75,35.25,35.5,903700
THG,2/26/2018,36.0,36.0,35.25,35.75,991300
THG,2/27/2018,35.75,35.75,35.0,35.0,2118000
THG,2/28/2018,35.0,35.25,34.25,34.25,1822300
THG,3/2/2018,34.0,34.5,33.5,33.5,1896700
THG,3/5/2018,33.5,34.25,33.25,34.25,935400
THG,3/6/2018,34.25,34.75,34.25,34.5,925500
THG,3/7/2018,34.5,35.0,34.0,34.0,623700
THG,3/8/2018,33.75,33.75,33.25,33.25,739900
THG,3/9/2018,33.25,34.0,33.0,34.0,1288500
THG,3/12/2018,34.0,34.75,34.0,34.25,696100
THG,3/13/2018,34.25,34.25,33.5,34.0,595100
THG,3/14/2018,34.0,34.0,33.5,33.5,487000
THG,3/15/2018,33.5,35.5,33.5,35.5,4867700
THG,3/16/2018,35.75,36.0,35.0,35.0,2121400
THG,3/19/2018,35.25,35.75,35.0,35.25,2348900
THG,3/20/2018,35.25,35.5,34.5,34.75,1118700
THG,3/21/2018,35.0,35.0,34.75,34.75,306000
THG,3/22/2018,35.0,35.25,34.75,34.75,1049800
THG,3/23/2018,34.75,35.0,34.25,34.25,938500
THG,3/26/2018,34.25,34.5,34.25,34.25,291800
THG,3/27/2018,34.5,34.75,34.25,34.75,753300
THG,3/28/2018,34.5,35.0,34.25,34.25,518700
THG,3/29/2018,34.5,35.0,34.25,34.25,2387300
THG,3/30/2018,34.5,34.75,33.5,34.5,1478800
THG,4/2/2018,34.5,35.25,34.25,34.75,2415300
THG,4/3/2018,34.75,35.0,34.5,34.5,801800
THG,4/4/2018,34.5,35.0,34.0,34.0,1585300
THG,4/5/2018,34.0,34.25,34.0,34.25,300800
THG,4/9/2018,34.0,34.25,33.75,34.0,348900
THG,4/10/2018,34.25,34.5,34.0,34.5,366200
THG,4/11/2018,34.5,34.75,34.25,34.75,422900
THG,4/12/2018,34.75,34.75,34.25,34.5,258200
THG,4/17/2018,34.5,34.75,34.0,34.25,302800
THG,4/18/2018,34.75,35.0,34.5,35.0,1482400
THG,4/19/2018,35.25,36.25,35.25,36.0,7034500
THG,4/20/2018,36.0,36.0,35.75,36.0,860300
THG,4/23/2018,36.0,36.5,35.75,35.75,1991400
THG,4/24/2018,35.75,35.75,35.5,35.5,757900
THG,4/25/2018,35.25,35.75,35.0,35.0,1168500
THG,4/26/2018,35.0,35.5,35.0,35.0,497300
THG,4/27/2018,35.25,35.5,34.5,34.75,1123300
THG,4/30/2018,34.5,35.5,34.5,35.0,730100
THG,5/2/2018,35.0,35.25,34.75,35.0,219900
THG,5/3/2018,35.0,35.0,34.75,35.0,268900
THG,5/4/2018,35.0,35.25,34.75,35.0,460200
THG,5/7/2018,35.25,35.25,34.75,34.75,693100
THG,5/8/2018,35.0,35.0,33.75,34.25,1553200
THG,5/9/2018,34.25,34.5,33.75,33.75,984700
THG,5/10/2018,34.0,34.25,33.75,33.75,820000
THG,5/11/2018,34.0,35.0,34.0,34.75,1507800
THG,5/14/2018,34.75,35.0,34.5,35.0,821300
THG,5/15/2018,35.0,35.0,34.75,35.0,1014600
THG,5/16/2018,35.0,35.0,34.75,34.75,738900
THG,5/17/2018,34.75,35.0,34.75,35.0,743600
THG,5/18/2018,35.0,35.0,34.75,34.75,313700
THG,5/21/2018,35.0,35.75,34.75,35.25,2334400
THG,5/22/2018,35.25,36.0,35.25,35.75,2992700
THG,5/23/2018,35.5,35.75,35.25,35.5,1527700
THG,5/24/2018,35.5,35.75,35.0,35.25,1022200
THG,5/25/2018,35.25,35.5,34.5,34.5,1454500
THG,5/28/2018,34.5,35.0,34.25,35.0,398000
THG,5/30/2018,34.75,34.75,34.25,34.25,900800
THG,5/31/2018,34.5,34.75,33.75,33.75,3796400
THG,6/1/2018,33.75,34.25,33.75,33.75,737400
THG,6/4/2018,33.75,34.25,33.75,34.25,571100
THG,6/5/2018,34.25,34.25,34.0,34.0,392500
THG,6/6/2018,34.0,34.25,33.75,34.0,482600
THG,6/7/2018,34.0,34.25,33.75,34.0,825600
THG,6/8/2018,34.25,34.25,33.75,33.75,253800
THG,6/11/2018,33.75,34.0,33.75,34.0,308800
THG,6/12/2018,33.75,34.25,33.75,34.25,371000
THG,6/13/2018,34.25,34.25,33.75,34.0,593500
THG,6/14/2018,34.0,34.0,33.5,33.75,745900
THG,6/15/2018,33.75,33.75,33.5,33.75,198300
THG,6/18/2018,33.5,33.75,33.25,33.25,556000
THG,6/19/2018,33.25,33.25,31.75,31.75,2435900
THG,6/20/2018,32.0,32.5,31.75,32.5,1078300
THG,6/21/2018,32.5,32.5,31.25,31.25,1037400
THG,6/22/2018,31.25,32.0,31.0,31.0,529300
THG,6/25/2018,31.25,31.25,30.75,30.75,381500
THG,6/26/2018,31.0,31.0,30.75,30.75,243500
THG,6/27/2018,31.0,31.25,30.5,30.75,392000
THG,6/28/2018,30.75,31.0,30.5,31.0,187100
THG,6/29/2018,30.5,31.25,30.5,31.25,407300
THG,7/2/2018,31.25,31.25,31.0,31.25,189000
THG,7/3/2018,31.5,31.5,31.0,31.25,169400
THG,7/4/2018,31.25,31.25,30.5,30.75,299400
THG,7/5/2018,31.0,31.0,30.25,30.25,383500
THG,7/6/2018,30.5,30.75,30.0,30.75,249200
THG,7/9/2018,30.75,30.75,30.5,30.5,81800
THG,7/10/2018,30.75,30.75,30.0,30.75,362900
THG,7/11/2018,30.5,30.75,30.5,30.5,169800
THG,7/12/2018,30.5,30.75,30.25,30.75,190100
THG,7/13/2018,30.5,31.0,30.5,31.0,257600
THG,7/16/2018,31.0,31.75,31.0,31.0,840500
THG,7/17/2018,31.25,31.25,30.75,30.75,260700
THG,7/18/2018,30.75,31.0,30.75,31.0,90200
THG,7/19/2018,31.0,31.25,31.0,31.0,290600
THG,7/20/2018,31.5,31.5,31.25,31.25,277500
THG,7/23/2018,31.25,31.25,30.75,30.75,275300
THG,7/24/2018,30.75,31.25,30.75,31.0,158600
THG,7/25/2018,31.25,32.5,31.25,32.5,1660200
THG,7/26/2018,32.25,32.25,32.0,32.25,213000
THG,7/31/2018,32.25,32.75,32.25,32.5,355200
THG,8/1/2018,32.5,32.75,32.25,32.5,162300
THG,8/2/2018,32.5,32.75,32.25,32.25,216000
THG,8/3/2018,32.25,32.5,31.75,32.25,288300
THG,8/6/2018,32.25,32.5,32.0,32.0,145300
THG,8/7/2018,32.0,32.25,31.75,32.0,288300
THG,8/8/2018,32.25,32.25,32.0,32.25,139600
THG,8/9/2018,32.25,32.5,32.0,32.0,221000
THG,8/10/2018,32.0,32.0,31.0,31.5,618600
THG,8/14/2018,31.25,31.25,31.0,31.25,246800
THG,8/15/2018,31.25,31.25,30.75,31.0,240200
THG,8/16/2018,31.0,31.25,31.0,31.0,122800
THG,8/17/2018,31.25,31.25,31.0,31.0,206800
THG,8/20/2018,31.0,31.25,31.0,31.25,139900
THG,8/21/2018,31.25,31.75,31.25,31.75,495900
THG,8/22/2018,32.0,32.25,31.75,32.25,433500
THG,8/23/2018,32.25,32.5,31.75,32.0,390900
THG,8/24/2018,31.75,32.0,31.75,32.0,130100
THG,8/27/2018,32.25,32.25,32.0,32.25,291900
THG,8/28/2018,32.25,32.25,31.75,32.25,267100
THG,8/29/2018,32.0,32.5,32.0,32.5,343800
THG,8/30/2018,32.5,32.5,31.5,31.5,508000
THG,8/31/2018,31.75,32.25,31.25,32.25,542300
THG,9/3/2018,32.0,32.0,31.75,32.0,221000
THG,9/4/2018,31.75,32.0,31.5,31.75,131400
THG,9/5/2018,31.75,32.0,31.0,31.25,613700
THG,9/6/2018,31.25,31.5,30.75,31.0,588600
THG,9/7/2018,31.25,31.5,30.75,31.0,444700
THG,9/10/2018,31.0,31.75,31.0,31.5,222600
THG,9/11/2018,31.5,31.5,31.0,31.25,178200
THG,9/12/2018,31.0,31.25,31.0,31.0,203300
THG,9/13/2018,31.25,31.5,31.0,31.5,447500
THG,9/14/2018,31.5,31.5,31.25,31.5,156100
THG,9/17/2018,31.5,31.5,31.0,31.0,125200
THG,9/18/2018,31.0,31.25,31.0,31.0,296600
THG,9/19/2018,31.0,31.25,31.0,31.0,766200
THG,9/20/2018,31.0,31.25,31.0,31.0,357600
THG,9/21/2018,31.5,32.5,31.5,32.0,3081600
THG,9/24/2018,32.0,32.25,32.0,32.0,450300
THG,9/25/2018,32.0,32.0,31.75,32.0,238200
THG,9/26/2018,32.0,32.0,31.75,31.75,222900
THG,9/27/2018,31.75,32.0,31.75,31.75,102300
THG,9/28/2018,31.75,32.25,31.75,31.75,599100
THG,10/1/2018,32.0,32.0,31.5,31.75,336300
THG,10/2/2018,31.75,32.0,31.5,32.0,356000
THG,10/3/2018,32.0,32.5,32.0,32.25,1732400
THG,10/4/2018,32.25,32.5,32.0,32.5,1046000
THG,10/5/2018,32.25,32.5,32.25,32.5,702500
THG,10/8/2018,32.5,33.0,32.25,32.25,1129900
THG,10/9/2018,32.5,32.5,32.0,32.0,491400
THG,10/10/2018,32.25,32.5,32.0,32.25,660000
THG,10/11/2018,31.75,32.0,31.5,32.0,655500
THG,10/12/2018,31.75,32.0,31.75,31.75,197400
THG,10/16/2018,32.0,32.25,31.75,31.75,171500
THG,10/17/2018,31.75,32.25,31.75,31.75,548100
THG,10/18/2018,32.0,32.0,31.25,31.5,344100
THG,10/19/2018,31.25,32.0,31.25,32.0,942700
THG,10/22/2018,32.0,32.25,31.5,31.75,443400
THG,10/24/2018,32.0,32.0,31.25,31.5,983900
THG,10/25/2018,31.0,31.75,31.0,31.75,481900
THG,10/26/2018,31.5,32.0,31.5,32.0,586700
THG,10/29/2018,32.0,32.0,31.75,31.75,258700
THG,10/30/2018,31.75,32.0,31.5,32.0,449100
THG,10/31/2018,31.75,32.25,31.75,32.25,836700
THG,11/1/2018,32.0,32.5,31.75,32.0,433900
THG,11/2/2018,32.25,32.5,32.0,32.25,620200
THG,11/5/2018,32.25,32.5,32.0,32.25,367100
THG,11/6/2018,32.0,32.25,31.75,32.0,310000
THG,11/7/2018,32.0,32.25,31.75,32.0,287800
THG,11/8/2018,32.25,32.5,32.0,32.25,823100
THG,11/9/2018,32.25,32.25,32.0,32.0,813900
THG,11/12/2018,32.25,32.5,31.75,32.0,1137300
THG,11/13/2018,31.75,32.25,31.5,32.25,910800
THG,11/14/2018,32.0,32.25,31.75,32.25,471000
THG,11/15/2018,32.25,32.25,31.75,32.0,514600
THG,11/16/2018,32.0,32.25,31.75,32.0,405700
THG,11/19/2018,32.0,32.25,31.75,32.0,168500
THG,11/20/2018,32.0,32.25,31.75,31.75,309300
THG,11/21/2018,31.75,32.25,31.5,32.0,695000
THG,11/22/2018,32.0,32.25,32.0,32.0,571800
THG,11/23/2018,32.0,32.0,31.75,32.0,503700
THG,11/26/2018,32.0,32.0,31.75,31.75,307000
THG,11/27/2018,31.75,32.0,31.75,31.75,336200
THG,11/28/2018,31.75,32.0,31.75,32.0,105300
THG,11/29/2018,31.75,32.0,31.5,32.0,367800
THG,11/30/2018,31.75,32.0,31.75,32.0,192400
THG,12/3/2018,32.0,32.0,31.75,32.0,706000
THG,12/4/2018,31.75,32.0,31.75,31.75,755300
THG,12/6/2018,31.75,32.0,31.5,31.5,263300
THG,12/7/2018,31.75,31.75,31.5,31.5,161900
THG,12/11/2018,31.5,31.75,31.5,31.75,194600
THG,12/12/2018,31.5,31.75,31.5,31.75,203500
THG,12/13/2018,31.5,31.75,31.25,31.75,741400
THG,12/14/2018,31.5,31.75,31.5,31.75,129300
THG,12/17/2018,31.5,31.75,31.25,31.75,708600
THG,12/18/2018,31.5,31.75,31.5,31.5,437300
THG,12/19/2018,31.5,31.75,31.5,31.75,352500
THG,12/20/2018,31.5,32.0,31.5,31.75,1156300
THG,12/21/2018,31.75,31.75,31.5,31.75,650500
THG,12/24/2018,31.75,32.25,31.5,32.25,1204500
THG,12/25/2018,32.0,32.25,31.75,32.25,1852500
THG,12/26/2018,32.25,32.5,32.0,32.5,1182800
THG,12/27/2018,32.5,32.75,32.0,32.75,1010300
THG,12/28/2018,32.5,33.0,32.25,33.0,2455100
THG,1/2/2019,33.0,33.0,32.5,33.0,1050200
THG,1/3/2019,32.5,33.0,32.5,32.75,534600
THG,1/4/2019,32.75,33.0,32.5,33.0,1502200
THG,1/7/2019,33.0,33.0,32.75,32.75,528200
THG,1/8/2019,32.75,33.0,32.5,33.0,601300
THG,1/9/2019,33.0,33.0,32.25,32.75,2136100
THG,1/10/2019,32.5,32.75,32.25,32.5,830800
THG,1/11/2019,32.5,33.0,32.5,32.75,727800
THG,1/14/2019,32.75,33.0,32.5,32.75,310800
THG,1/15/2019,32.75,33.0,32.75,32.75,429000
THG,1/16/2019,32.75,33.0,32.5,33.0,615400
THG,1/17/2019,33.0,33.0,32.75,33.0,700900
THG,1/18/2019,33.0,33.0,32.75,33.0,345200
THG,1/21/2019,32.75,33.0,32.5,33.0,713800
THG,1/22/2019,32.75,33.0,32.5,33.0,852800
THG,1/23/2019,32.75,33.0,32.75,32.75,583600
THG,1/24/2019,33.0,33.5,32.75,33.5,2664500
THG,1/25/2019,33.5,33.75,33.5,33.75,679300
THG,1/28/2019,33.75,33.75,33.25,33.75,902600
THG,1/29/2019,33.75,33.75,32.0,32.25,1669500
THG,1/30/2019,32.25,33.5,32.25,33.25,1252500
THG,1/31/2019,33.5,33.5,33.0,33.0,609000
THG,2/1/2019,33.0,33.25,32.75,32.75,395100
THG,2/4/2019,32.75,33.5,32.75,33.25,470000
THG,2/5/2019,33.5,33.5,33.0,33.25,162300
THG,2/6/2019,33.0,33.25,32.75,33.0,549000
THG,2/7/2019,33.0,33.25,32.5,32.5,695100
THG,2/8/2019,32.5,33.0,31.75,32.25,1782300
THG,2/11/2019,32.25,32.75,32.0,32.5,335200
THG,2/12/2019,32.25,33.0,32.25,33.0,789700
THG,2/13/2019,33.0,33.25,32.5,33.25,689800
THG,2/14/2019,33.25,33.25,32.5,32.5,157200
THG,2/15/2019,32.5,32.75,32.5,32.75,115700
THG,2/18/2019,32.5,32.5,32.0,32.0,1046100
THG,2/20/2019,32.0,32.25,31.0,31.25,1702100
THG,2/21/2019,31.25,31.5,31.0,31.25,748400
THG,2/22/2019,31.5,31.75,31.25,31.5,299000
THG,2/25/2019,31.5,32.0,31.0,31.75,1218000
THG,2/26/2019,31.75,31.75,31.25,31.5,367600
THG,2/27/2019,31.25,31.5,31.25,31.25,312700
THG,2/28/2019,31.25,31.5,31.0,31.5,442800
THG,3/1/2019,31.25,31.5,31.0,31.5,129800
THG,3/4/2019,31.5,31.75,31.0,31.75,739000
THG,3/5/2019,31.75,31.75,31.25,31.75,523000
THG,3/6/2019,31.5,31.75,31.25,31.75,361400
THG,3/7/2019,31.5,31.75,31.25,31.75,677400
THG,3/8/2019,31.75,31.75,31.25,31.75,198400
THG,3/11/2019,31.5,31.75,31.25,31.75,422700
THG,3/12/2019,31.5,31.75,31.25,31.75,206800
THG,3/13/2019,31.5,31.75,31.5,31.5,132900
THG,3/14/2019,31.5,31.75,31.25,31.75,153200
THG,3/15/2019,31.5,31.75,31.5,31.5,64500
THG,3/18/2019,31.5,31.75,31.25,31.25,412400
THG,3/19/2019,31.25,31.5,31.25,31.25,169400
THG,3/20/2019,31.25,31.5,31.0,31.5,226500
THG,3/21/2019,31.5,31.75,31.25,31.5,209700
THG,3/22/2019,31.5,31.5,31.25,31.5,256000
THG,3/25/2019,31.5,31.5,31.0,31.25,217200
THG,3/26/2019,31.25,31.25,31.0,31.25,88700
THG,3/27/2019,31.0,31.25,31.0,31.25,117100
THG,3/28/2019,31.25,31.25,31.0,31.25,91000
THG,3/29/2019,31.25,31.75,31.0,31.75,521900
THG,4/1/2019,31.5,31.75,31.5,31.5,659200
THG,4/2/2019,31.5,31.75,31.25,31.5,790600
THG,4/3/2019,31.5,31.5,31.25,31.25,120700
THG,4/4/2019,31.25,31.5,31.0,31.25,405000
THG,4/5/2019,31.0,31.5,31.0,31.5,296700
THG,4/9/2019,31.5,31.5,31.25,31.25,252100
THG,4/10/2019,31.25,31.5,31.0,31.25,300100
THG,4/11/2019,31.25,31.5,31.0,31.25,415900
THG,4/12/2019,31.25,31.25,31.0,31.25,109500
THG,4/17/2019,31.25,31.25,31.0,31.0,642000
THG,4/18/2019,30.75,31.0,30.5,30.5,751000
THG,4/19/2019,30.5,31.25,30.5,30.5,930700
THG,4/22/2019,30.75,30.75,30.0,30.25,517800
THG,4/23/2019,30.5,30.5,30.0,30.25,286800
THG,4/24/2019,30.25,30.25,30.0,30.0,362100
THG,4/25/2019,30.0,30.25,29.5,30.0,1293800
THG,4/26/2019,30.0,30.25,30.0,30.25,416100
THG,4/29/2019,30.25,30.5,30.25,30.5,638100
THG,4/30/2019,30.5,30.75,30.25,30.25,189000
THG,5/2/2019,30.5,30.75,30.5,30.5,373500
THG,5/3/2019,30.25,30.5,30.0,30.25,276700
THG,5/7/2019,30.25,30.75,29.75,30.25,555000
THG,5/8/2019,30.0,30.25,29.25,29.5,560300
THG,5/9/2019,29.5,29.75,29.25,29.25,335500
THG,5/10/2019,29.5,29.5,28.5,29.25,885000
