Ticker,Date/Time,Open,High,Low,Close,Volume
TKN,12/3/2015,5.15,5.75,4.92,5.75,739283264
TKN,12/4/2015,5.8,6.55,5.6,6.0,521160224
TKN,12/8/2015,6.15,6.35,6.0,6.1,227951840
TKN,12/9/2015,6.2,6.7,6.1,6.7,233491376
TKN,12/11/2015,7.1,8.6,7.1,8.45,529719648
TKN,12/14/2015,8.6,8.65,7.45,7.6,290990720
TKN,12/15/2015,7.75,9.55,7.75,9.55,389700576
TKN,12/16/2015,9.4,9.6,8.65,8.95,242405072
TKN,12/17/2015,9.2,9.6,9.05,9.35,214848912
TKN,12/18/2015,9.25,9.55,9.0,9.0,149746672
TKN,12/21/2015,8.9,8.9,8.0,8.15,89216192
TKN,12/22/2015,8.3,8.95,8.25,8.95,112415440
TKN,12/23/2015,9.15,9.15,8.45,8.45,82416168
TKN,12/24/2015,8.6,8.75,8.4,8.45,43621984
TKN,12/25/2015,8.45,8.5,8.05,8.15,37943000
TKN,12/28/2015,8.35,8.7,8.2,8.6,64307408
TKN,12/29/2015,8.5,8.6,8.4,8.5,20458008
TKN,12/30/2015,8.5,9.05,8.5,8.55,90740632
TKN,1/4/2016,8.55,8.6,8.3,8.3,26293710
TKN,1/5/2016,8.4,8.6,8.3,8.4,43248908
TKN,1/6/2016,8.3,8.45,8.2,8.2,41646024
TKN,1/7/2016,8.1,8.4,8.05,8.1,30517548
TKN,1/8/2016,8.25,8.4,8.2,8.25,12115754
TKN,1/11/2016,8.3,8.8,8.25,8.8,49364104
TKN,1/12/2016,8.8,8.85,8.55,8.75,47032012
TKN,1/13/2016,8.85,9.7,8.75,9.35,193730624
TKN,1/14/2016,9.2,9.5,9.1,9.35,72999080
TKN,1/15/2016,9.5,9.75,9.25,9.25,70545720
TKN,1/18/2016,9.2,9.5,9.15,9.35,42406100
TKN,1/19/2016,9.45,9.8,9.15,9.3,90492272
TKN,1/20/2016,9.35,9.4,8.9,9.0,32514540
TKN,1/21/2016,9.1,9.25,9.0,9.05,26229502
TKN,1/22/2016,9.15,9.35,9.05,9.35,33573904
TKN,1/25/2016,9.4,9.4,9.2,9.2,11489600
TKN,1/26/2016,9.2,9.45,9.1,9.3,23167900
TKN,1/27/2016,9.4,9.7,9.3,9.3,71347208
TKN,1/28/2016,9.4,9.5,9.3,9.4,19886880
TKN,1/29/2016,9.55,10.5,9.5,10.3,119251552
TKN,2/1/2016,10.4,10.5,10.0,10.1,37374112
TKN,2/2/2016,10.2,10.6,9.9,10.0,112478024
TKN,2/3/2016,10.0,10.1,9.9,9.95,22876480
TKN,2/4/2016,10.1,10.1,9.7,9.75,20551600
TKN,2/5/2016,9.9,10.2,9.7,9.75,27472400
TKN,2/8/2016,9.6,9.65,9.35,9.5,8644840
TKN,2/9/2016,9.4,9.7,9.4,9.55,5152339
TKN,2/10/2016,9.5,9.65,9.45,9.5,1787101
TKN,2/11/2016,9.5,9.55,9.0,9.0,5327651
TKN,2/12/2016,9.05,9.1,8.2,9.0,21137210
TKN,2/15/2016,8.95,8.95,8.75,8.85,2803400
TKN,2/16/2016,8.8,8.85,8.45,8.65,4111174
TKN,2/17/2016,8.6,8.6,8.25,8.35,4761600
TKN,2/18/2016,8.35,8.95,8.35,8.95,9611401
