Ticker,Date/Time,Open,High,Low,Close,Volume
TQM,12/20/2018,23.0,23.8,21.0,22.8,54976600
TQM,12/21/2018,22.8,23.5,22.5,23.0,28634600
TQM,12/24/2018,23.2,23.4,22.9,22.9,7671300
TQM,12/25/2018,22.6,23.2,22.5,23.1,4814900
TQM,12/26/2018,23.0,23.1,22.9,22.9,2841400
TQM,12/27/2018,23.2,23.3,22.7,22.8,3208900
TQM,12/28/2018,23.0,23.0,22.7,22.8,1305800
TQM,1/2/2019,22.9,23.2,22.8,22.8,721600
TQM,1/3/2019,22.8,23.0,21.9,22.5,2398900
TQM,1/4/2019,22.5,22.8,22.0,22.5,1123600
TQM,1/7/2019,22.8,22.9,22.8,22.9,424400
TQM,1/8/2019,22.8,22.8,22.6,22.6,105900
TQM,1/9/2019,22.6,22.7,22.5,22.7,125800
TQM,1/10/2019,22.5,22.9,22.5,22.7,908300
TQM,1/11/2019,22.7,22.9,22.7,22.9,113800
TQM,1/14/2019,22.9,23.0,22.7,22.8,188000
TQM,1/15/2019,22.7,22.8,22.7,22.7,428800
TQM,1/16/2019,22.8,22.8,22.6,22.8,438600
TQM,1/17/2019,22.9,22.9,22.7,22.7,275900
TQM,1/18/2019,22.7,23.0,22.7,22.8,365100
TQM,1/21/2019,22.8,22.9,22.6,22.9,144900
TQM,1/22/2019,22.7,23.0,22.6,22.9,339700
TQM,1/23/2019,22.7,22.9,22.5,22.7,203800
TQM,1/24/2019,22.8,23.4,22.8,23.4,4612000
TQM,1/25/2019,23.7,24.5,23.6,24.4,13796500
TQM,1/28/2019,24.5,24.6,23.8,23.8,4144100
TQM,1/29/2019,23.8,25.25,23.8,24.8,9547200
TQM,1/30/2019,25.0,25.5,24.7,24.7,4520200
TQM,1/31/2019,24.7,24.9,24.4,24.9,2035600
TQM,2/1/2019,25.0,25.75,23.9,24.3,5506600
TQM,2/4/2019,24.3,24.8,23.9,24.7,6601100
TQM,2/5/2019,24.8,24.9,24.4,24.4,2305200
TQM,2/6/2019,24.0,24.4,24.0,24.2,1131400
TQM,2/7/2019,24.3,24.5,23.9,24.0,2482500
TQM,2/8/2019,23.8,24.3,23.8,23.8,1055800
TQM,2/11/2019,23.9,23.9,23.2,23.2,2292600
TQM,2/12/2019,23.3,24.0,23.3,23.9,3515900
TQM,2/13/2019,24.0,24.3,23.8,24.2,2380000
TQM,2/14/2019,24.3,24.3,24.0,24.0,655200
TQM,2/15/2019,24.0,24.3,24.0,24.1,1039500
TQM,2/18/2019,24.1,24.2,22.6,22.8,5355400
TQM,2/20/2019,22.9,23.2,22.9,23.0,1064000
TQM,2/21/2019,23.0,23.4,23.0,23.3,1703000
TQM,2/22/2019,23.3,24.0,23.3,24.0,1586500
TQM,2/25/2019,24.0,24.2,23.5,23.9,1534300
TQM,2/26/2019,24.7,24.9,24.1,24.3,6328400
TQM,2/27/2019,24.4,24.7,24.3,24.3,2316300
TQM,2/28/2019,24.3,26.0,24.3,26.0,6692500
TQM,3/1/2019,26.25,27.25,25.75,27.0,3947000
TQM,3/4/2019,27.0,27.0,26.0,26.25,2001000
TQM,3/5/2019,26.0,28.0,26.0,28.0,2669000
TQM,3/6/2019,27.75,28.5,26.75,27.25,2395100
TQM,3/7/2019,27.5,28.75,27.0,28.75,1810400
TQM,3/8/2019,28.5,29.25,28.25,28.5,2142800
TQM,3/11/2019,28.25,30.0,28.0,29.0,2149200
TQM,3/12/2019,29.25,29.5,28.5,28.5,1120300
TQM,3/13/2019,28.5,29.0,27.5,28.5,2035800
TQM,3/14/2019,28.5,29.5,28.0,28.0,2002600
TQM,3/15/2019,28.0,28.5,27.5,28.0,1137200
TQM,3/18/2019,28.5,30.75,28.25,30.5,4808700
TQM,3/19/2019,30.25,31.25,30.0,31.0,2397400
TQM,3/20/2019,31.0,33.0,31.0,33.0,2591700
TQM,3/21/2019,33.0,33.0,31.5,31.75,1953600
TQM,3/22/2019,31.75,32.25,30.5,30.75,2424800
TQM,3/25/2019,30.0,31.25,29.5,31.0,1631100
TQM,3/26/2019,31.25,31.5,29.75,29.75,1818000
TQM,3/27/2019,29.75,31.0,28.75,31.0,3609500
TQM,3/28/2019,31.25,31.5,30.25,30.25,1435400
TQM,3/29/2019,30.25,31.25,30.25,31.0,1369700
TQM,4/1/2019,31.25,32.25,31.0,32.25,1285000
TQM,4/2/2019,32.5,32.5,30.25,30.75,2164800
TQM,4/3/2019,31.0,31.5,29.5,29.75,3372100
TQM,4/4/2019,30.0,30.25,29.75,30.0,1283300
TQM,4/5/2019,30.25,30.5,29.5,30.0,728200
TQM,4/9/2019,30.25,30.5,29.75,30.0,436300
TQM,4/10/2019,30.0,31.25,30.0,31.0,787900
TQM,4/11/2019,31.0,31.5,30.75,31.0,852800
TQM,4/12/2019,31.25,31.5,30.0,30.25,830300
TQM,4/17/2019,30.25,30.5,29.0,29.75,1617900
TQM,4/18/2019,30.0,31.0,29.75,30.25,841300
TQM,4/19/2019,30.25,30.5,29.75,29.75,621800
TQM,4/22/2019,30.0,30.75,29.75,30.5,1331200
TQM,4/23/2019,30.5,34.0,30.5,33.5,7397300
TQM,4/24/2019,33.5,34.75,32.75,34.25,2705700
TQM,4/25/2019,34.5,34.5,33.5,34.25,1522300
TQM,4/26/2019,34.25,35.0,33.75,34.5,2798000
TQM,4/29/2019,34.5,34.75,33.5,33.75,1878400
TQM,4/30/2019,33.75,35.75,33.75,35.75,2602300
TQM,5/2/2019,35.75,36.5,35.25,36.5,1843500
TQM,5/3/2019,36.5,38.25,35.75,36.5,3184200
TQM,5/7/2019,36.0,37.0,36.0,36.5,581200
TQM,5/8/2019,36.75,36.75,33.25,33.5,5008600
TQM,5/9/2019,33.75,34.5,33.75,34.0,1210900
TQM,5/10/2019,34.25,34.75,32.5,34.5,2232700
TQM,5/13/2019,34.25,35.25,34.25,34.75,1172000
TQM,5/14/2019,34.75,37.0,34.5,36.5,2980100
TQM,5/15/2019,32.25,34.25,31.25,33.5,7313100
TQM,5/16/2019,34.0,34.0,32.5,32.75,1596800
TQM,5/17/2019,33.0,35.25,33.0,34.75,2380400
TQM,5/21/2019,34.75,34.75,33.75,34.5,1010700
TQM,5/22/2019,34.75,35.25,33.75,34.0,1272900
TQM,5/23/2019,34.0,34.25,33.5,33.75,455100
TQM,5/24/2019,34.0,34.0,33.5,33.5,357600
TQM,5/27/2019,34.0,34.5,33.5,33.75,1582200
TQM,5/28/2019,34.0,34.0,33.0,33.25,891000
TQM,5/29/2019,33.25,34.0,33.25,33.25,456600
TQM,5/30/2019,33.5,33.5,32.25,32.25,1306400
TQM,5/31/2019,32.25,33.5,32.0,32.25,1228100
TQM,6/4/2019,32.5,33.0,32.25,32.75,631500
TQM,6/5/2019,33.0,34.0,32.75,33.5,2534900
TQM,6/6/2019,33.75,35.0,33.75,34.25,2857100
TQM,6/7/2019,34.5,34.5,33.5,33.5,1005900
TQM,6/10/2019,33.75,34.0,33.25,34.0,771600
TQM,6/11/2019,33.75,34.0,33.5,33.75,571900
TQM,6/12/2019,33.75,34.5,33.5,34.25,1243400
TQM,6/13/2019,34.25,36.75,34.25,36.5,5721600
TQM,6/14/2019,36.5,36.5,35.75,36.0,1112900
TQM,6/17/2019,36.0,37.0,35.75,36.5,1706300
TQM,6/18/2019,36.5,37.0,36.0,36.0,1275500
TQM,6/19/2019,36.25,36.75,35.5,36.0,1492400
TQM,6/20/2019,36.0,38.5,35.75,38.0,9686300
TQM,6/21/2019,38.0,39.0,37.5,38.0,3790000
TQM,6/24/2019,38.25,39.75,38.25,39.0,2577000
TQM,6/25/2019,39.25,39.75,39.0,39.0,1573800
TQM,6/26/2019,39.0,39.75,37.5,37.5,2743600
TQM,6/27/2019,37.75,38.75,37.5,37.75,775400
TQM,6/28/2019,38.0,38.25,37.0,37.0,951800
TQM,7/1/2019,38.0,38.0,37.5,37.5,762300
TQM,7/2/2019,37.25,38.5,37.0,37.25,992900
TQM,7/3/2019,37.5,38.5,37.5,38.5,1334000
TQM,7/4/2019,39.0,40.5,39.0,40.5,3772200
TQM,7/5/2019,40.75,43.75,40.0,43.25,2809600
TQM,7/8/2019,43.25,45.75,43.0,43.75,5302900
TQM,7/9/2019,43.75,45.25,43.75,44.25,2087100
TQM,7/10/2019,45.75,47.25,45.5,45.75,2189800
TQM,7/11/2019,45.0,46.0,44.25,44.75,2024900
TQM,7/12/2019,45.25,48.5,45.25,48.5,2580200
TQM,7/15/2019,48.75,49.25,47.0,47.0,1186200
TQM,7/17/2019,46.75,48.0,46.75,47.0,672200
TQM,7/18/2019,46.25,47.0,45.75,46.0,683800
TQM,7/19/2019,46.5,48.0,46.5,48.0,617200
TQM,7/22/2019,47.75,48.5,47.25,47.25,417700
TQM,7/23/2019,47.5,47.75,45.75,45.75,845000
TQM,7/24/2019,46.75,46.75,45.25,46.0,530000
TQM,7/25/2019,46.25,48.25,45.5,47.25,1311700
TQM,7/26/2019,47.25,47.75,46.5,46.75,303900
TQM,7/30/2019,46.75,46.75,44.5,44.75,1331400
TQM,7/31/2019,44.5,45.75,43.75,44.75,1036400
TQM,8/1/2019,45.25,45.5,44.75,45.0,526400
TQM,8/2/2019,43.75,45.0,43.25,44.75,1420800
TQM,8/5/2019,44.75,44.75,41.75,42.0,1600600
TQM,8/6/2019,40.0,42.0,39.75,41.0,4142400
TQM,8/7/2019,41.0,43.5,40.75,42.75,2523600
TQM,8/8/2019,42.75,43.25,41.25,41.25,821900
TQM,8/9/2019,42.25,42.5,41.0,41.75,1079700
TQM,8/13/2019,41.5,41.5,40.25,40.75,938200
TQM,8/14/2019,42.25,43.25,41.25,41.75,1918900
TQM,8/15/2019,41.75,42.25,40.5,42.0,1180100
TQM,8/16/2019,42.75,45.0,42.5,44.75,2005900
TQM,8/19/2019,45.25,45.75,44.5,45.75,2078000
TQM,8/20/2019,46.0,47.5,46.0,47.5,2788200
TQM,8/21/2019,47.25,47.75,46.0,47.75,776400
TQM,8/22/2019,48.0,48.0,47.25,48.0,712600
TQM,8/23/2019,47.5,47.75,45.75,46.75,1031300
TQM,8/26/2019,45.0,46.5,45.0,46.0,905700
TQM,8/27/2019,46.25,47.25,46.0,46.5,683500
TQM,8/28/2019,46.0,47.5,46.0,47.5,576200
