Ticker,Date/Time,Open,High,Low,Close,Volume
VGI,10/11/2012,2.59,2.75,2.48,2.5,1665633792
VGI,10/12/2012,2.56,2.75,2.53,2.69,801821824
VGI,10/15/2012,2.74,2.76,2.65,2.65,353093408
VGI,10/16/2012,2.66,2.66,2.5,2.5,163236032
VGI,10/17/2012,2.53,2.59,2.5,2.59,73462832
VGI,10/18/2012,2.6,2.68,2.58,2.65,76587136
VGI,10/19/2012,2.66,2.72,2.61,2.67,69536768
VGI,10/22/2012,2.67,2.72,2.65,2.65,25728778
VGI,10/24/2012,2.64,2.66,2.61,2.61,33828596
VGI,10/25/2012,2.63,2.64,2.59,2.59,15262746
VGI,10/26/2012,2.6,2.61,2.53,2.56,18098594
VGI,10/29/2012,2.57,2.61,2.57,2.59,21502220
VGI,10/30/2012,2.59,2.67,2.58,2.63,30541288
VGI,10/31/2012,2.65,2.68,2.63,2.66,35158036
VGI,11/1/2012,2.66,2.93,2.63,2.88,323662112
VGI,11/2/2012,2.91,3.19,2.9,3.11,234412416
VGI,11/5/2012,3.09,3.39,3.07,3.34,145689216
VGI,11/6/2012,3.34,3.39,3.24,3.32,97559560
VGI,11/7/2012,3.4,3.5,3.36,3.47,92248368
VGI,11/8/2012,3.43,3.52,3.41,3.41,63003352
VGI,11/9/2012,3.45,3.45,3.26,3.3,50395992
VGI,11/12/2012,3.32,3.35,3.22,3.23,42179020
VGI,11/13/2012,3.24,3.34,3.18,3.33,28379256
VGI,11/14/2012,3.31,3.32,3.23,3.23,14824284
VGI,11/15/2012,3.24,3.24,3.16,3.22,37737544
VGI,11/16/2012,3.22,3.31,3.22,3.26,25126858
VGI,11/19/2012,3.28,3.61,3.28,3.58,138574976
VGI,11/20/2012,3.59,3.59,3.51,3.56,59328996
VGI,11/21/2012,3.56,3.67,3.5,3.65,82969072
VGI,11/22/2012,3.69,3.7,3.49,3.51,89268800
VGI,11/23/2012,3.5,3.63,3.5,3.58,41571468
VGI,11/26/2012,3.6,3.68,3.58,3.66,58697044
VGI,11/27/2012,3.67,3.83,3.67,3.81,58484764
VGI,11/28/2012,3.82,4.08,3.82,4.02,89922144
VGI,11/29/2012,4.09,4.09,4.01,4.05,47518344
VGI,11/30/2012,4.06,4.09,3.99,4.0,24101196
VGI,12/3/2012,4.05,4.26,4.05,4.22,49584432
VGI,12/4/2012,4.23,4.25,4.11,4.17,32317790
VGI,12/6/2012,4.14,4.17,4.03,4.05,53785316
VGI,12/7/2012,4.1,4.17,4.05,4.08,17828720
VGI,12/11/2012,4.09,4.09,4.02,4.05,21102544
VGI,12/12/2012,4.01,4.01,3.85,3.93,75321656
VGI,12/13/2012,3.95,3.98,3.93,3.94,66965580
VGI,12/14/2012,3.95,4.02,3.95,3.98,58990680
VGI,12/17/2012,4.02,4.16,4.02,4.15,45704220
VGI,12/18/2012,4.18,4.19,4.1,4.14,45280208
VGI,12/19/2012,4.16,4.27,4.16,4.2,54708592
VGI,12/20/2012,4.18,4.22,4.09,4.11,31204192
VGI,12/21/2012,4.1,4.11,4.07,4.07,22540776
VGI,12/24/2012,4.09,4.1,4.06,4.1,30006992
VGI,12/25/2012,4.1,4.18,4.09,4.13,14593130
VGI,12/26/2012,4.13,4.19,4.08,4.13,27509702
VGI,12/27/2012,4.15,4.26,4.13,4.18,41671304
VGI,12/28/2012,4.2,4.27,4.18,4.2,37535164
VGI,1/2/2013,4.24,4.25,4.2,4.22,26591358
VGI,1/3/2013,4.24,4.24,4.18,4.18,24358156
VGI,1/4/2013,4.18,4.18,4.11,4.15,19475224
VGI,1/7/2013,4.15,4.15,4.11,4.11,16529112
VGI,1/8/2013,4.1,4.11,3.94,4.01,52226324
VGI,1/9/2013,4.06,4.07,3.98,4.0,26944436
VGI,1/10/2013,4.0,4.06,4.0,4.03,37059808
VGI,1/11/2013,4.06,4.1,4.02,4.07,23207484
VGI,1/14/2013,4.09,4.14,4.06,4.09,43442504
VGI,1/15/2013,4.11,4.43,4.11,4.42,140352448
VGI,1/16/2013,4.48,4.52,4.36,4.38,50943000
VGI,1/17/2013,4.41,4.5,4.3,4.45,47010712
VGI,1/18/2013,4.49,4.49,4.36,4.36,12530958
VGI,1/21/2013,4.45,4.55,4.44,4.49,17473222
VGI,1/22/2013,4.51,4.77,4.51,4.73,39300928
VGI,1/23/2013,4.73,4.95,4.7,4.84,38163728
VGI,1/24/2013,4.86,5.05,4.84,5.02,28350458
VGI,1/25/2013,5.02,5.09,4.91,5.05,37510896
VGI,1/28/2013,5.11,5.32,5.09,5.25,24559168
VGI,1/29/2013,5.23,5.34,5.11,5.16,23518720
VGI,1/30/2013,5.09,5.16,5.05,5.14,46475980
VGI,1/31/2013,5.18,5.45,5.18,5.32,73158352
VGI,2/1/2013,5.36,5.55,5.34,5.34,61451056
VGI,2/4/2013,5.43,5.68,5.41,5.64,28619716
VGI,2/5/2013,5.57,5.64,5.41,5.45,51652656
VGI,2/6/2013,5.5,5.55,5.25,5.45,63404856
VGI,2/7/2013,5.43,5.84,5.34,5.75,40139752
VGI,2/8/2013,5.77,5.84,5.7,5.7,22756044
VGI,2/11/2013,5.7,5.77,5.7,5.73,6378184
VGI,2/12/2013,5.73,5.82,5.73,5.77,11575230
VGI,2/13/2013,5.82,6.14,5.8,5.8,19019844
VGI,2/14/2013,5.91,5.91,5.5,5.64,71969664
VGI,2/15/2013,5.64,5.64,5.34,5.5,69083000
VGI,2/18/2013,5.5,5.68,5.45,5.61,30303182
VGI,2/19/2013,5.68,5.68,5.52,5.57,30586300
VGI,2/20/2013,5.61,5.68,5.55,5.55,29905770
VGI,2/21/2013,5.55,5.61,5.55,5.57,6157172
VGI,2/22/2013,5.57,5.66,5.57,5.66,25393432
VGI,2/26/2013,5.59,5.68,5.52,5.66,23611278
VGI,2/27/2013,5.61,5.64,5.57,5.61,13246046
VGI,2/28/2013,5.55,5.59,5.55,5.59,19872084
VGI,3/1/2013,5.59,5.59,5.48,5.55,22090918
VGI,3/4/2013,5.5,5.59,5.5,5.55,8773482
VGI,3/5/2013,5.55,5.57,5.5,5.52,10719848
VGI,3/6/2013,5.64,5.91,5.59,5.8,109482560
VGI,3/7/2013,5.77,5.8,5.7,5.77,44529680
VGI,3/8/2013,5.8,6.11,5.8,6.11,78546072
VGI,3/11/2013,6.18,6.36,6.0,6.36,41788916
VGI,3/12/2013,6.41,6.41,6.18,6.25,44899128
VGI,3/13/2013,6.32,6.32,6.18,6.23,20034862
VGI,3/14/2013,6.23,6.23,6.09,6.23,12223220
VGI,3/15/2013,6.3,6.3,6.09,6.18,23600804
VGI,3/18/2013,6.11,6.2,6.07,6.18,6254764
VGI,3/19/2013,6.18,6.2,5.84,5.95,31875524
VGI,3/20/2013,5.86,5.95,5.73,5.95,27341998
VGI,3/21/2013,6.05,6.05,5.82,5.82,16674378
VGI,3/22/2013,5.68,5.77,4.31,5.66,62752596
VGI,3/25/2013,5.73,5.93,5.66,5.93,13392126
VGI,3/26/2013,5.91,6.09,5.86,5.95,31328558
VGI,3/27/2013,6.0,6.02,5.89,5.95,24483268
VGI,3/28/2013,6.0,6.23,5.98,6.05,47294888
VGI,3/29/2013,6.11,6.14,5.98,5.98,5496290
VGI,4/1/2013,6.05,6.05,5.86,5.89,12225354
VGI,4/2/2013,5.91,5.93,5.77,5.82,5868266
VGI,4/3/2013,5.84,5.86,5.77,5.77,27080528
VGI,4/4/2013,5.52,5.86,5.5,5.77,11283028
VGI,4/5/2013,5.86,5.86,5.7,5.7,4996934
VGI,4/9/2013,5.75,5.75,5.55,5.59,6556010
VGI,4/10/2013,5.61,5.61,5.27,5.55,18346446
VGI,4/11/2013,5.57,5.68,5.52,5.68,5552434
VGI,4/12/2013,5.66,5.84,5.57,5.84,7509382
VGI,4/17/2013,5.66,5.82,5.66,5.77,5909342
VGI,4/18/2013,5.75,5.95,5.73,5.95,10964818
VGI,4/19/2013,5.98,6.0,5.86,5.86,9239002
VGI,4/22/2013,5.86,5.93,5.82,5.86,7419490
VGI,4/23/2013,5.89,5.91,5.8,5.8,10738372
VGI,4/24/2013,5.8,5.95,5.77,5.91,6634836
VGI,4/25/2013,5.98,6.0,5.73,5.82,11551008
VGI,4/26/2013,5.82,5.93,5.82,5.93,10862716
VGI,4/29/2013,5.86,5.89,5.84,5.89,11782494
VGI,4/30/2013,5.91,6.07,5.91,5.95,14088580
VGI,5/2/2013,6.0,6.2,6.0,6.11,16216402
VGI,5/3/2013,6.14,6.23,6.07,6.07,15372526
VGI,5/7/2013,6.09,6.14,6.05,6.11,7681202
VGI,5/8/2013,6.11,6.18,6.09,6.14,11497680
VGI,5/9/2013,6.23,6.48,6.23,6.39,38862604
VGI,5/10/2013,6.41,6.59,6.41,6.55,21009464
VGI,5/13/2013,6.48,6.55,6.43,6.48,8529898
VGI,5/14/2013,6.57,6.73,6.52,6.73,7270968
VGI,5/15/2013,6.75,6.75,6.57,6.59,3755956
VGI,5/16/2013,6.61,6.68,6.34,6.45,12592490
VGI,5/17/2013,6.36,6.59,6.36,6.48,8842562
VGI,5/20/2013,6.48,6.64,6.48,6.59,10330206
VGI,5/21/2013,6.7,6.84,6.66,6.84,11913350
VGI,5/22/2013,6.84,7.09,6.75,6.95,12019808
VGI,5/23/2013,6.89,7.05,6.75,6.98,18799978
VGI,5/27/2013,6.98,7.02,6.91,6.98,23940242
VGI,5/28/2013,7.07,7.28,7.05,7.25,9942364
VGI,5/29/2013,7.25,7.43,7.25,7.3,10511260
